epoch,train_loss,val_loss
1,1.0028061121702194,1.0088950991630554
2,0.9282380282878876,0.9031816720962524
3,0.8270498156547547,0.8169921875
4,0.7419533580541611,0.7177204370498658
5,0.6283548802137375,0.5708126723766327
6,0.48203400522470474,0.4422363817691803
7,0.3920699775218964,0.3768154978752136
8,0.34266529232263565,0.33509635627269746
9,0.3078309968113899,0.3070487856864929
10,0.2816684521734715,0.2803630352020264
11,0.25508723333477973,0.24770398437976837
12,0.22605903521180154,0.2202826678752899
13,0.20489287972450257,0.20244605839252472
14,0.19200270548462867,0.19014094173908233
15,0.18088256493210791,0.18122568726539612
16,0.17339849174022676,0.1753678798675537
17,0.16812101155519485,0.17062133848667144
18,0.16417932584881784,0.16649393737316132
