PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,seasons_with_embeddings,total_shot_attempts_covered,embedding_aggregation,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24,shot_style_subtype_id,shot_style_subtype,shot_style_subtype_probability,shot_style_entropy,shot_style_prob_0,shot_style_prob_1,shot_style_prob_2,shot_style_prob_3,shot_style_prob_4
1882,Elton Brand,1999,4,4431.0,shot_volume_x_mild_recency_weighted_mean,15.265675852405646,-21.06413414940353,-9.124774969191416,26.411850759093465,19.637143268413997,-16.316340574994125,12.366805982706456,-5.076381763357898,2.3206733840952025,4.904657176888449,23.56976924293624,22.065335545497053,4.566024815388726,-16.900623847047743,-21.12502040710808,0.9076883332772,8.567333136779228,31.4665422375988,-1.0314935228426627,-22.316298253326053,-15.328174640605482,20.0669168557288,-25.24012471742981,-21.111824555047114,2,Arc-Heavy Spacers,0.9998367089899832,0.0017424367256493383,6.136581129825585e-05,2.3472226876783485e-84,0.9998367089899832,1.7776034477843907e-05,8.414916424314321e-05
1883,Steve Francis,1999,4,4639.0,shot_volume_x_mild_recency_weighted_mean,9.531221380594737,-13.130973694013852,-12.214610264956342,29.84622579162014,23.64385682818592,-17.006502316546214,13.256779874934123,-5.409273378326901,-2.21657602383373,4.292966106558613,14.493419769726689,26.301026849127027,8.903347978640737,-10.869924882083392,-11.92327325538202,-1.50254153975928,4.51914762050204,31.071723650777763,-3.164589507748263,-18.38221211036625,-20.55449076457501,15.97187091112003,-24.2591269035241,-11.333037912589488,0,Rim Pressure Drivers,0.9999999914886715,1.6666767817204255e-07,0.9999999914886715,2.4358210611330796e-51,7.301278136649205e-139,3.498010810296316e-244,8.511326720970594e-09
1884,Baron Davis,1999,4,3517.0,shot_volume_x_mild_recency_weighted_mean,11.046631173113518,-15.706384169911235,-11.013354987240389,26.237652591188265,22.9180900939064,-17.116181816970688,11.110421356722494,-1.9396819146920372,-2.8423087061606496,3.990709209655188,17.91973806795005,22.593817967045307,5.982344378529315,-9.626596164254114,-12.908120863909256,-2.37229545657964,3.051963502556834,30.72507574123938,-4.8216825243186765,-19.46467171550857,-14.582248132287097,17.60926940693433,-23.266462051030715,-10.811918933918058,0,Rim Pressure Drivers,0.999999999995012,1.3470871127140998e-10,0.999999999995012,5.262588123471642e-44,1.43119201587671e-157,4.080444710458922e-201,4.984525728132904e-12
1885,Lamar Odom,1999,4,3037.0,shot_volume_x_mild_recency_weighted_mean,12.060632855345007,-12.119514350211622,-8.378293157589027,29.33867063400199,20.656733894320062,-14.989851318577262,12.08032751553683,-4.486580286990486,-3.027187709181505,1.2494274869629196,17.199937751923887,20.79743488923309,5.050358134974054,-11.138686486166566,-15.722267904777196,-1.5011267230346803,4.708284022442006,29.821227656150626,-5.84085518103293,-17.41463610765493,-20.18027063260527,19.49867566604423,-20.551544782463623,-10.72304580033694,0,Rim Pressure Drivers,0.9998220883234015,0.0017140249980784194,0.9998220883234015,6.536215728532335e-47,3.6697342674658055e-111,4.045069431621926e-60,0.00017791167659683257
1886,Jonathan Bender,1999,4,969.0,shot_volume_x_mild_recency_weighted_mean,5.970106737046565,-7.619991185478018,-1.5728138708950707,14.649101880179089,4.741940186759576,-1.6317963117111962,-0.6586562635123528,-10.5304963679692,8.86935951821767,-6.100614478248331,4.187212450565986,10.95875299778366,-5.5653932031859386,-2.8849936770641893,-6.847876526074311,-4.098157789247758,-0.8782208246622384,12.840450796998883,6.635845986660288,-7.373301129259843,-17.903489697997603,6.802546024838254,-10.320133604165374,2.736267186205537,0,Rim Pressure Drivers,0.9990264495190994,0.007740098008974491,0.9990264495190994,2.245313931943522e-06,2.724886756210408e-44,2.751735373794556e-48,0.0009713051669698701
1887,Wally Szczerbiak,1999,4,3516.0,shot_volume_x_mild_recency_weighted_mean,5.282550290347132,-13.635807732604231,-7.050145848820395,25.38374114974662,15.575821420631843,-8.139217457145353,7.24938147610481,-6.427644078536412,-0.6260144564372782,-5.916305752168039,9.233265577679708,19.08184785780043,-0.317464871010676,-5.8008255582495565,-8.956627007054225,-5.785824611727328,0.4167006250303045,22.711293332013422,2.071871280623261,-15.083119960298411,-21.019808814536397,11.347700128305766,-18.562781455923485,-5.36795918459079,0,Rim Pressure Drivers,0.9999800169849428,0.00023621158551204974,0.9999800169849428,4.53479237740629e-23,2.261413454511967e-109,1.205887017738763e-86,1.998301505873798e-05
1888,Richard Hamilton,1999,4,4223.0,shot_volume_x_mild_recency_weighted_mean,4.169960814654349,-12.801218847167627,-5.607994916653235,18.54671625694819,10.946926174796095,-4.084208886276564,7.243295617559482,-1.0638762097829442,7.1295469141805,-2.632405320184437,5.001239457639846,12.247325566128849,1.045329368834741,-5.523156355411079,-5.327604948196825,-1.1104439992838488,1.67739222171227,10.65596526222436,2.823494338852958,-10.700002966063328,-16.768647801121602,6.657780277171073,-12.264111164307169,-5.229920213459415,0,Rim Pressure Drivers,0.9999872098206994,0.00015689491507661925,0.9999872098206994,2.4864264431476897e-13,3.743147798826406e-42,4.618433312822845e-19,1.2790179052906451e-05
1889,Andre Miller,1999,4,3699.0,shot_volume_x_mild_recency_weighted_mean,7.865934299655301,-11.063616316104786,-6.998911546375572,20.170929690459168,15.927488240822797,-9.327694473904998,8.791314661294013,-1.9923427325888363,9.25324099544564,4.24068692425251,7.807807094218735,15.333741456505496,4.170289391971689,-4.143555908249457,-5.74873043515511,-2.5537437037926125,1.8436362240996875,14.701600952396134,2.3241684700476326,-15.426027662033356,-13.646309816871282,12.193499353424585,-16.17738327078134,-5.261293890208149,0,Rim Pressure Drivers,0.9999978891361646,2.9697090112532244e-05,0.9999978891361646,5.0465602818085854e-11,4.756578827308844e-83,5.105206707255445e-187,2.1108133707987578e-06
1890,Shawn Marion,1999,4,4485.0,shot_volume_x_mild_recency_weighted_mean,7.719621427083605,-16.237817111548328,-7.952650910055009,21.29077271180594,15.200881363120171,-11.035633517311314,8.38516491433334,-2.120966144861937,3.817104524860954,1.939141987521498,12.24990419038337,20.233975443365296,4.194461667018803,-11.424333278781166,-11.525065966612686,-0.458722128408166,4.697800026870574,20.36383506998685,3.2036746957981914,-15.49410140243836,-16.891758222329816,10.162759574997006,-19.084541833491507,-13.357228554376617,0,Rim Pressure Drivers,0.9998923552539317,0.00116308408004324,0.9998923552539317,2.293551554617901e-34,6.579015137884845e-05,3.841801703930739e-14,4.185459465444207e-05
1891,Jason Terry,1999,4,4324.0,shot_volume_x_mild_recency_weighted_mean,1.9406455422326496,-9.29954632958749,-9.340129297438454,18.019598043977147,10.669843790900371,-7.115026559983728,8.231260454303904,-3.5541173151152865,3.7036141095850734,-1.9764493443549451,5.671993507087425,17.08185618170116,5.74798694265901,-0.7050955988873484,0.4802897710411826,-7.785538527283574,-0.2273736439338941,16.842426326127704,0.8597889049006184,-13.364164890246595,-15.262120115415648,4.444887660044125,-16.24499600708195,-0.5176668724975466,0,Rim Pressure Drivers,0.9999970193307788,4.09048003915224e-05,0.9999970193307788,2.9806692201089893e-06,0.0,0.0,3.8131369157433034e-18
