PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,seasons_with_embeddings,total_shot_attempts_covered,embedding_aggregation,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24
947,Allen Iverson,1996,4,5696.0,shot_volume_x_mild_recency_weighted_mean,10.314384569250976,-16.37822932467224,-7.660720480472499,26.048085801889428,20.153490104339586,-14.254775232989802,11.505520998318984,-2.4851021604287635,-2.117717244302084,1.0677160954442007,16.450592453062526,21.525456789506297,2.5471941790411883,-12.640082493366789,-13.827086154107525,-0.9549297748055892,4.066563358830058,27.590921974693252,-3.1676132270398196,-16.80212976717696,-17.720154791831714,15.225436395913308,-21.8453738189556,-12.862444077024813
951,Ray Allen,1996,4,4279.0,shot_volume_x_mild_recency_weighted_mean,5.90709960116963,-10.11343464378606,-6.3342545803435835,22.585487881517253,14.26478155975514,-7.23166253057413,8.041145680982678,-2.204626745564058,0.92821418295371,-5.349370727294942,8.26446789724665,16.732287895681154,1.918323155257241,-9.9904205714703,-10.013555761919134,-0.045630250234730496,3.8154083832270085,19.188595425755246,0.6205239330017212,-12.047243132274303,-21.406847143116533,9.769474885951427,-15.578720083262251,-6.068118891647696
959,Steve Nash,1996,4,1436.0,shot_volume_x_mild_recency_weighted_mean,2.0063311690636225,-10.750210614573891,-5.682016815030771,21.016550331626302,12.038789410142076,-1.9777413169116034,4.9394396383016375,-3.2158028699364185,3.900462039528285,-8.225003821045172,1.4376194719993212,11.939655039964565,1.6831001185775556,-2.811524582470131,-3.4336085534848473,-2.2945853857767697,-0.2639000361352527,11.800001290943378,-0.070147961730481,-7.121548090724626,-21.78885692854931,4.117724922308508,-10.69220708562907,-0.9732470549882286
977,Kobe Bryant,1996,4,3293.0,shot_volume_x_mild_recency_weighted_mean,10.139975567602113,-14.034612891713408,-10.096816303176375,27.1842507589452,22.02641500575827,-16.259462109228693,11.762264904487212,-3.5178724300805344,0.6299940233093696,5.187736123276061,14.861840408314814,20.862705661718923,7.913455266900843,-9.897712739649071,-10.07732194173386,-3.4122749692568486,5.105537542860787,26.733670616928652,-2.9441129303865017,-18.760036930514943,-15.100146353956491,18.212113412439223,-23.184635605799947,-10.492034106654605
1495,Tim Duncan,1997,4,4812.0,shot_volume_x_mild_recency_weighted_mean,8.993058461155973,-16.050437222334065,-6.132129327915592,19.896386028923185,10.881335092710808,-10.469157960668388,5.45031443531822,-2.5608608600512968,10.934286478548204,5.126437427127743,14.534015033731643,15.82887261793449,-3.109145892518977,-8.190309239857488,-11.46247893825313,-0.10551076481081963,2.381214200312455,15.99826907928483,5.324950997306777,-12.972650567429586,-17.14040423452557,13.447198108369614,-12.875582297548915,-8.302367234649694
1497,Chauncey Billups,1997,4,1930.0,shot_volume_x_mild_recency_weighted_mean,8.149334021660719,-11.444761402688513,-4.13271286756995,21.06528027902065,16.5523740529751,-7.341535505958233,5.918559144232896,-5.213612989429693,0.4823270850582306,-4.937280493855214,8.022875033590276,15.500886800053278,1.5900338826788047,-5.676170347871567,-9.434175170752528,-3.950363788407114,0.07149682901785981,20.04200461429022,-1.4612888762095082,-13.75830319945801,-16.4780103944601,11.744669083814141,-17.48351656667184,-6.500176482415015
1503,Tracy McGrady,1997,4,3520.0,shot_volume_x_mild_recency_weighted_mean,9.740058963660255,-14.445936735769424,-11.290804002391,25.523345108035794,18.380161184286216,-14.230246608797081,11.02265008761702,-2.9367296197048707,0.257940085203627,1.2446516048277947,16.010592165403896,22.742451771797715,5.97647654271818,-13.796565666232615,-16.00714697344519,1.2402628276621297,6.564405883413496,28.504725185485416,0.37946595958827245,-18.120130774695177,-20.074207764845298,15.944639446502324,-21.500256485560296,-13.680278047762537
1713,Vince Carter,1998,4,5416.0,shot_volume_x_mild_recency_weighted_mean,7.068282323251067,-16.39211756755328,-7.673793448380434,24.611320877262663,17.648847654975185,-8.23743972141217,10.858401429390668,-2.740138460839206,2.1917157345283464,-1.3099689574808515,9.512269240738418,19.536686404694517,3.245590590907556,-6.289935556089503,-9.407578201416708,-0.5330717199872528,1.7165938038490274,20.222557793630568,-3.24552761585205,-13.422248727153224,-20.04325579534077,7.480279004260675,-18.07491063502435,-9.163132656754291
1717,Dirk Nowitzki,1998,4,3955.0,shot_volume_x_mild_recency_weighted_mean,6.800245573404418,-14.799574242286864,-5.727130178782544,22.08775436500214,16.051043311118104,-7.033422189729433,6.5165805490481095,-3.298393696729453,4.09423640135649,-3.5063202041755384,7.692948033286979,17.00061140196989,1.5620415733102806,-7.912748713075525,-9.210801403025819,-2.1715847107124864,2.35969393933303,17.127024866475452,-0.2664135821618359,-12.663054940158338,-19.777954207156,8.648433948168769,-17.904143369770928,-8.63873310459786
1718,Paul Pierce,1998,4,4851.0,shot_volume_x_mild_recency_weighted_mean,7.189320734483576,-8.152412486476681,-2.163652045856923,19.18086842776989,10.566119459791148,-1.9812251868575557,5.3440091571853205,-5.0008416821098995,7.393734117306075,-4.688310506124284,3.824654441282473,13.14404519815391,-3.5290582094310103,-2.140650779703415,-8.745888125511907,-0.23670557216676713,-0.09056014537350325,13.67255679914729,2.0641168049509195,-8.914087178856123,-20.804810413456806,7.617421143421899,-11.568254232522891,1.2390581070525482
