tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label
23,1887,Wally Szczerbiak,1999,4,2002-03,52,729,351,0.48148148148148145,draft
24,1888,Richard Hamilton,1999,1,1999-00,70,605,254,0.41983471074380163,draft
25,1888,Richard Hamilton,1999,2,2000-01,78,1249,547,0.4379503602882306,draft
26,1888,Richard Hamilton,1999,3,2001-02,63,1083,472,0.4358264081255771,draft
27,1888,Richard Hamilton,1999,4,2002-03,82,1286,570,0.4432348367029549,draft
28,1889,Andre Miller,1999,1,1999-00,82,754,339,0.4496021220159151,draft
29,1889,Andre Miller,1999,2,2000-01,82,987,451,0.4569402228976697,draft
30,1889,Andre Miller,1999,3,2001-02,81,1037,474,0.4570877531340405,draft
31,1889,Andre Miller,1999,4,2002-03,80,921,377,0.40933767643865365,draft
32,1890,Shawn Marion,1999,1,1999-00,51,471,222,0.4713375796178344,draft
33,1890,Shawn Marion,1999,2,2000-01,79,1157,557,0.4814174589455488,draft
34,1890,Shawn Marion,1999,3,2001-02,81,1393,654,0.4694903086862886,draft
35,1890,Shawn Marion,1999,4,2002-03,81,1464,662,0.4521857923497268,draft
36,1891,Jason Terry,1999,1,1999-00,79,598,248,0.41471571906354515,draft
37,1891,Jason Terry,1999,2,2000-01,82,1367,596,0.4359912216532553,draft
38,1891,Jason Terry,1999,3,2001-02,77,1219,524,0.4298605414273995,draft
39,1891,Jason Terry,1999,4,2002-03,81,1140,488,0.4280701754385965,draft
40,1892,Trajan Langdon,1999,1,1999-00,6,40,15,0.375,draft
41,1892,Trajan Langdon,1999,2,2000-01,60,313,135,0.43130990415335463,draft
42,1892,Trajan Langdon,1999,3,2001-02,40,175,70,0.4,draft
43,1894,Corey Maggette,1999,1,1999-00,77,468,224,0.47863247863247865,draft
44,1894,Corey Maggette,1999,2,2000-01,68,487,225,0.4620123203285421,draft
45,1894,Corey Maggette,1999,3,2001-02,62,530,235,0.44339622641509435,draft
46,1894,Corey Maggette,1999,4,2002-03,64,772,343,0.44430051813471505,draft
47,1895,William Avery,1999,1,1999-00,49,180,56,0.3111111111111111,draft
48,1895,William Avery,1999,2,2000-01,44,142,55,0.3873239436619718,draft
49,1895,William Avery,1999,3,2001-02,23,89,26,0.29213483146067415,draft
50,1897,Metta World Peace,1999,1,1999-00,72,758,309,0.4076517150395778,draft
51,1897,Metta World Peace,1999,2,2000-01,76,814,327,0.40171990171990174,draft
52,1897,Metta World Peace,1999,3,2001-02,55,636,269,0.4229559748427673,draft
53,1897,Metta World Peace,1999,4,2002-03,69,846,362,0.42789598108747046,draft
54,1898,Cal Bowdler,1999,1,1999-00,36,115,49,0.4260869565217391,draft
55,1898,Cal Bowdler,1999,2,2000-01,31,114,53,0.4649122807017544,draft
56,1898,Cal Bowdler,1999,3,2001-02,46,174,61,0.3505747126436782,draft
57,1899,James Posey,1999,1,1999-00,78,536,230,0.4291044776119403,draft
58,1899,James Posey,1999,2,2000-01,82,588,243,0.413265306122449,draft
59,1899,James Posey,1999,3,2001-02,73,733,277,0.37789904502046384,draft
60,1899,James Posey,1999,4,2002-03,82,749,309,0.41255006675567424,draft
61,1900,Quincy Lewis,1999,1,1999-00,69,297,111,0.37373737373737376,draft
62,1900,Quincy Lewis,1999,2,2000-01,30,123,50,0.4065040650406504,draft
63,1900,Quincy Lewis,1999,3,2001-02,30,143,64,0.44755244755244755,draft
64,1901,Dion Glover,1999,1,1999-00,29,171,66,0.38596491228070173,draft
65,1901,Dion Glover,1999,2,2000-01,53,335,141,0.4208955223880597,draft
66,1901,Dion Glover,1999,3,2001-02,54,455,192,0.421978021978022,draft
67,1901,Dion Glover,1999,4,2002-03,76,647,277,0.4281298299845441,draft
68,1902,Jeff Foster,1999,2,2000-01,59,213,100,0.4694835680751174,draft
69,1902,Jeff Foster,1999,3,2001-02,79,393,177,0.45038167938931295,draft
70,1902,Jeff Foster,1999,4,2002-03,65,177,64,0.3615819209039548,draft
71,1903,Kenny Thomas,1999,1,1999-00,69,531,212,0.3992467043314501,draft
72,1903,Kenny Thomas,1999,2,2000-01,74,465,206,0.443010752688172,draft
73,1903,Kenny Thomas,1999,3,2001-02,72,828,396,0.4782608695652174,draft
74,1903,Kenny Thomas,1999,4,2002-03,66,559,260,0.46511627906976744,draft
75,1904,Devean George,1999,1,1999-00,39,143,56,0.3916083916083916,draft
76,1904,Devean George,1999,2,2000-01,51,207,64,0.30917874396135264,draft
77,1904,Devean George,1999,3,2001-02,81,519,215,0.4142581888246628,draft
78,1904,Devean George,1999,4,2002-03,71,460,180,0.391304347826087,draft
79,1905,Andrei Kirilenko,1999,3,2001-02,82,633,285,0.45023696682464454,draft
80,1905,Andrei Kirilenko,1999,4,2002-03,80,640,315,0.4921875,draft
81,1906,Tim James,1999,2,2000-01,23,52,16,0.3076923076923077,draft
