tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label
843,101114,Deron Williams,2005,2,2006-07,80,1078,494,0.4582560296846011,draft
844,101114,Deron Williams,2005,3,2007-08,82,1112,566,0.5089928057553957,draft
845,101114,Deron Williams,2005,4,2008-09,68,983,463,0.47100712105798576,draft
846,101115,Andrew Bynum,2005,1,2005-06,33,82,33,0.4024390243902439,draft
847,101115,Andrew Bynum,2005,2,2006-07,81,442,247,0.5588235294117647,draft
848,101115,Andrew Bynum,2005,3,2007-08,35,297,189,0.6363636363636364,draft
849,101115,Andrew Bynum,2005,4,2008-09,50,502,281,0.5597609561752988,draft
850,101117,Yaroslav Korolev,2005,1,2005-06,12,30,9,0.3,draft
851,101118,Sean May,2005,1,2005-06,23,170,70,0.4117647058823529,draft
852,101118,Sean May,2005,2,2006-07,34,328,164,0.5,draft
853,101118,Sean May,2005,4,2008-09,24,98,39,0.3979591836734694,draft
854,101119,Rashad McCants,2005,1,2005-06,75,534,241,0.45131086142322097,draft
855,101119,Rashad McCants,2005,2,2006-07,35,176,62,0.3522727272727273,draft
856,101119,Rashad McCants,2005,3,2007-08,75,942,428,0.4543524416135881,draft
857,101119,Rashad McCants,2005,4,2008-09,58,486,192,0.3950617283950617,draft
858,101120,Antoine Wright,2005,1,2005-06,33,81,29,0.35802469135802467,draft
859,101120,Antoine Wright,2005,2,2006-07,56,250,110,0.44,draft
860,101120,Antoine Wright,2005,3,2007-08,51,327,136,0.41590214067278286,draft
861,101120,Antoine Wright,2005,4,2008-09,64,430,179,0.41627906976744183,draft
862,101121,Joey Graham,2005,1,2005-06,80,414,198,0.4782608695652174,draft
863,101121,Joey Graham,2005,2,2006-07,71,386,192,0.49740932642487046,draft
864,101121,Joey Graham,2005,3,2007-08,32,113,49,0.4336283185840708,draft
865,101121,Joey Graham,2005,4,2008-09,75,478,231,0.48326359832635984,draft
866,101122,Danny Granger,2005,1,2005-06,77,476,221,0.4642857142857143,draft
867,101122,Danny Granger,2005,2,2006-07,82,867,398,0.4590542099192618,draft
868,101122,Danny Granger,2005,3,2007-08,80,1204,537,0.44601328903654486,draft
869,101122,Danny Granger,2005,4,2008-09,67,1276,571,0.44749216300940436,draft
870,101123,Gerald Green,2005,1,2005-06,23,137,65,0.4744525547445255,draft
871,101123,Gerald Green,2005,2,2006-07,80,739,310,0.41948579161028415,draft
872,101123,Gerald Green,2005,3,2007-08,29,151,52,0.3443708609271523,draft
873,101123,Gerald Green,2005,4,2008-09,35,180,79,0.4388888888888889,draft
874,101124,Hakim Warrick,2005,1,2005-06,56,228,101,0.44298245614035087,draft
875,101124,Hakim Warrick,2005,2,2006-07,82,710,373,0.5253521126760563,draft
876,101124,Hakim Warrick,2005,3,2007-08,74,652,328,0.5030674846625767,draft
877,101124,Hakim Warrick,2005,4,2008-09,82,692,340,0.4913294797687861,draft
878,101126,Nate Robinson,2005,1,2005-06,70,559,230,0.41144901610017887,draft
879,101126,Nate Robinson,2005,2,2006-07,61,520,227,0.43653846153846154,draft
880,101126,Nate Robinson,2005,3,2007-08,71,775,331,0.4270967741935484,draft
881,101126,Nate Robinson,2005,4,2008-09,74,1022,449,0.43933463796477495,draft
882,101127,Jarrett Jack,2005,1,2005-06,76,427,189,0.4426229508196721,draft
883,101127,Jarrett Jack,2005,2,2006-07,79,704,320,0.45454545454545453,draft
884,101127,Jarrett Jack,2005,3,2007-08,82,620,267,0.4306451612903226,draft
885,101127,Jarrett Jack,2005,4,2008-09,82,852,386,0.45305164319248825,draft
886,101128,Francisco Garcia,2005,1,2005-06,63,325,130,0.4,draft
887,101128,Francisco Garcia,2005,2,2006-07,77,380,163,0.42894736842105263,draft
888,101128,Francisco Garcia,2005,3,2007-08,78,751,348,0.4633821571238349,draft
889,101128,Francisco Garcia,2005,4,2008-09,65,665,295,0.44360902255639095,draft
890,101129,Luther Head,2005,1,2005-06,80,629,254,0.40381558028616854,draft
891,101129,Luther Head,2005,2,2006-07,80,698,306,0.4383954154727794,draft
892,101129,Luther Head,2005,3,2007-08,70,476,206,0.4327731092436975,draft
893,101129,Luther Head,2005,4,2008-09,29,143,55,0.38461538461538464,draft
894,101130,Johan Petro,2005,1,2005-06,63,300,153,0.51,draft
895,101130,Johan Petro,2005,2,2006-07,78,438,226,0.5159817351598174,draft
896,101130,Johan Petro,2005,3,2007-08,69,439,184,0.4191343963553531,draft
897,101130,Johan Petro,2005,4,2008-09,47,175,73,0.41714285714285715,draft
898,101131,Jason Maxiell,2005,1,2005-06,22,54,23,0.42592592592592593,draft
899,101131,Jason Maxiell,2005,2,2006-07,58,262,131,0.5,draft
900,101131,Jason Maxiell,2005,3,2007-08,81,446,240,0.5381165919282511,draft
901,101131,Jason Maxiell,2005,4,2008-09,76,320,184,0.575,draft
902,101132,Linas Kleiza,2005,1,2005-06,47,172,77,0.4476744186046512,draft
903,101132,Linas Kleiza,2005,2,2006-07,72,473,200,0.42283298097251587,draft
904,101132,Linas Kleiza,2005,3,2007-08,79,656,311,0.4740853658536585,draft
905,101132,Linas Kleiza,2005,4,2008-09,82,644,289,0.44875776397515527,draft
906,101134,Wayne Simien,2005,1,2005-06,33,120,58,0.48333333333333334,draft
907,101135,David Lee,2005,1,2005-06,55,229,137,0.5982532751091703,draft
908,101135,David Lee,2005,2,2006-07,58,400,240,0.6,draft
909,101135,David Lee,2005,3,2007-08,81,618,341,0.551779935275081,draft
910,101135,David Lee,2005,4,2008-09,81,951,522,0.5488958990536278,draft
911,101136,Salim Stoudamire,2005,1,2005-06,61,491,204,0.4154786150712831,draft
912,101136,Salim Stoudamire,2005,2,2006-07,57,424,177,0.41745283018867924,draft
913,101136,Salim Stoudamire,2005,3,2007-08,32,180,65,0.3611111111111111,draft
914,101137,Daniel Ewing,2005,1,2005-06,63,253,97,0.383399209486166,draft
915,101137,Daniel Ewing,2005,2,2006-07,47,161,65,0.40372670807453415,draft
916,101138,Brandon Bass,2005,1,2005-06,22,70,28,0.4,draft
917,101138,Brandon Bass,2005,2,2006-07,16,44,15,0.3409090909090909,draft
918,101138,Brandon Bass,2005,3,2007-08,78,493,246,0.49898580121703856,draft
919,101138,Brandon Bass,2005,4,2008-09,81,503,252,0.5009940357852882,draft
920,101139,CJ Miles,2005,1,2005-06,18,75,28,0.37333333333333335,draft
921,101139,CJ Miles,2005,2,2006-07,31,116,40,0.3448275862068966,draft
922,101139,CJ Miles,2005,3,2007-08,52,235,113,0.4808510638297872,draft
923,101139,CJ Miles,2005,4,2008-09,72,562,258,0.45907473309608543,draft
924,101141,Ersan Ilyasova,2005,2,2006-07,62,363,139,0.38292011019283745,draft
925,101142,Ronny Turiaf,2005,1,2005-06,14,30,15,0.5,draft
926,101142,Ronny Turiaf,2005,2,2006-07,63,268,147,0.5485074626865671,draft
927,101142,Ronny Turiaf,2005,3,2007-08,76,397,188,0.473551637279597,draft
928,101142,Ronny Turiaf,2005,4,2008-09,79,365,186,0.5095890410958904,draft
929,101143,Travis Diener,2005,1,2005-06,20,68,29,0.4264705882352941,draft
930,101143,Travis Diener,2005,2,2006-07,22,80,34,0.425,draft
931,101143,Travis Diener,2005,3,2007-08,66,430,159,0.3697674418604651,draft
932,101143,Travis Diener,2005,4,2008-09,50,177,74,0.4180790960451977,draft
933,101144,Von Wafer,2005,1,2005-06,15,38,6,0.15789473684210525,draft
934,101144,Von Wafer,2005,3,2007-08,24,60,17,0.2833333333333333,draft
935,101144,Von Wafer,2005,4,2008-09,62,512,229,0.447265625,draft
936,101145,Monta Ellis,2005,1,2005-06,49,318,132,0.41509433962264153,draft
937,101145,Monta Ellis,2005,2,2006-07,77,1009,480,0.4757185332011893,draft
938,101145,Monta Ellis,2005,3,2007-08,81,1226,652,0.531810766721044,draft
939,101145,Monta Ellis,2005,4,2008-09,25,429,194,0.4522144522144522,draft
940,101146,Roko Ukic,2005,4,2008-09,69,324,123,0.37962962962962965,draft
941,101147,Chris Taft,2005,1,2005-06,15,38,23,0.6052631578947368,draft
942,101150,Lou Williams,2005,1,2005-06,24,52,23,0.4423076923076923,draft
943,101150,Lou Williams,2005,2,2006-07,53,211,93,0.44075829383886256,draft
944,101150,Lou Williams,2005,3,2007-08,80,750,319,0.42533333333333334,draft
945,101150,Lou Williams,2005,4,2008-09,81,844,336,0.3981042654028436,draft
946,101152,Bracey Wright,2005,1,2005-06,7,51,21,0.4117647058823529,draft
947,101152,Bracey Wright,2005,2,2006-07,16,60,24,0.4,draft
948,101153,Mickael Gelabale,2005,2,2006-07,58,264,122,0.4621212121212121,draft
949,101153,Mickael Gelabale,2005,3,2007-08,37,157,69,0.4394904458598726,draft
950,101154,Andray Blatche,2005,1,2005-06,24,67,26,0.3880597014925373,draft
951,101154,Andray Blatche,2005,2,2006-07,46,197,86,0.4365482233502538,draft
952,101154,Andray Blatche,2005,3,2007-08,82,536,254,0.47388059701492535,draft
953,101154,Andray Blatche,2005,4,2008-09,71,630,297,0.4714285714285714,draft
954,101155,Ryan Gomes,2005,1,2005-06,53,355,173,0.48732394366197185,draft
955,101155,Ryan Gomes,2005,2,2006-07,73,723,338,0.46749654218533887,draft
956,101155,Ryan Gomes,2005,3,2007-08,82,855,392,0.4584795321637427,draft
957,101155,Ryan Gomes,2005,4,2008-09,82,971,420,0.4325437693099897,draft
958,101156,Robert Whaley,2005,1,2005-06,17,57,23,0.40350877192982454,draft
959,101158,Orien Greene,2005,1,2005-06,70,253,100,0.3952569169960474,draft
960,101158,Orien Greene,2005,2,2006-07,26,62,23,0.3709677419354839,draft
961,101159,Dijon Thompson,2005,1,2005-06,8,25,11,0.44,draft
962,101160,Lawrence Roberts,2005,1,2005-06,21,44,20,0.45454545454545453,draft
963,101160,Lawrence Roberts,2005,2,2006-07,52,207,94,0.45410628019323673,draft
964,101161,Amir Johnson,2005,2,2006-07,5,33,18,0.5454545454545454,draft
965,101161,Amir Johnson,2005,3,2007-08,55,165,92,0.5575757575757576,draft
966,101161,Amir Johnson,2005,4,2008-09,51,163,97,0.5950920245398773,draft
967,101162,Marcin Gortat,2005,4,2008-09,54,187,106,0.5668449197860963,draft
968,101165,Alex Acker,2005,4,2008-09,22,76,30,0.39473684210526316,draft
969,101166,Uros Slokar,2005,2,2006-07,10,26,14,0.5384615384615384,draft
970,200745,Andrea Bargnani,2006,1,2006-07,65,625,267,0.4272,draft
971,200745,Andrea Bargnani,2006,2,2007-08,78,722,280,0.3878116343490305,draft
972,200745,Andrea Bargnani,2006,3,2008-09,78,957,431,0.4503657262277952,draft
973,200745,Andrea Bargnani,2006,4,2009-10,80,1141,537,0.4706397896581946,draft
974,200746,LaMarcus Aldridge,2006,1,2006-07,60,479,241,0.5031315240083507,draft
975,200746,LaMarcus Aldridge,2006,2,2007-08,76,1158,561,0.4844559585492228,draft
976,200746,LaMarcus Aldridge,2006,3,2008-09,81,1240,601,0.4846774193548387,draft
977,200746,LaMarcus Aldridge,2006,4,2009-10,78,1166,579,0.49656946826758147,draft
978,200747,Adam Morrison,2006,1,2006-07,78,944,355,0.3760593220338983,draft
979,200747,Adam Morrison,2006,3,2008-09,49,223,80,0.35874439461883406,draft
980,200747,Adam Morrison,2006,4,2009-10,30,85,32,0.3764705882352941,draft
981,200748,Tyrus Thomas,2006,1,2006-07,64,282,134,0.475177304964539,draft
982,200748,Tyrus Thomas,2006,2,2007-08,71,440,186,0.42272727272727273,draft
983,200748,Tyrus Thomas,2006,3,2008-09,78,682,308,0.45161290322580644,draft
984,200748,Tyrus Thomas,2006,4,2009-10,53,420,194,0.46190476190476193,draft
985,200749,Shelden Williams,2006,1,2006-07,73,365,166,0.4547945205479452,draft
986,200749,Shelden Williams,2006,2,2007-08,54,212,92,0.4339622641509434,draft
987,200749,Shelden Williams,2006,3,2008-09,41,157,70,0.445859872611465,draft
988,200749,Shelden Williams,2006,4,2009-10,42,121,63,0.5206611570247934,draft
989,200750,Brandon Roy,2006,1,2006-07,57,762,349,0.458005249343832,draft
990,200750,Brandon Roy,2006,2,2007-08,74,1169,531,0.4542343883661249,draft
991,200750,Brandon Roy,2006,3,2008-09,78,1314,633,0.4817351598173516,draft
992,200750,Brandon Roy,2006,4,2009-10,65,1035,491,0.47439613526570046,draft
993,200751,Randy Foye,2006,1,2006-07,82,688,300,0.436046511627907,draft
994,200751,Randy Foye,2006,2,2007-08,39,459,198,0.43137254901960786,draft
995,200751,Randy Foye,2006,3,2008-09,70,980,399,0.40714285714285714,draft
996,200751,Randy Foye,2006,4,2009-10,70,618,256,0.41423948220064727,draft
997,200752,Rudy Gay,2006,1,2006-07,77,755,321,0.4251655629139073,draft
998,200752,Rudy Gay,2006,2,2007-08,81,1348,625,0.46364985163204747,draft
999,200752,Rudy Gay,2006,3,2008-09,79,1262,572,0.4532488114104596,draft
1000,200752,Rudy Gay,2006,4,2009-10,80,1285,600,0.4669260700389105,draft
1001,200753,Patrick O'Bryant,2006,1,2006-07,14,32,10,0.3125,draft
1002,200753,Patrick O'Bryant,2006,2,2007-08,15,29,16,0.5517241379310345,draft
1003,200753,Patrick O'Bryant,2006,3,2008-09,25,83,45,0.5421686746987951,draft
1004,200754,Mouhamed Sene,2006,1,2006-07,19,49,18,0.3673469387755102,draft
1005,200755,JJ Redick,2006,1,2006-07,42,195,80,0.41025641025641024,draft
1006,200755,JJ Redick,2006,2,2007-08,28,108,48,0.4444444444444444,draft
1007,200755,JJ Redick,2006,3,2008-09,60,299,117,0.391304347826087,draft
1008,200755,JJ Redick,2006,4,2009-10,81,553,243,0.4394213381555154,draft
1009,200756,Hilton Armstrong,2006,1,2006-07,40,125,68,0.544,draft
1010,200756,Hilton Armstrong,2006,2,2007-08,56,148,67,0.4527027027027027,draft
1011,200756,Hilton Armstrong,2006,3,2008-09,66,244,138,0.5655737704918032,draft
1012,200756,Hilton Armstrong,2006,4,2009-10,30,79,28,0.35443037974683544,draft
1013,200757,Thabo Sefolosha,2006,1,2006-07,59,256,109,0.42578125,draft
1014,200757,Thabo Sefolosha,2006,2,2007-08,62,418,180,0.430622009569378,draft
1015,200757,Thabo Sefolosha,2006,3,2008-09,64,356,152,0.42696629213483145,draft
1016,200757,Thabo Sefolosha,2006,4,2009-10,81,441,194,0.4399092970521542,draft
1017,200758,Ronnie Brewer,2006,1,2006-07,51,193,102,0.5284974093264249,draft
1018,200758,Ronnie Brewer,2006,2,2007-08,76,633,354,0.5592417061611374,draft
1019,200758,Ronnie Brewer,2006,3,2008-09,81,825,421,0.5103030303030303,draft
1020,200758,Ronnie Brewer,2006,4,2009-10,58,428,209,0.4883177570093458,draft
1021,200759,Cedric Simmons,2006,1,2006-07,36,132,55,0.4166666666666667,draft
1022,200759,Cedric Simmons,2006,3,2008-09,8,25,11,0.44,draft
1023,200760,Rodney Carney,2006,1,2006-07,62,389,182,0.46786632390745503,draft
1024,200760,Rodney Carney,2006,2,2007-08,67,392,158,0.4030612244897959,draft
1025,200760,Rodney Carney,2006,3,2008-09,62,423,176,0.4160756501182033,draft
1026,200760,Rodney Carney,2006,4,2009-10,62,281,113,0.40213523131672596,draft
1027,200761,Shawne Williams,2006,1,2006-07,38,160,75,0.46875,draft
1028,200761,Shawne Williams,2006,2,2007-08,64,371,159,0.42857142857142855,draft
1029,200761,Shawne Williams,2006,3,2008-09,14,56,16,0.2857142857142857,draft
1030,200762,Oleksiy Pecherov,2006,2,2007-08,31,125,44,0.352,draft
1031,200762,Oleksiy Pecherov,2006,3,2008-09,28,101,39,0.38613861386138615,draft
1032,200762,Oleksiy Pecherov,2006,4,2009-10,41,188,77,0.4095744680851064,draft
1033,200763,Quincy Douby,2006,1,2006-07,33,126,48,0.38095238095238093,draft
1034,200763,Quincy Douby,2006,2,2007-08,69,335,132,0.3940298507462687,draft
1035,200763,Quincy Douby,2006,3,2008-09,26,110,42,0.38181818181818183,draft
1036,200764,Renaldo Balkman,2006,1,2006-07,63,274,139,0.5072992700729927,draft
1037,200764,Renaldo Balkman,2006,2,2007-08,59,186,91,0.489247311827957,draft
1038,200764,Renaldo Balkman,2006,3,2008-09,44,196,110,0.5612244897959183,draft
1039,200765,Rajon Rondo,2006,1,2006-07,73,446,188,0.42152466367713004,draft
1040,200765,Rajon Rondo,2006,2,2007-08,77,712,351,0.49297752808988765,draft
1041,200765,Rajon Rondo,2006,3,2008-09,79,759,383,0.5046113306982872,draft
1042,200765,Rajon Rondo,2006,4,2009-10,81,901,459,0.5094339622641509,draft
1043,200766,Marcus Williams,2006,1,2006-07,79,521,208,0.39923224568138194,draft
1044,200766,Marcus Williams,2006,2,2007-08,49,289,111,0.38408304498269896,draft
1045,200766,Marcus Williams,2006,4,2009-10,57,264,103,0.39015151515151514,draft
1046,200767,Josh Boone,2006,1,2006-07,48,171,99,0.5789473684210527,draft
1047,200767,Josh Boone,2006,2,2007-08,67,434,238,0.5483870967741935,draft
1048,200767,Josh Boone,2006,3,2008-09,55,214,113,0.5280373831775701,draft
1049,200767,Josh Boone,2006,4,2009-10,55,223,117,0.5246636771300448,draft
1050,200768,Kyle Lowry,2006,1,2006-07,9,38,14,0.3684210526315789,draft
1051,200768,Kyle Lowry,2006,2,2007-08,82,585,256,0.4376068376068376,draft
1052,200768,Kyle Lowry,2006,3,2008-09,76,431,189,0.4385150812064965,draft
1053,200768,Kyle Lowry,2006,4,2009-10,68,462,184,0.39826839826839827,draft
1054,200769,Shannon Brown,2006,1,2006-07,20,74,28,0.3783783783783784,draft
1055,200769,Shannon Brown,2006,2,2007-08,20,125,44,0.352,draft
1056,200769,Shannon Brown,2006,3,2008-09,41,163,78,0.4785276073619632,draft
1057,200769,Shannon Brown,2006,4,2009-10,81,588,253,0.4302721088435374,draft
1058,200770,Jordan Farmar,2006,1,2006-07,70,292,124,0.4246575342465753,draft
1059,200770,Jordan Farmar,2006,2,2007-08,82,629,291,0.4626391096979332,draft
1060,200770,Jordan Farmar,2006,3,2008-09,65,411,161,0.39172749391727496,draft
1061,200770,Jordan Farmar,2006,4,2009-10,81,514,224,0.4357976653696498,draft
1062,200771,Sergio Rodriguez,2006,1,2006-07,62,238,101,0.42436974789915966,draft
1063,200771,Sergio Rodriguez,2006,2,2007-08,65,192,69,0.359375,draft
1064,200771,Sergio Rodriguez,2006,3,2008-09,80,324,129,0.39814814814814814,draft
1065,200771,Sergio Rodriguez,2006,4,2009-10,65,351,167,0.4757834757834758,draft
1066,200772,Maurice Ager,2006,1,2006-07,24,70,22,0.3142857142857143,draft
1067,200772,Maurice Ager,2006,2,2007-08,22,65,21,0.3230769230769231,draft
1068,200772,Maurice Ager,2006,3,2008-09,16,43,15,0.3488372093023256,draft
1069,200776,Mardy Collins,2006,1,2006-07,36,225,87,0.38666666666666666,draft
1070,200776,Mardy Collins,2006,2,2007-08,38,174,57,0.3275862068965517,draft
1071,200776,Mardy Collins,2006,3,2008-09,44,246,105,0.4268292682926829,draft
1072,200776,Mardy Collins,2006,4,2009-10,33,126,47,0.373015873015873,draft
1073,200778,James White,2006,1,2006-07,6,41,18,0.43902439024390244,draft
1074,200779,Steve Novak,2006,1,2006-07,23,50,18,0.36,draft
1075,200779,Steve Novak,2006,2,2007-08,29,102,49,0.4803921568627451,draft
1076,200779,Steve Novak,2006,3,2008-09,61,394,176,0.4467005076142132,draft
1077,200779,Steve Novak,2006,4,2009-10,33,108,42,0.3888888888888889,draft
1078,200780,Solomon Jones,2006,1,2006-07,41,128,65,0.5078125,draft
1079,200780,Solomon Jones,2006,2,2007-08,13,30,12,0.4,draft
1080,200780,Solomon Jones,2006,3,2008-09,43,111,67,0.6036036036036037,draft
1081,200780,Solomon Jones,2006,4,2009-10,50,176,78,0.4431818181818182,draft
1082,200781,Paul Davis,2006,1,2006-07,17,52,22,0.4230769230769231,draft
1083,200781,Paul Davis,2006,2,2007-08,17,65,24,0.36923076923076925,draft
1084,200781,Paul Davis,2006,3,2008-09,26,98,40,0.40816326530612246,draft
1085,200783,Craig Smith,2006,1,2006-07,80,461,246,0.5336225596529284,draft
1086,200783,Craig Smith,2006,2,2007-08,77,525,297,0.5657142857142857,draft
1087,200783,Craig Smith,2006,3,2008-09,74,513,289,0.5633528265107213,draft
1088,200783,Craig Smith,2006,4,2009-10,72,397,226,0.5692695214105793,draft
1089,200784,Bobby Jones,2006,1,2006-07,26,93,43,0.46236559139784944,draft
1090,200784,Bobby Jones,2006,2,2007-08,36,140,60,0.42857142857142855,draft
1091,200786,David Noel,2006,1,2006-07,48,177,65,0.3672316384180791,draft
1092,200788,James Augustine,2006,2,2007-08,19,34,18,0.5294117647058824,draft
1093,200789,Daniel Gibson,2006,1,2006-07,56,229,98,0.4279475982532751,draft
1094,200789,Daniel Gibson,2006,2,2007-08,58,465,201,0.432258064516129,draft
1095,200789,Daniel Gibson,2006,3,2008-09,75,527,206,0.3908918406072106,draft
1096,200789,Daniel Gibson,2006,4,2009-10,52,268,125,0.4664179104477612,draft
1097,200792,Alexander Johnson,2006,1,2006-07,46,169,91,0.5384615384615384,draft
1098,200792,Alexander Johnson,2006,2,2007-08,34,125,61,0.488,draft
1099,200793,Dee Brown,2006,1,2006-07,35,98,32,0.32653061224489793,draft
1100,200793,Dee Brown,2006,3,2008-09,16,49,18,0.3673469387755102,draft
1101,200794,Paul Millsap,2006,1,2006-07,78,398,209,0.5251256281407035,draft
1102,200794,Paul Millsap,2006,2,2007-08,81,501,253,0.5049900199600799,draft
1103,200794,Paul Millsap,2006,3,2008-09,76,748,400,0.5347593582887701,draft
1104,200794,Paul Millsap,2006,4,2009-10,82,716,385,0.5377094972067039,draft
1105,200796,Leon Powe,2006,1,2006-07,48,177,79,0.4463276836158192,draft
1106,200796,Leon Powe,2006,2,2007-08,47,269,154,0.5724907063197026,draft
1107,200796,Leon Powe,2006,3,2008-09,68,338,177,0.5236686390532544,draft
1108,200796,Leon Powe,2006,4,2009-10,12,49,21,0.42857142857142855,draft
1109,200797,Ryan Hollins,2006,1,2006-07,17,36,20,0.5555555555555556,draft
1110,200797,Ryan Hollins,2006,2,2007-08,39,94,46,0.48936170212765956,draft
1111,200797,Ryan Hollins,2006,3,2008-09,37,94,50,0.5319148936170213,draft
1112,200797,Ryan Hollins,2006,4,2009-10,71,303,169,0.5577557755775577,draft
1113,200798,Cheikh Samb,2006,3,2008-09,11,32,6,0.1875,draft
1114,200801,Hassan Adams,2006,1,2006-07,40,135,75,0.5555555555555556,draft
1115,200806,Damir Markota,2006,1,2006-07,25,52,19,0.36538461538461536,draft
1116,200807,Will Blalock,2006,1,2006-07,11,30,9,0.3,draft
1117,201141,Greg Oden,2007,2,2008-09,61,351,198,0.5641025641025641,draft
1118,201141,Greg Oden,2007,3,2009-10,20,152,92,0.6052631578947368,draft
1119,201142,Kevin Durant,2007,1,2007-08,80,1365,587,0.43003663003663006,draft
1120,201142,Kevin Durant,2007,2,2008-09,74,1390,661,0.47553956834532374,draft
1121,201142,Kevin Durant,2007,3,2009-10,82,1668,794,0.47601918465227816,draft
1122,201142,Kevin Durant,2007,4,2010-11,78,1538,711,0.46228868660598177,draft
1123,201143,Al Horford,2007,1,2007-08,81,667,333,0.4992503748125937,draft
1124,201143,Al Horford,2007,2,2008-09,67,594,312,0.5252525252525253,draft
1125,201143,Al Horford,2007,3,2009-10,81,847,467,0.551357733175915,draft
1126,201143,Al Horford,2007,4,2010-11,77,921,513,0.5570032573289903,draft
1127,201144,Mike Conley,2007,1,2007-08,53,441,189,0.42857142857142855,draft
1128,201144,Mike Conley,2007,2,2008-09,81,728,323,0.44368131868131866,draft
1129,201144,Mike Conley,2007,3,2009-10,80,829,369,0.4451145958986731,draft
1130,201144,Mike Conley,2007,4,2010-11,81,952,423,0.44432773109243695,draft
1131,201145,Jeff Green,2007,1,2007-08,80,748,320,0.42780748663101603,draft
1132,201145,Jeff Green,2007,2,2008-09,78,1067,476,0.44611059044048734,draft
1133,201145,Jeff Green,2007,3,2009-10,82,1069,485,0.4536950420954163,draft
1134,201145,Jeff Green,2007,4,2010-11,75,818,368,0.44987775061124696,draft
1135,201146,Yi Jianlian,2007,1,2007-08,66,520,219,0.42115384615384616,draft
1136,201146,Yi Jianlian,2007,2,2008-09,61,500,191,0.382,draft
1137,201146,Yi Jianlian,2007,3,2009-10,52,563,227,0.40319715808170514,draft
1138,201146,Yi Jianlian,2007,4,2010-11,60,347,145,0.41786743515850144,draft
1139,201147,Corey Brewer,2007,1,2007-08,77,484,182,0.3760330578512397,draft
1140,201147,Corey Brewer,2007,2,2008-09,15,90,37,0.4111111111111111,draft
1141,201147,Corey Brewer,2007,3,2009-10,82,948,409,0.43143459915611815,draft
1142,201147,Corey Brewer,2007,4,2010-11,68,481,193,0.40124740124740127,draft
1143,201148,Brandan Wright,2007,1,2007-08,33,112,62,0.5535714285714286,draft
1144,201148,Brandan Wright,2007,2,2008-09,38,245,130,0.5306122448979592,draft
1145,201148,Brandan Wright,2007,4,2010-11,29,117,60,0.5128205128205128,draft
1146,201149,Joakim Noah,2007,1,2007-08,68,367,177,0.4822888283378747,draft
1147,201149,Joakim Noah,2007,2,2008-09,77,372,207,0.5564516129032258,draft
1148,201149,Joakim Noah,2007,3,2009-10,64,520,262,0.5038461538461538,draft
1149,201149,Joakim Noah,2007,4,2010-11,48,402,211,0.5248756218905473,draft
1150,201150,Spencer Hawes,2007,1,2007-08,65,318,146,0.4591194968553459,draft
1151,201150,Spencer Hawes,2007,2,2008-09,77,799,373,0.4668335419274093,draft
1152,201150,Spencer Hawes,2007,3,2009-10,72,666,312,0.46846846846846846,draft
1153,201150,Spencer Hawes,2007,4,2010-11,81,566,264,0.4664310954063604,draft
1154,201151,Acie Law,2007,1,2007-08,51,237,95,0.4008438818565401,draft
1155,201151,Acie Law,2007,2,2008-09,40,138,51,0.3695652173913043,draft
1156,201151,Acie Law,2007,3,2009-10,23,75,35,0.4666666666666667,draft
1157,201151,Acie Law,2007,4,2010-11,47,186,81,0.43548387096774194,draft
1158,201152,Thaddeus Young,2007,1,2007-08,72,490,264,0.5387755102040817,draft
1159,201152,Thaddeus Young,2007,2,2008-09,75,960,475,0.4947916666666667,draft
1160,201152,Thaddeus Young,2007,3,2009-10,67,812,382,0.47044334975369456,draft
1161,201152,Thaddeus Young,2007,4,2010-11,82,846,458,0.541371158392435,draft
1162,201153,Julian Wright,2007,1,2007-08,48,169,90,0.5325443786982249,draft
1163,201153,Julian Wright,2007,2,2008-09,47,234,109,0.4658119658119658,draft
1164,201153,Julian Wright,2007,3,2009-10,61,232,116,0.5,draft
1165,201153,Julian Wright,2007,4,2010-11,37,160,82,0.5125,draft
1166,201154,Al Thornton,2007,1,2007-08,79,870,374,0.4298850574712644,draft
1167,201154,Al Thornton,2007,2,2008-09,71,1047,469,0.4479465138490926,draft
1168,201154,Al Thornton,2007,3,2009-10,74,675,320,0.4740740740740741,draft
1169,201154,Al Thornton,2007,4,2010-11,70,430,205,0.47674418604651164,draft
1170,201155,Rodney Stuckey,2007,1,2007-08,56,381,153,0.4015748031496063,draft
1171,201155,Rodney Stuckey,2007,2,2008-09,79,907,401,0.4421168687982359,draft
1172,201155,Rodney Stuckey,2007,3,2009-10,73,1106,449,0.40596745027124775,draft
1173,201155,Rodney Stuckey,2007,4,2010-11,70,823,363,0.44106925880923453,draft
1174,201156,Nick Young,2007,1,2007-08,73,478,210,0.4393305439330544,draft
1175,201156,Nick Young,2007,2,2008-09,82,756,336,0.4444444444444444,draft
1176,201156,Nick Young,2007,3,2009-10,73,557,233,0.41831238779174146,draft
1177,201156,Nick Young,2007,4,2010-11,64,934,412,0.4411134903640257,draft
1178,201157,Sean Williams,2007,1,2007-08,63,305,164,0.5377049180327869,draft
1179,201157,Sean Williams,2007,2,2008-09,28,72,30,0.4166666666666667,draft
