PLAYER_ID,PLAYER_NAME,draft_year,macro_cluster_id,macro_archetype,own_cluster_distance,cluster_0_onehot_k5,dist_to_cluster_0_k5,cluster_1_onehot_k5,dist_to_cluster_1_k5,cluster_2_onehot_k5,dist_to_cluster_2_k5,cluster_3_onehot_k5,dist_to_cluster_3_k5,cluster_4_onehot_k5,dist_to_cluster_4_k5,pca_1_k5,pca_2_k5,pca_3_k5,pca_4_k5,pca_5_k5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,cluster_archetype_k5,prototype_fit_rank_distance,prototype_margin_second_minus_first,prototype_ambiguity_ratio
1882,Elton Brand,1999,4,Scoring Bigs / Two-Way Forwards,7.323642187813844,0,8.97849729249505,0,11.616208445608228,0,12.027967543255324,0,14.568058217830115,1,7.323642187813844,7.041009489109097,3.1618476725754343,4.468879319140746,-3.246042565792984,-0.7497326213155758,1.6454213525293253,-2.4947833818358416,1.1213867687553625,1.9653415920322823,-1.3518076459663966,0.1217370469766133,1.3874575919639076,0.5320736590589948,-0.1281535898943956,-0.6110522421913616,0.2207198617291696,-0.2403125964595586,0.0884278512939888,-1.3135266295585917,0.8580464109075784,-0.0345997888933926,0.7365160722644413,0.5091858276080993,-0.0075125113709911,Scoring Bigs / Two-Way Forwards,7.323642187813844,1.6548551046812054,0.8156868515108351
1883,Steve Francis,1999,0,High-Usage Primary Creators,4.288449090746475,1,4.288449090746476,0,13.699056383689696,0,11.198599805235448,0,14.96692877616056,0,8.514521213405233,9.298675681574974,-2.7907292568789046,2.2891311932500624,-1.829393542436156,0.0941078157342071,2.788764464247802,-0.4475385466175984,0.9403607736961276,0.7550047856074346,-0.7611361962896955,0.2887478063195061,0.9316931765598172,0.3509192803122277,1.0417085870873295,-0.6910855114823414,0.0345788306198301,0.0448500131965142,-0.5679304175958121,0.1647988901092821,-0.4144455835632534,-0.0453063292924783,-0.3387915901553577,0.1182847763291698,0.3015360304893761,High-Usage Primary Creators,4.288449090746476,4.226072122658757,0.5036629756697013
1884,Baron Davis,1999,0,High-Usage Primary Creators,5.961304997195813,1,5.961304997195814,0,13.388525775975555,0,10.064009759893707,0,14.505057230636996,0,9.350245802601506,7.805366267696569,-3.4812319546207284,-2.423642953395084,1.3319242610824185,2.2054855629149905,3.351882861759816,-1.32971801844613,-1.048016654486084,-0.9379260660866896,0.1707105480135625,-1.0790060586669543,-0.5584840907976762,0.6361961929714359,0.5024573465984151,-1.3123378978370566,-0.1631071113044867,0.266632741030149,-0.2054084105004942,1.892973843410828,0.2582823960149975,0.037878126421827,0.8738889509334908,0.0412064543148261,-0.2806939670396323,High-Usage Primary Creators,5.961304997195814,3.388940805405692,0.6375559662332309
1885,Lamar Odom,1999,0,High-Usage Primary Creators,5.7362084421509465,1,5.736208442150946,0,10.970546236434526,0,9.19951358645019,0,12.642807245870085,0,7.08581569061908,6.187147465649334,-1.0991609359621437,1.5983044926858436,-3.522877960324357,-0.1943528833494493,2.0079938927213146,-1.1806308436336324,-0.3352567670164985,0.6466513289678268,-0.8746637091046096,-1.1188889061770104,0.458070760136878,1.837554849775373,0.7981692547084869,-0.6567106942119056,0.4119015625766149,-0.8342291607646519,-0.3870263863182469,-0.4886898916046633,1.6736191330526722,-0.8214497342695282,0.0716791002408377,0.815832143041889,1.2044103843830392,High-Usage Primary Creators,5.736208442150946,1.3496072484681347,0.8095339608882459
1886,Jonathan Bender,1999,2,Perimeter Wings & Connectors,6.270957524469091,0,11.111569219209686,0,6.523256063308295,1,6.270957524469091,0,8.322842624813926,0,8.390692827204665,-0.7996360937935106,0.9340128526393396,-0.7577143310550325,1.7209721228660932,-4.487654235228374,-0.2970719044567211,-1.01956913001345,-1.152310572955558,0.6007662828601427,-0.0361423905517245,1.5920408328654905,1.0289638224203863,0.943951763695943,-0.8791577331935787,0.854564286719921,-0.1786396665357489,-0.1528784126903563,0.8476075648258082,0.0956598891271363,-0.4824809633044374,0.3846075997727256,1.168720835749593,0.2322326827248569,1.0161551091748788,Perimeter Wings & Connectors,6.270957524469091,0.25229853883920406,0.9613232201234103
1887,Wally Szczerbiak,1999,0,High-Usage Primary Creators,4.946639707999751,1,4.94663970799975,0,10.645242951804596,0,8.201272451175594,0,12.91569580063615,0,5.310499961471036,7.112746723511797,-0.0309015846281537,-0.5505132522095786,-0.7942812274000417,1.565616464790888,-0.961092444593282,-0.2686778671273048,2.1405007416823367,-0.6374478948840029,-0.8423856607966025,-0.0578568206569494,0.3051158211719109,1.1331287598163386,0.6521834723958206,-0.5733020961536824,-0.1971996321372494,-0.1042509157336809,-0.6373830676583038,0.9306854667219104,-0.5297830973804201,0.5661746657702121,0.1818621201218122,0.3491849385386191,0.1742876389502151,High-Usage Primary Creators,4.94663970799975,0.3638602534712865,0.9314828629863138
1888,Richard Hamilton,1999,0,High-Usage Primary Creators,5.232146189179193,1,5.232146189179193,0,12.6763928265204,0,10.143315198512711,0,13.80954071582626,0,7.2094340831262045,8.07218243953022,-2.1082300375341925,2.82129646701832,1.0391516146094275,-0.9476066943445948,-1.3217960221872795,-2.118795388859141,-0.994179262228194,-0.6054394938613761,0.6422127705407563,1.9563034937817303,0.3831249172278638,-0.2721332122454896,0.5543154540691057,0.3477707602572979,0.3544035352888078,-0.1843303894502831,0.1364666303799323,0.0360230738416369,-0.5871679096511261,0.2105221204433657,1.151052331907363,0.2391001368171463,-0.1920899946990426,High-Usage Primary Creators,5.232146189179193,1.977287893947011,0.725736046526192
1889,Andre Miller,1999,0,High-Usage Primary Creators,6.187092933135674,1,6.187092933135675,0,14.100868618464157,0,11.157111691397851,0,15.33713742583243,0,10.194781225365716,8.533465859423794,-3.690418654160781,-1.3542352178053083,-0.5900307700144704,0.3268446754403225,5.514792657978911,-1.0366527711001543,0.4075229056560001,-0.056645134073943,-0.7063161728095211,0.2420596945911199,-0.989933067568994,-0.6748796752636921,-0.1065838173742966,-1.389779665331943,0.8696877914917667,-0.3556015419752985,0.4088758742479387,-1.0433228225340638,0.0622188907491806,0.9091175045244138,0.7593390714426974,0.8360878815772863,0.020893436777184,High-Usage Primary Creators,6.187092933135675,4.007688292230041,0.6068882496214357
1890,Shawn Marion,1999,4,Scoring Bigs / Two-Way Forwards,4.704683201427508,0,7.280503354844897,0,10.613872495149538,0,9.899103381782536,0,13.70100460116477,1,4.704683201427508,7.319241555382359,2.4682798338363816,1.4332360437891318,0.7488073255627509,-0.0073929068013933,-0.5480570866894471,-2.7267646222379085,0.395685568763105,-0.3279614027525305,-1.0321251964721982,-1.7853740150302717,-0.2941911875910475,-0.1876733627518,0.4662970092218713,0.0378216403037485,0.5434058479989368,0.9282177606797036,-0.9324972411828653,1.1708124619733131,0.4697691379383486,0.4229019503700429,-0.999661213317077,-1.0329857042441444,-0.0724754043356436,Scoring Bigs / Two-Way Forwards,4.704683201427508,2.5758201534173892,0.6462030126387787
1891,Jason Terry,1999,0,High-Usage Primary Creators,4.097239123834482,1,4.097239123834482,0,13.597420694501023,0,10.008692377467703,0,14.845610695533676,0,8.453897844819934,9.16244624976038,-3.5041285333060195,-1.1478372325240371,0.719886614626088,0.8313648108084261,1.346437976539107,-1.4420642900059653,0.3376801044148755,-0.0418422248064605,0.2042409563116791,0.6020808313000634,-0.4212685317967919,-0.3843397882084501,-0.8023635020618918,-1.1117634578268705,0.9926743946915192,-0.2868813885986305,0.1416771135625343,-0.4285628328219316,0.5530363104488808,0.2724870871118377,0.5271538664854026,0.357122463866302,0.2402774507488459,High-Usage Primary Creators,4.097239123834482,4.356658720985452,0.4846568055403031
