PLAYER_ID,PLAYER_NAME,ceiling_comp_PLAYER_ID,ceiling_comp_PLAYER_NAME,ceiling_shot_embedding_distance,ceiling_pca_distance,ceiling_macro_role_match,ceiling_comp_supported,ceiling_comp_similarity_score
2050,Morris Peterson,951,Ray Allen,10.467081267831906,6.093338161230577,0,1,8.936271180521441
2051,Donnell Harvey,1503,Tracy McGrady,31.821224208429616,6.041507041047962,0,1,22.79832319984604
2052,DeShawn Stevenson,1713,Vince Carter,12.193197681028623,5.620418145679177,1,1,9.892724843656318
2053,Dalibor Bagaric,947,Allen Iverson,23.29543807919556,8.423358598828415,0,1,18.09021026106706
2054,Jake Tsakalidis,1503,Tracy McGrady,41.56737840259327,5.996569424830831,0,1,29.11759526037642
2055,Mamadou N'diaye,977,Kobe Bryant,41.1092265502408,10.375641194147585,0,1,30.352471675608175
2056,Primoz Brezec,1495,Tim Duncan,23.071582937109607,10.000850382536363,0,1,18.49682654300897
2057,Erick Barkley,947,Allen Iverson,24.80348845805948,13.246295370900217,0,1,20.758470877553737
2058,Mark Madsen,1503,Tracy McGrady,67.28806469550982,7.27531276383766,0,1,46.283601519424565
2059,Eduardo Najera,1503,Tracy McGrady,59.460348029590435,5.893220857993014,0,1,40.71185351953134
2060,Marko Jaric,947,Allen Iverson,21.172772414829144,7.7587677014587,1,1,16.47787076514949
2061,Dan Langhi,1717,Dirk Nowitzki,17.768331794896657,6.85138185777788,0,1,13.947399316905086
2062,A.J. Guyton,1718,Paul Pierce,15.195845183840571,13.080077138041672,1,1,14.455326367810958
2063,Jake Voskuhl,1503,Tracy McGrady,79.94826899110677,6.818169871976008,0,1,54.352734299411004
2064,Khalid El-Amin,1713,Vince Carter,11.835562496178818,5.152075717870899,1,1,9.496342123771047
2065,Mike Smith,1938,Manu Ginobili,25.69673505404007,6.16347664401966,0,1,18.860094610532926
2066,Soumaila Samake,977,Kobe Bryant,46.29575649784667,8.90452574713487,0,1,33.20882573509754
2067,Eddie House,959,Steve Nash,17.55151263670681,5.762845113703269,1,1,13.425479003655571
2068,Lavor Postell,1717,Dirk Nowitzki,16.138112177169727,8.600108989806854,0,1,13.499811061592721
2069,Hanno Mottola,947,Allen Iverson,17.339427045140123,5.7645356783794,0,1,13.288215066773871
2071,Olumide Oyedeji,1503,Tracy McGrady,65.45884411600086,9.51166347359373,0,1,45.87733089115837
2072,Michael Redd,1497,Chauncey Billups,12.925825693434364,9.625378520327851,0,1,11.770669182847085
2073,Brian Cardinal,1717,Dirk Nowitzki,12.213736383269923,8.419017776249202,0,1,10.885584870812671
2074,Jabari Smith,1503,Tracy McGrady,25.69837548883384,7.876024496889252,0,1,19.460552641653234
2084,Chris Porter,1495,Tim Duncan,18.664451881370017,5.726889168075802,1,1,14.136304931717042
2198,Kwame Brown,947,Allen Iverson,19.569148032819832,5.075804148955978,0,1,14.496477673467483
2199,Tyson Chandler,1503,Tracy McGrady,61.598888338897524,7.7289232484463195,0,1,42.7444005572396
2200,Pau Gasol,1503,Tracy McGrady,30.189403619462094,9.54145090444924,0,1,22.962620169207597
2201,Eddy Curry,1503,Tracy McGrady,56.700928898555,7.468783352300668,0,1,39.46967795736598
2202,Jason Richardson,1713,Vince Carter,10.317547543906146,8.752017085607498,0,1,9.76961188350162
2203,Shane Battier,1713,Vince Carter,8.589205659405764,7.6969015702246715,0,1,8.27689922819238
2204,Eddie Griffin,1497,Chauncey Billups,9.37519843367383,5.449935246744383,0,1,8.001356318248524
2205,DeSagana Diop,1495,Tim Duncan,17.11864880250491,11.022527021458325,0,1,14.985006179138606
2206,Rodney White,1717,Dirk Nowitzki,7.228340113021525,5.840689415126386,1,1,6.742662368758226
2207,Joe Johnson,1717,Dirk Nowitzki,9.398128026744857,8.017600827079939,0,1,8.914943506862135
2208,Kedrick Brown,1938,Manu Ginobili,12.93955013592829,7.6124008820886795,0,1,11.075047897084426
2209,Vladimir Radmanovic,951,Ray Allen,10.729285654028448,5.01454015362226,0,1,8.729124728886282
2210,Richard Jefferson,947,Allen Iverson,32.040517136520016,8.252397980900112,0,1,23.71467543205305
2211,Troy Murphy,1497,Chauncey Billups,8.076107883672975,6.4244748855998495,0,1,7.498036334347381
2212,Steven Hunter,1503,Tracy McGrady,93.85443622969669,8.067315400296176,0,1,63.82894393940651
2213,Kirk Haston,1495,Tim Duncan,33.91370341009467,16.094930108464478,0,1,27.677132754524102
2214,Michael Bradley,1503,Tracy McGrady,58.16580073655652,7.985731513604976,0,1,40.60277650852348
2215,Jason Collins,1503,Tracy McGrady,21.136555936948046,8.008379410638803,0,1,16.54169415273981
2216,Zach Randolph,1503,Tracy McGrady,11.662369619511669,9.43450916068084,0,1,10.882618458920879
2217,Brendan Haywood,1503,Tracy McGrady,31.467731078538574,7.431689569529699,0,1,23.055116550385467
2218,Joseph Forte,1718,Paul Pierce,38.38379805103316,12.855589296437609,0,1,29.44892498692472
2219,Jeryl Sasser,1717,Dirk Nowitzki,16.8901716976778,11.694091610215379,0,1,15.071543667065953
2220,Brandon Armstrong,959,Steve Nash,15.719538181938098,7.718851403319822,0,1,12.919297809421701
2221,Raul Lopez,1717,Dirk Nowitzki,11.034705059925695,8.30003057761289,1,1,10.077568991116213
2222,Gerald Wallace,947,Allen Iverson,44.95850008466701,6.508760792748447,0,1,31.501091332495513
2223,Samuel Dalembert,1503,Tracy McGrady,57.318016315124005,9.806962981854664,0,1,40.68914764847973
2224,Jamaal Tinsley,1718,Paul Pierce,6.275522292666629,9.854823103045263,0,1,7.528277576299151
2225,Tony Parker,1938,Manu Ginobili,6.972059585314445,9.330597149145111,0,1,7.797547732655177
2226,Will Solomon,1717,Dirk Nowitzki,19.594293586124195,4.661629002455747,1,1,14.367860981840238
2228,Alton Ford,1503,Tracy McGrady,43.39152115615725,7.984090716009807,0,1,30.998920502105648
2238,Antonis Fotsis,1503,Tracy McGrady,19.95285620562795,5.1808675657926315,0,1,14.78266018168559
2239,Trenton Hassell,1717,Dirk Nowitzki,8.421318421557986,8.203360976448694,1,1,8.345033315769735
2240,Gilbert Arenas,1713,Vince Carter,7.521778413232482,10.307823898485983,0,1,8.496894333071207
2241,Omar Cook,1717,Dirk Nowitzki,34.466700150330894,13.818711690771812,0,1,27.239904189485216
2242,Terence Morris,947,Allen Iverson,15.086337588639761,6.583806009870682,1,1,12.110451536070583
2243,Brian Scalabrine,1713,Vince Carter,9.159852834899326,4.867055958128482,1,1,7.65737392802953
2244,Jeff Trepagnier,1503,Tracy McGrady,29.590124590131964,11.200328168804118,0,1,23.15369584266722
2245,Damone Brown,951,Ray Allen,19.287476361814004,9.53030474481753,0,1,15.87246629586524
2246,Mehmet Okur,947,Allen Iverson,11.784492437286017,5.889314036245994,0,1,9.72117999692201
2248,Earl Watson,1503,Tracy McGrady,8.987712844546651,8.086411493234761,1,1,8.67225737158749
2249,Jamison Brewer,947,Allen Iverson,21.276118121597687,11.38547592461973,0,1,17.8143933526554
2250,Bobby Simmons,1717,Dirk Nowitzki,10.062596153158465,6.802610505868717,0,1,8.921601176607053
2253,Sean Lampley,947,Allen Iverson,28.92169768431452,8.680870171360576,0,1,21.83740805478064
2254,Loren Woods,1503,Tracy McGrady,40.163121225432064,7.484951766199431,0,1,28.725761914700644
2256,Ken Johnson,1495,Tim Duncan,34.096556207415624,8.366319819053345,0,1,25.090973471488827
2257,Ruben Boumtje-Boumtje,1503,Tracy McGrady,87.7652031293412,12.69604820640535,0,1,61.49099890631365
2260,Jarron Collins,1503,Tracy McGrady,37.626711865727074,6.642443799015158,0,1,26.782218042377906
2261,Kenny Satterfield,951,Ray Allen,19.07275819022296,8.49711402809936,1,1,15.3712827334797
2397,Yao Ming,947,Allen Iverson,14.750081111069859,9.972810507937707,0,1,13.078036399973605
2398,Jay Williams,1713,Vince Carter,14.671863868345378,5.3245128195319555,1,1,11.40029100126068
2399,Mike Dunleavy,1497,Chauncey Billups,12.153877803157952,5.8300289226301025,0,1,9.940530694973205
2400,Drew Gooden,947,Allen Iverson,11.932424787007237,6.976447012097741,0,1,10.197832565788914
