tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24
16,1886,Jonathan Bender,1999,1,1999-00,22,70,23,0.3285714285714285,draft,5.7428904,-17.009726,0.0993481,22.844017,5.836775,7.1400275,3.749467,-17.140078,6.8095226,-13.260746,10.561897,-4.345766,-8.687502,-4.706637,-9.684292,-4.218574,2.194396,8.581389,7.453825,-9.76676,-12.332861,13.625277,-4.7670646,-5.7862267
17,1886,Jonathan Bender,1999,2,2000-01,47,185,66,0.3567567567567568,draft,3.2266688,-5.124489,-1.5829878,11.056988,3.0235825,0.8456522,1.0575461,-7.701146,9.108587,-6.7949247,1.2099724,12.410879,-0.8439324,-5.063329,-4.7413006,-1.1214169,2.6904483,10.006628,12.606705,-7.6227236,-17.502567,0.82291245,-11.02071,0.005072832
18,1886,Jonathan Bender,1999,3,2001-02,78,460,198,0.4304347826086956,draft,7.579113,-6.891908,0.3511507,12.630012,3.6977327,-2.6657932,-3.181901,-12.623831,8.747371,-5.522904,4.2650156,13.548384,-5.8110547,-1.3276818,-7.291853,-5.7425,-1.9126079,14.770081,6.8759575,-6.695221,-16.820778,5.2557573,-12.2679205,1.7625502
19,1886,Jonathan Bender,1999,4,2002-03,44,254,112,0.4409448818897638,draft,5.0192385,-8.384543,-5.1373487,18.500977,7.3144717,-3.2896466,1.5673137,-7.3735657,9.362526,-5.120587,4.5406137,8.979142,-7.402657,-3.7597055,-6.802644,-3.1583056,-1.9997401,12.264017,2.3812432,-7.845744,-21.141493,11.627172,-7.8094406,7.8539667
20,1887,Wally Szczerbiak,1999,1,1999-00,73,669,342,0.5112107623318386,draft,5.830288,-17.38528,-8.981673,30.007349,18.24244,-14.331113,6.6092696,-10.947938,-4.4491496,0.5716604,14.351154,24.492271,-2.3308349,-5.8031173,-10.3095665,-11.174269,-2.6235485,27.978474,6.428525,-20.001797,-18.416216,16.733051,-20.207485,-6.6833973
21,1887,Wally Szczerbiak,1999,2,2000-01,82,919,469,0.5103373231773667,draft,3.7950492,-12.72826,-12.074161,25.136719,14.800509,-9.625553,11.464585,-2.3705578,0.5863422,-4.800637,8.638522,19.017931,3.8984766,-7.7499976,-8.823893,-2.1696234,3.5135617,23.431648,1.4829953,-16.765448,-21.658506,12.951166,-19.053724,-5.924368
22,1887,Wally Szczerbiak,1999,3,2001-02,82,1199,609,0.5079232693911593,draft,6.4349203,-16.181068,-5.379837,22.988358,14.786956,-8.338929,7.2556973,-6.8269773,0.008148789,-5.688053,10.306345,19.122871,-2.697219,-6.214221,-9.237164,-5.9753933,0.44307494,23.411757,3.1193233,-16.520954,-17.56488,11.244982,-21.34417,-7.0154686
23,1887,Wally Szczerbiak,1999,4,2002-03,52,729,351,0.4814814814814814,draft,4.7330604,-8.092832,-2.8634539,26.020018,15.718077,-1.8795784,3.195354,-6.958056,-0.18318236,-12.032892,4.625702,15.268421,0.21966648,-3.092432,-7.7172356,-5.5515704,-0.78055334,17.16125,-1.9656727,-7.6334887,-27.421724,5.991625,-12.655361,-1.3445992
24,1888,Richard Hamilton,1999,1,1999-00,70,605,254,0.4198347107438016,draft,1.1168456,-4.7408276,-6.9392195,20.543694,6.9020414,3.5631409,12.059938,0.54048824,4.29747,-12.680849,-1.4090711,8.062992,3.164826,-1.5061179,-4.270668,2.7912016,0.3919915,9.378744,-0.13819772,-7.273174,-25.009993,3.1157856,-5.217772,3.4138496
25,1888,Richard Hamilton,1999,2,2000-01,78,1249,547,0.4379503602882306,draft,3.495879,-11.322643,-2.8015995,14.758324,8.906875,1.0093656,5.484397,1.3563365,11.666084,-4.2071466,0.031782687,8.272589,-1.1501641,0.060813934,-2.132081,-0.30949503,-1.0840802,2.5273848,3.093694,-8.12306,-15.259178,1.6544598,-8.628561,-0.99167204
26,1888,Richard Hamilton,1999,3,2001-02,63,1083,472,0.4358264081255771,draft,3.4033632,-17.808968,-2.798585,15.242019,7.3478518,-4.0682,4.7443266,-1.7301633,8.671047,-2.1371794,3.094988,12.587046,-2.0403082,-6.5779996,-3.3750715,-0.6831333,0.86155605,9.753162,3.591928,-6.485892,-15.877037,2.8428211,-12.230362,-5.4612665
27,1888,Richard Hamilton,1999,4,2002-03,82,1286,570,0.4432348367029549,draft,6.4247317,-13.040411,-9.616504,23.506332,16.88504,-11.050062,8.888314,-3.1154757,3.2279582,1.9131444,12.886835,16.763962,4.4812593,-10.745821,-9.854037,-3.5127962,5.0461655,18.50012,3.075881,-17.333782,-15.719829,15.016968,-17.828041,-11.661163
28,1889,Andre Miller,1999,1,1999-00,82,754,339,0.4496021220159151,draft,13.727966,-14.647722,-4.0338917,22.951542,18.740406,-10.186081,9.843987,-5.6847353,9.495389,7.2015266,12.061673,17.724035,0.98697877,-5.715046,-13.860706,0.71956384,1.3839159,17.709675,0.1266563,-16.265074,-14.848195,15.514109,-17.037033,-10.733215
29,1889,Andre Miller,1999,2,2000-01,82,987,451,0.4569402228976697,draft,7.647288,-14.668042,-3.2363074,20.484867,13.632448,-6.8991685,7.703323,-1.0985683,9.961388,3.4619784,7.0368223,14.369383,-0.6514585,-6.8828173,-7.5061827,-0.32490134,1.9561087,9.851299,3.9721007,-10.853256,-16.77084,8.94358,-12.239877,-7.5998716
30,1889,Andre Miller,1999,3,2001-02,81,1037,474,0.4570877531340405,draft,3.9523306,-2.3569956,-11.629936,17.20428,15.022537,-8.698459,10.136366,-0.9417849,13.773444,3.490329,1.4450787,11.589466,8.664037,6.1507463,6.2663527,-8.739939,-0.83622444,13.414139,3.1418347,-19.771675,-8.61374,14.205669,-17.960306,8.732673
31,1889,Andre Miller,1999,4,2002-03,80,921,377,0.4093376764386536,draft,8.440144,-14.587193,-7.464824,21.218515,17.177723,-11.643278,7.7170105,-1.5694087,3.7605865,3.8620985,12.441084,18.594494,5.8767695,-11.369239,-11.534309,-0.20665187,4.8164387,18.543581,1.3638914,-14.527584,-15.286673,10.9580145,-17.35345,-14.239219
32,1890,Shawn Marion,1999,1,1999-00,51,471,222,0.4713375796178344,draft,15.475246,-21.109806,-9.096324,26.566408,21.45567,-20.113636,14.134106,1.433344,0.7053019,10.302126,25.49292,24.54521,8.521128,-17.920038,-20.327301,1.9002024,10.352099,30.914742,-0.85991263,-22.241335,-13.192885,20.342566,-25.235886,-23.842049
