PLAYER_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,eligible_for_tensor,excluded_from_embedding_training_low_volume
1901,Dion Glover,1999,3,2001-02,54,455,192,0.421978021978022,1,0
1901,Dion Glover,1999,4,2002-03,76,647,277,0.4281298299845441,1,0
1902,Jeff Foster,1999,1,1999-00,10,23,13,0.5652173913043478,0,1
1902,Jeff Foster,1999,2,2000-01,59,213,100,0.4694835680751174,1,0
1902,Jeff Foster,1999,3,2001-02,79,393,177,0.45038167938931295,1,0
1902,Jeff Foster,1999,4,2002-03,65,177,64,0.3615819209039548,1,0
1903,Kenny Thomas,1999,1,1999-00,69,531,212,0.3992467043314501,1,0
1903,Kenny Thomas,1999,2,2000-01,74,465,206,0.443010752688172,1,0
1903,Kenny Thomas,1999,3,2001-02,72,828,396,0.4782608695652174,1,0
1903,Kenny Thomas,1999,4,2002-03,66,559,260,0.46511627906976744,1,0
1904,Devean George,1999,1,1999-00,39,143,56,0.3916083916083916,1,0
1904,Devean George,1999,2,2000-01,51,207,64,0.30917874396135264,1,0
1904,Devean George,1999,3,2001-02,81,519,215,0.4142581888246628,1,0
1904,Devean George,1999,4,2002-03,71,460,180,0.391304347826087,1,0
1905,Andrei Kirilenko,1999,3,2001-02,82,633,285,0.45023696682464454,1,0
1905,Andrei Kirilenko,1999,4,2002-03,80,640,315,0.4921875,1,0
1906,Tim James,1999,1,1999-00,4,14,5,0.35714285714285715,0,1
1906,Tim James,1999,2,2000-01,23,52,16,0.3076923076923077,1,0
1906,Tim James,1999,3,2001-02,7,13,5,0.38461538461538464,0,1
1907,Vonteego Cummings,1999,1,1999-00,75,655,265,0.40458015267175573,1,0
1907,Vonteego Cummings,1999,2,2000-01,66,516,178,0.3449612403100775,1,0
1907,Vonteego Cummings,1999,3,2001-02,47,187,78,0.41711229946524064,1,0
1908,Jumaine Jones,1999,1,1999-00,24,58,22,0.3793103448275862,1,0
1908,Jumaine Jones,1999,2,2000-01,55,274,122,0.44525547445255476,1,0
1908,Jumaine Jones,1999,3,2001-02,79,639,286,0.4475743348982786,1,0
1908,Jumaine Jones,1999,4,2002-03,80,708,308,0.4350282485875706,1,0
1909,Scott Padgett,1999,1,1999-00,37,140,44,0.3142857142857143,1,0
1909,Scott Padgett,1999,2,2000-01,19,42,18,0.42857142857142855,1,0
