tensor_index,PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,season_num,season_string,games_with_shots,shot_attempts,shot_makes,fg_pct,cohort_label,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24
16,1495,Tim Duncan,1997,1,1997-98,82,1286,706,0.5489891135303266,hof,13.911514,-16.651325,-9.294577,27.17612,18.059189,-18.913921,11.57338,-1.3005128,6.784663,11.781577,24.840044,21.948067,1.8338027,-15.057975,-17.217804,1.9711868,7.2517176,25.889975,2.4938333,-19.173021,-18.377686,20.539116,-18.036987,-16.415867
17,1495,Tim Duncan,1997,2,1998-99,50,843,418,0.4958481613285884,hof,7.853019,-14.415363,-6.7416763,13.710581,9.724714,-6.818474,4.8556623,-3.9929414,11.960898,0.019034863,9.031662,23.060772,-0.43780136,-12.526497,-12.519524,2.3383994,3.8195992,19.39503,10.127891,-12.57623,-22.653423,5.2318554,-19.976894,-10.916906
18,1495,Tim Duncan,1997,3,1999-00,74,1278,628,0.4913928012519561,hof,7.7706604,-14.924896,-5.988759,18.35764,7.3482814,-7.819788,5.582113,-1.9670141,12.947492,5.6643267,12.829552,11.917402,-2.8059225,-3.854765,-9.709143,-1.7841733,1.0028777,10.445677,6.92725,-12.560924,-14.585819,13.01917,-8.531164,-7.6000404
19,1495,Tim Duncan,1997,4,2000-01,82,1405,702,0.499644128113879,hof,7.1352396,-17.402527,-3.716434,19.203356,9.381256,-8.601316,1.3304305,-3.2198057,11.644381,2.5820508,11.502394,11.13312,-8.200191,-4.7937727,-8.345792,-1.398954,-0.62095654,11.971391,3.5345135,-9.154062,-15.615272,12.984184,-9.284006,-1.8521432
20,1497,Chauncey Billups,1997,1,1997-98,80,749,280,0.3738317757009345,hof,8.886934,-8.668092,-0.04399097,18.986576,12.92497,-5.7404613,6.680279,-8.231819,5.1181455,-1.9314576,4.5169587,15.219231,-1.9063964,-5.477112,-7.3222237,-4.258561,-2.184865,13.024059,1.8527541,-11.253334,-17.340733,7.9991693,-13.798878,-5.1424847
21,1497,Chauncey Billups,1997,2,1998-99,45,495,191,0.3858585858585858,hof,9.515234,-5.438181,-3.4690242,25.625957,19.612633,-9.111948,4.8843265,-0.24041224,-11.796838,-11.722685,15.194244,14.065439,4.802374,0.67280245,-11.412506,-9.382252,1.6279969,32.858738,-9.071426,-16.608334,-15.012802,21.809725,-20.619297,0.40247893
22,1497,Chauncey Billups,1997,3,1999-00,13,101,34,0.3366336633663366,hof,7.0405703,-22.234482,-10.361937,19.585865,19.896202,-14.9215355,-0.87393457,1.6179128,5.851798,0.28984162,10.884399,13.337095,-0.9808545,-10.216001,-8.639807,1.1064101,-1.5366014,16.351868,0.13888747,-12.495291,-10.339211,13.424936,-14.697565,-6.385483
23,1497,Chauncey Billups,1997,4,2000-01,75,585,248,0.4239316239316239,hof,6.621638,-16.760468,-7.642048,20.082987,17.400951,-6.4428096,6.991356,-6.8904734,3.852475,-3.8725019,5.8852077,17.150871,3.1433525,-9.694426,-10.22435,-0.56361586,1.4356023,18.365442,0.46844196,-14.386124,-17.655722,7.959407,-19.311287,-12.797754
24,1503,Tracy McGrady,1997,1,1997-98,59,398,179,0.4497487437185929,hof,17.470795,-22.152248,-10.95484,30.242023,26.867695,-25.340538,16.913542,-1.7560722,-2.5940528,12.722781,24.124126,33.19839,8.705586,-20.539503,-22.408453,3.0298862,8.194801,38.46997,-4.8831596,-23.324024,-17.508526,21.430069,-30.808655,-24.868122
25,1503,Tracy McGrady,1997,2,1998-99,47,384,168,0.4375,hof,10.600083,-17.122427,-17.960514,29.51832,25.597832,-23.141361,6.9933333,-3.7196345,-0.34488493,9.998537,20.581448,34.669014,11.027395,-16.853025,-19.355589,7.6384254,5.932869,36.885563,6.041688,-18.8126,-23.930054,14.303524,-23.034813,-18.735718
26,1503,Tracy McGrady,1997,3,1999-00,79,1016,459,0.451771653543307,hof,7.998147,-4.5321503,-15.640675,30.108776,18.1463,-16.338528,14.9699545,-1.0027883,-6.7316446,-3.3788,19.488998,24.272528,11.11042,-13.291357,-16.826675,0.74447304,9.452293,36.67352,-3.97728,-19.658514,-25.903084,21.00718,-20.923708,-9.769565
27,1503,Tracy McGrady,1997,4,2000-01,77,1722,788,0.4576074332171893,hof,9.152027,-17.970116,-7.7229786,21.433258,15.636635,-9.425294,8.585794,-4.0521874,4.685452,0.07024586,11.811187,17.799759,1.7421346,-12.296169,-13.790909,-0.015158892,4.8208838,20.702694,2.619503,-16.226427,-16.628244,12.521856,-19.869768,-12.867164
28,1713,Vince Carter,1998,1,1998-99,50,764,345,0.4515706806282722,hof,11.797348,-21.135944,-5.93602,29.652054,24.513382,-9.017041,14.433237,-0.092167854,2.9399035,3.6284359,11.024044,20.184639,6.786363,-3.4911776,-13.214212,2.4766371,1.4320222,20.105026,-9.7322235,-13.813471,-19.7507,9.239733,-18.41584,-15.60692
29,1713,Vince Carter,1998,2,1999-00,82,1691,788,0.4659964518036664,hof,4.847918,-12.100139,-12.839712,26.28395,18.893684,-9.543869,17.779436,1.079079,-0.42401266,-2.6314745,9.6502285,25.488016,7.6991887,-1.1265435,-4.9521723,-1.4354256,-1.3347174,24.67516,-9.967568,-16.05126,-23.766804,1.7605646,-19.956326,-3.7680793
30,1713,Vince Carter,1998,3,2000-01,75,1655,762,0.4604229607250755,hof,7.9834595,-18.247105,-5.037584,23.429226,16.124428,-7.6306763,7.0789375,-4.5309596,3.6464827,-1.227998,9.587032,17.805054,1.245872,-9.172558,-11.67198,-0.8762727,4.4600544,19.041088,0.34210992,-12.267781,-19.2914,10.190256,-18.935036,-11.653854
31,1713,Vince Carter,1998,4,2001-02,60,1306,559,0.4280245022970903,hof,6.3023214,-16.789822,-5.879734,21.893251,14.9792,-7.165068,6.0881248,-6.021211,3.0191004,-2.1802735,8.593378,14.750444,-0.8879039,-9.834398,-9.927151,-0.49735016,1.978488,16.779224,2.8414412,-11.716309,-16.974888,9.785028,-14.854096,-9.260736
32,1717,Dirk Nowitzki,1998,1,1998-99,47,336,136,0.4047619047619047,hof,9.965168,-12.556829,-6.321374,17.515144,15.35701,-9.85095,7.503712,-0.9501989,7.5895376,3.1174848,11.398996,17.655344,4.729867,-8.407089,-11.45249,0.99796647,1.6918334,14.941324,2.168698,-15.934412,-14.248075,9.46728,-16.374249,-15.096329
33,1717,Dirk Nowitzki,1998,2,1999-00,82,1118,515,0.4606440071556351,hof,4.057845,-12.121417,-6.1691866,17.795399,13.045343,-4.3962,5.7764997,-2.9833784,6.591399,-4.4800572,4.2198105,13.595327,1.1216755,-6.7601357,-5.871478,-1.725742,1.6070294,11.949087,4.707904,-12.749788,-16.380968,6.9034133,-15.287413,-6.771533
34,1717,Dirk Nowitzki,1998,3,2000-01,82,1243,591,0.4754625905068383,hof,6.8209195,-17.846395,-5.138123,25.161324,15.419962,-7.072424,9.62391,-1.7676107,1.6639373,-3.089371,8.884232,17.181623,0.5366583,-6.3198895,-9.807837,-1.8601141,2.5031643,18.658535,-2.1479342,-12.483021,-20.110313,8.900675,-17.424671,-7.491943
35,1717,Dirk Nowitzki,1998,4,2001-02,76,1258,600,0.4769475357710652,hof,8.193393,-14.49538,-5.8098354,23.451702,19.029474,-8.402134,4.036198,-5.41391,3.714881,-4.515259,8.456745,19.261728,2.1775696,-10.130734,-10.716827,-3.442134,2.9320478,20.072985,-2.791262,-12.089922,-23.165447,9.56237,-20.623528,-9.762056
36,1718,Paul Pierce,1998,1,1998-99,48,647,284,0.4389489953632148,hof,11.672985,-7.366809,1.8279568,18.677603,10.291187,-3.0911741,-0.5026429,-10.515213,11.272623,-4.712242,8.243014,11.325785,-8.707067,-7.3574758,-11.773329,-1.40239,2.0523787,15.399113,2.3897386,-6.0084047,-21.59123,12.147909,-13.089535,0.68224764
37,1718,Paul Pierce,1998,2,1999-00,73,1099,486,0.4422202001819836,hof,5.197891,-9.22487,-4.710991,16.113508,8.311767,-4.7021575,4.470869,-4.9407363,9.895181,-0.7844804,2.1346374,13.074949,-3.290254,-0.9791592,-5.048833,-1.6769959,-1.4185458,11.181049,6.30743,-11.03771,-15.510208,8.236364,-11.791105,2.313075
38,1718,Paul Pierce,1998,3,2000-01,82,1512,687,0.4543650793650793,hof,7.6434193,-8.901411,-2.4567473,21.00304,9.11662,0.92206264,10.511961,-4.1082544,5.935314,-9.091322,4.4042892,10.175632,-4.708371,-1.7430345,-10.698502,0.68954474,0.32020152,15.929166,-0.8698199,-11.041282,-21.550388,9.144451,-11.501215,3.006297
39,1718,Paul Pierce,1998,4,2001-02,82,1593,706,0.4431889516635279,hof,6.5531683,-7.115573,-1.666912,19.532211,13.237972,-2.5897787,3.152494,-4.0951357,5.999421,-3.1020594,2.922966,16.353197,-1.0174804,-1.537182,-8.247455,0.15673506,-0.34473246,12.610463,2.0558674,-6.7184944,-22.996637,4.5027804,-11.021614,-0.76229453
40,1938,Manu Ginobili,1999,2,2003-04,77,783,330,0.421455938697318,hof,8.977211,-7.388104,-2.9066734,17.750336,14.200551,-6.12072,6.0653048,-3.0616798,12.055338,2.606368,3.7969246,16.680645,-1.9716603,-3.3066487,-8.307147,3.786861,0.39289618,12.62219,4.461632,-10.027288,-18.865936,8.711691,-13.363207,-1.139864
41,1938,Manu Ginobili,1999,3,2004-05,74,780,367,0.4705128205128205,hof,11.083199,-10.19626,-5.061669,18.788078,13.395487,-8.858672,3.3179219,-6.764771,10.590687,2.7756877,8.018756,18.153107,-4.6454124,-2.069971,-12.819708,-1.4433672,-3.1232238,18.472332,3.0737233,-13.880861,-18.088326,14.041351,-15.140652,-0.5070847
