PLAYER_ID,season_num,PLAYER_NAME,shot_attempts,shot_makes,avg_loc_x,avg_loc_y,season_string,DRAFT_YEAR,games_with_shots,fg_pct,eligible_for_tensor
1882,1,Elton Brand,1306,630,-3.3483920367534457,32.085758039816234,1999-00,1999,81,0.48238897396630936,1
1882,2,Elton Brand,1216,578,-20.77138157894737,38.6891447368421,2000-01,1999,74,0.4753289473684211,1
1882,3,Elton Brand,1010,532,-15.841584158415841,31.605940594059405,2001-02,1999,80,0.5267326732673268,1
1882,4,Elton Brand,899,451,-3.798665183537264,33.232480533926584,2002-03,1999,62,0.5016685205784205,1
1883,1,Steve Francis,1117,497,-25.34288272157565,85.56938227394808,1999-00,1999,77,0.4449418084153984,1
1883,2,Steve Francis,1214,549,-25.114497528830313,79.74052718286656,2000-01,1999,80,0.45222405271828664,1
1883,3,Steve Francis,1002,420,-8.646706586826348,87.83233532934132,2001-02,1999,57,0.41916167664670656,1
1883,4,Steve Francis,1306,571,-13.72281776416539,83.49081163859111,2002-03,1999,81,0.43721286370597245,1
1884,1,Baron Davis,432,182,0.23148148148148148,88.59027777777777,1999-00,1999,82,0.4212962962962963,1
1884,2,Baron Davis,954,408,-7.4245283018867925,88.37631027253668,2000-01,1999,82,0.4276729559748428,1
1884,3,Baron Davis,1335,559,-6.502621722846442,97.19176029962547,2001-02,1999,82,0.41872659176029964,1
1884,4,Baron Davis,796,332,2.4145728643216082,98.33668341708542,2002-03,1999,50,0.41708542713567837,1
1885,1,Lamar Odom,1022,449,0.8512720156555773,59.1908023483366,1999-00,1999,76,0.43933463796477495,1
1885,2,Lamar Odom,1045,481,1.0755980861244019,79.39425837320574,2000-01,1999,75,0.4602870813397129,1
1885,3,Lamar Odom,360,151,10.258333333333333,89.70555555555555,2001-02,1999,29,0.41944444444444445,1
1885,4,Lamar Odom,610,268,5.475409836065574,70.19672131147541,2002-03,1999,49,0.43934426229508194,1
1886,1,Jonathan Bender,70,23,-26.514285714285716,51.18571428571428,1999-00,1999,22,0.32857142857142857,1
1886,2,Jonathan Bender,185,66,-20.021621621621623,64.22702702702702,2000-01,1999,47,0.3567567567567568,1
1886,3,Jonathan Bender,460,198,-16.247826086956522,72.75652173913043,2001-02,1999,78,0.43043478260869567,1
1886,4,Jonathan Bender,254,112,10.94488188976378,70.39763779527559,2002-03,1999,44,0.4409448818897638,1
1887,1,Wally Szczerbiak,669,342,-6.378176382660688,56.31988041853513,1999-00,1999,73,0.5112107623318386,1
1887,2,Wally Szczerbiak,919,469,-15.735582154515779,63.75408052230686,2000-01,1999,82,0.5103373231773667,1
1887,3,Wally Szczerbiak,1199,609,-13.494578815679732,70.10842368640533,2001-02,1999,82,0.5079232693911593,1
1887,4,Wally Szczerbiak,729,351,-28.665294924554185,75.18930041152264,2002-03,1999,52,0.48148148148148145,1
1888,1,Richard Hamilton,605,254,-1.287603305785124,59.89421487603306,1999-00,1999,70,0.41983471074380163,1
1888,2,Richard Hamilton,1249,547,3.319455564451561,60.99519615692554,2000-01,1999,78,0.4379503602882306,1
1888,3,Richard Hamilton,1083,472,4.334256694367498,55.97229916897507,2001-02,1999,63,0.4358264081255771,1
1888,4,Richard Hamilton,1286,570,3.615863141524106,56.679626749611195,2002-03,1999,82,0.4432348367029549,1
1889,1,Andre Miller,754,339,-7.903183023872679,53.80901856763926,1999-00,1999,82,0.4496021220159151,1
1889,2,Andre Miller,987,451,-15.48530901722391,64.13677811550151,2000-01,1999,82,0.4569402228976697,1
1889,3,Andre Miller,1037,474,-7.289296046287367,62.853423336547735,2001-02,1999,81,0.4570877531340405,1
1889,4,Andre Miller,921,377,-11.069489685124864,68.35722041259501,2002-03,1999,80,0.40933767643865365,1
1890,1,Shawn Marion,471,222,-4.762208067940552,34.71337579617835,1999-00,1999,51,0.4713375796178344,1
1890,2,Shawn Marion,1157,557,-19.82541054451167,39.90751944684529,2000-01,1999,79,0.4814174589455488,1
1890,3,Shawn Marion,1393,654,0.016511127063890883,55.09978463747308,2001-02,1999,81,0.4694903086862886,1
1890,4,Shawn Marion,1464,662,14.477459016393443,62.00136612021858,2002-03,1999,81,0.4521857923497268,1
1891,1,Jason Terry,598,248,-4.3879598662207355,111.40468227424749,1999-00,1999,79,0.41471571906354515,1
1891,2,Jason Terry,1367,596,-4.5508412582297,94.45354791514265,2000-01,1999,82,0.4359912216532553,1
1891,3,Jason Terry,1219,524,-8.095980311730926,94.90976210008203,2001-02,1999,77,0.4298605414273995,1
1891,4,Jason Terry,1140,488,-7.02280701754386,101.0219298245614,2002-03,1999,81,0.4280701754385965,1
1892,1,Trajan Langdon,40,15,-2.325,99.25,1999-00,1999,6,0.375,1
1892,2,Trajan Langdon,313,135,-10.878594249201278,97.0702875399361,2000-01,1999,60,0.43130990415335463,1
1892,3,Trajan Langdon,175,70,-15.794285714285714,121.00571428571429,2001-02,1999,40,0.4,1
1893,1,Aleksandar Radojevic,7,2,4.285714285714286,21.714285714285715,1999-00,1999,2,0.2857142857142857,0
1894,1,Corey Maggette,468,224,-0.07264957264957266,29.89957264957265,1999-00,1999,77,0.47863247863247865,1
1894,2,Corey Maggette,487,225,29.68788501026694,47.94866529774127,2000-01,1999,68,0.4620123203285421,1
1894,3,Corey Maggette,530,235,14.818867924528302,74.41132075471698,2001-02,1999,62,0.44339622641509435,1
1894,4,Corey Maggette,772,343,12.80181347150259,83.4339378238342,2002-03,1999,64,0.44430051813471505,1
1895,1,William Avery,180,56,-22.366666666666667,98.9,1999-00,1999,49,0.3111111111111111,1
1895,2,William Avery,142,55,-6.035211267605634,100.80281690140845,2000-01,1999,44,0.3873239436619718,1
1895,3,William Avery,89,26,-10.44943820224719,120.78651685393258,2001-02,1999,23,0.29213483146067415,1
1897,1,Metta World Peace,758,309,8.576517150395778,65.11345646437995,1999-00,1999,72,0.4076517150395778,1
1897,2,Metta World Peace,814,327,6.891891891891892,75.14373464373465,2000-01,1999,76,0.40171990171990174,1
1897,3,Metta World Peace,636,269,2.9229559748427674,79.60377358490567,2001-02,1999,55,0.4229559748427673,1
1897,4,Metta World Peace,846,362,-9.911347517730496,66.63829787234043,2002-03,1999,69,0.42789598108747046,1
1898,1,Cal Bowdler,115,49,-10.460869565217392,29.791304347826088,1999-00,1999,36,0.4260869565217391,1
1898,2,Cal Bowdler,114,53,16.087719298245613,48.40350877192982,2000-01,1999,31,0.4649122807017544,1
1898,3,Cal Bowdler,174,61,-5.494252873563219,55.89080459770115,2001-02,1999,46,0.3505747126436782,1
1899,1,James Posey,536,230,-2.171641791044776,60.72014925373134,1999-00,1999,78,0.4291044776119403,1
1899,2,James Posey,588,243,-1.4183673469387754,52.60204081632653,2000-01,1999,82,0.413265306122449,1
1899,3,James Posey,733,277,-7.377899045020464,52.311050477489765,2001-02,1999,73,0.37789904502046384,1
1899,4,James Posey,749,309,-12.853137516688918,63.845126835781045,2002-03,1999,82,0.41255006675567424,1
1900,1,Quincy Lewis,297,111,7.531986531986532,64.84175084175084,1999-00,1999,69,0.37373737373737376,1
1900,2,Quincy Lewis,123,50,5.715447154471545,70.95934959349593,2000-01,1999,30,0.4065040650406504,1
1900,3,Quincy Lewis,143,64,19.18881118881119,75.16783216783217,2001-02,1999,30,0.44755244755244755,1
1901,1,Dion Glover,171,66,18.24561403508772,71.80701754385964,1999-00,1999,29,0.38596491228070173,1
1901,2,Dion Glover,335,141,16.964179104477612,55.74029850746269,2000-01,1999,53,0.4208955223880597,1
1901,3,Dion Glover,455,192,13.054945054945055,65.72747252747253,2001-02,1999,54,0.421978021978022,1
1901,4,Dion Glover,647,277,12.573415765069551,65.7017001545595,2002-03,1999,76,0.4281298299845441,1
1902,1,Jeff Foster,23,13,16.565217391304348,24.391304347826086,1999-00,1999,10,0.5652173913043478,0
1902,2,Jeff Foster,213,100,-12.248826291079812,26.12676056338028,2000-01,1999,59,0.4694835680751174,1
1902,3,Jeff Foster,393,177,-10.195928753180661,41.52671755725191,2001-02,1999,79,0.45038167938931295,1
1902,4,Jeff Foster,177,64,-2.7796610169491527,40.163841807909606,2002-03,1999,65,0.3615819209039548,1
1903,1,Kenny Thomas,531,212,-13.265536723163843,66.38229755178908,1999-00,1999,69,0.3992467043314501,1
1903,2,Kenny Thomas,465,206,-3.9698924731182794,63.76774193548387,2000-01,1999,74,0.443010752688172,1
1903,3,Kenny Thomas,828,396,-2.9842995169082127,53.690821256038646,2001-02,1999,72,0.4782608695652174,1
1903,4,Kenny Thomas,559,260,-1.5796064400715564,35.1824686940966,2002-03,1999,66,0.46511627906976744,1
1904,1,Devean George,143,56,-11.076923076923077,72.43356643356644,1999-00,1999,39,0.3916083916083916,1
1904,2,Devean George,207,64,-1.6280193236714975,84.08212560386474,2000-01,1999,51,0.30917874396135264,1
1904,3,Devean George,519,215,-11.258188824662813,82.79190751445087,2001-02,1999,81,0.4142581888246628,1
1904,4,Devean George,460,180,-9.808695652173913,83.42608695652174,2002-03,1999,71,0.391304347826087,1
1905,3,Andrei Kirilenko,633,285,0.9541864139020537,39.107424960505526,2001-02,1999,82,0.45023696682464454,1
1905,4,Andrei Kirilenko,640,315,7.846875,48.8078125,2002-03,1999,80,0.4921875,1
1906,1,Tim James,14,5,37.714285714285715,55.142857142857146,1999-00,1999,4,0.35714285714285715,0
1906,2,Tim James,52,16,-3.9615384615384617,53.55769230769231,2000-01,1999,23,0.3076923076923077,1
1906,3,Tim James,13,5,-43.46153846153846,30.923076923076923,2001-02,1999,7,0.38461538461538464,0
1907,1,Vonteego Cummings,655,265,0.46106870229007635,86.24122137404581,1999-00,1999,75,0.40458015267175573,1
1907,2,Vonteego Cummings,516,178,-2.251937984496124,98.40310077519379,2000-01,1999,66,0.3449612403100775,1
1907,3,Vonteego Cummings,187,78,-10.016042780748663,71.09625668449198,2001-02,1999,47,0.41711229946524064,1
1908,1,Jumaine Jones,58,22,-34.5,42.258620689655174,1999-00,1999,24,0.3793103448275862,1
1908,2,Jumaine Jones,274,122,-15.124087591240876,67.88686131386861,2000-01,1999,55,0.44525547445255476,1
1908,3,Jumaine Jones,639,286,1.4632237871674492,82.0359937402191,2001-02,1999,79,0.4475743348982786,1
1908,4,Jumaine Jones,708,308,15.809322033898304,57.8954802259887,2002-03,1999,80,0.4350282485875706,1
1909,1,Scott Padgett,140,44,-16.057142857142857,88.65714285714286,1999-00,1999,37,0.3142857142857143,1
1909,2,Scott Padgett,42,18,-4.880952380952381,65.35714285714286,2000-01,1999,19,0.42857142857142855,1
1909,3,Scott Padgett,395,188,-6.625316455696202,78.94683544303797,2001-02,1999,71,0.4759493670886076,1
1909,4,Scott Padgett,423,170,-12.53191489361702,107.0709219858156,2002-03,1999,82,0.40189125295508277,1
1910,3,Leon Smith,26,10,-5.730769230769231,9.961538461538462,2001-02,1999,9,0.38461538461538464,1
1911,1,John Celestand,45,15,14.11111111111111,93.42222222222222,1999-00,1999,12,0.3333333333333333,1
1913,1,Michael Ruffin,138,58,-6.463768115942029,10.159420289855072,1999-00,1999,56,0.42028985507246375,1
1913,2,Michael Ruffin,90,40,1.7,9.555555555555555,2000-01,1999,35,0.4444444444444444,1
1913,3,Michael Ruffin,26,7,-8.846153846153847,10.5,2001-02,1999,9,0.2692307692307692,1
