tensor_index,PLAYER_ID,season_num,PLAYER_NAME,season_string,DRAFT_YEAR,games_with_shots,shot_attempts,shot_makes,fg_pct
615,2567,3,Brian Cook,2005-06,2003,79,510,261,0.5117647058823529
616,2567,4,Brian Cook,2006-07,2003,59,408,185,0.4534313725490196
617,2568,2,Carlos Delfino,2004-05,2003,28,115,42,0.3652173913043478
618,2568,3,Carlos Delfino,2005-06,2003,63,225,91,0.40444444444444444
619,2568,4,Carlos Delfino,2006-07,2003,76,376,156,0.4148936170212766
620,2570,2,Kendrick Perkins,2004-05,2003,49,119,56,0.47058823529411764
621,2570,3,Kendrick Perkins,2005-06,2003,55,265,137,0.5169811320754717
622,2570,4,Kendrick Perkins,2006-07,2003,69,268,132,0.4925373134328358
623,2571,1,Leandro Barbosa,2003-04,2003,69,470,210,0.44680851063829785
624,2571,2,Leandro Barbosa,2004-05,2003,63,352,168,0.4772727272727273
625,2571,3,Leandro Barbosa,2005-06,2003,57,565,273,0.4831858407079646
626,2571,4,Leandro Barbosa,2006-07,2003,80,1106,529,0.4783001808318264
627,2572,1,Josh Howard,2003-04,2003,67,531,229,0.4312617702448211
628,2572,2,Josh Howard,2004-05,2003,76,792,377,0.476010101010101
629,2572,3,Josh Howard,2005-06,2003,59,743,350,0.47106325706594887
630,2572,4,Josh Howard,2006-07,2003,70,1073,493,0.4594594594594595
631,2573,1,Maciej Lampe,2003-04,2003,17,88,43,0.48863636363636365
632,2573,2,Maciej Lampe,2004-05,2003,35,132,49,0.3712121212121212
633,2574,1,Jason Kapono,2003-04,2003,35,129,52,0.40310077519379844
634,2574,2,Jason Kapono,2004-05,2003,80,671,269,0.4008941877794337
635,2574,3,Jason Kapono,2005-06,2003,46,177,79,0.4463276836158192
636,2574,4,Jason Kapono,2006-07,2003,65,563,278,0.4937833037300178
637,2575,1,Luke Walton,2003-04,2003,62,153,65,0.42483660130718953
638,2575,2,Luke Walton,2004-05,2003,49,180,74,0.4111111111111111
639,2580,1,Travis Hansen,2003-04,2003,35,130,46,0.35384615384615387
640,2581,1,Steve Blake,2003-04,2003,72,406,157,0.3866995073891626
641,2581,2,Steve Blake,2004-05,2003,40,184,61,0.33152173913043476
642,2581,3,Steve Blake,2005-06,2003,67,467,206,0.4411134903640257
643,2581,4,Steve Blake,2006-07,2003,81,505,209,0.41386138613861384
644,2584,1,Willie Green,2003-04,2003,48,357,143,0.4005602240896359
645,2584,2,Willie Green,2004-05,2003,56,423,155,0.3664302600472813
646,2584,3,Willie Green,2005-06,2003,10,66,28,0.42424242424242425
647,2584,4,Willie Green,2006-07,2003,74,867,357,0.4117647058823529
648,2585,1,Zaza Pachulia,2003-04,2003,51,175,68,0.38857142857142857
649,2585,2,Zaza Pachulia,2004-05,2003,70,353,160,0.45325779036827196
650,2585,3,Zaza Pachulia,2005-06,2003,78,681,307,0.45080763582966227
651,2585,4,Zaza Pachulia,2006-07,2003,72,614,291,0.4739413680781759
652,2586,1,Keith Bogans,2003-04,2003,69,454,183,0.40308370044052866
653,2586,2,Keith Bogans,2004-05,2003,74,687,262,0.3813682678311499
654,2586,3,Keith Bogans,2005-06,2003,72,544,215,0.3952205882352941
655,2586,4,Keith Bogans,2006-07,2003,59,244,99,0.4057377049180328
656,2588,2,Matt Bonner,2004-05,2003,81,463,247,0.5334773218142549
657,2588,3,Matt Bonner,2005-06,2003,75,466,209,0.44849785407725323
658,2588,4,Matt Bonner,2006-07,2003,51,237,106,0.4472573839662447
659,2590,1,Mo Williams,2003-04,2003,52,301,115,0.38205980066445183
660,2590,2,Mo Williams,2004-05,2003,80,736,323,0.4388586956521739
661,2590,3,Mo Williams,2005-06,2003,58,628,267,0.4251592356687898
662,2590,4,Mo Williams,2006-07,2003,68,1046,468,0.4474187380497132
663,2592,2,James Jones,2004-05,2003,70,318,126,0.39622641509433965
664,2592,3,James Jones,2005-06,2003,75,581,243,0.41824440619621345
665,2592,4,James Jones,2006-07,2003,75,440,162,0.36818181818181817
666,2594,1,Kyle Korver,2003-04,2003,63,326,115,0.35276073619631904
667,2594,2,Kyle Korver,2004-05,2003,82,759,317,0.4176548089591568
668,2594,3,Kyle Korver,2005-06,2003,82,761,327,0.4296977660972405
669,2594,4,Kyle Korver,2006-07,2003,74,844,372,0.44075829383886256
670,2599,1,Brandon Hunter,2003-04,2003,30,116,53,0.45689655172413796
