tensor_index,PLAYER_ID,season_num,PLAYER_NAME,season_string,DRAFT_YEAR,games_with_shots,shot_attempts,shot_makes,fg_pct
800,2772,4,Trevor Ariza,2007-08,2004,31,136,69,0.5073529411764706
801,2774,1,Bernard Robinson,2004-05,2004,24,80,36,0.45
802,2774,2,Bernard Robinson,2005-06,2004,63,364,157,0.43131868131868134
803,2774,3,Bernard Robinson,2006-07,2004,22,62,19,0.3064516129032258
804,2775,2,Ha Ha,2005-06,2004,16,31,18,0.5806451612903226
805,2776,1,Pape Sow,2004-05,2004,19,58,23,0.39655172413793105
806,2776,2,Pape Sow,2005-06,2004,33,123,53,0.43089430894308944
807,2779,3,Vassilis Spanoulis,2006-07,2004,24,72,23,0.3194444444444444
808,2782,1,Matt Freije,2004-05,2004,22,127,37,0.29133858267716534
809,2782,3,Matt Freije,2006-07,2004,12,54,16,0.2962962962962963
810,2784,1,Luis Flores,2004-05,2004,12,29,14,0.4827586206896552
811,101106,1,Andrew Bogut,2005-06,2005,82,606,323,0.533003300330033
812,101106,2,Andrew Bogut,2006-07,2005,66,628,348,0.554140127388535
813,101106,3,Andrew Bogut,2007-08,2005,78,910,465,0.510989010989011
814,101106,4,Andrew Bogut,2008-09,2005,36,317,183,0.5772870662460567
815,101107,1,Marvin Williams,2005-06,2005,79,531,235,0.4425612052730697
816,101107,2,Marvin Williams,2006-07,2005,64,706,306,0.43342776203966005
817,101107,3,Marvin Williams,2007-08,2005,80,918,424,0.46187363834422657
818,101107,4,Marvin Williams,2008-09,2005,61,620,285,0.4596774193548387
819,101108,1,Chris Paul,2005-06,2005,78,947,407,0.4297782470960929
820,101108,2,Chris Paul,2006-07,2005,64,871,381,0.43742824339839265
821,101108,3,Chris Paul,2007-08,2005,80,1290,630,0.4883720930232558
822,101108,4,Chris Paul,2008-09,2005,78,1255,631,0.502788844621514
823,101109,1,Raymond Felton,2005-06,2005,80,876,344,0.3926940639269406
824,101109,2,Raymond Felton,2006-07,2005,78,1019,393,0.3856722276741904
825,101109,3,Raymond Felton,2007-08,2005,79,994,412,0.41448692152917505
826,101109,4,Raymond Felton,2008-09,2005,82,1075,441,0.4102325581395349
827,101110,1,Martell Webster,2005-06,2005,56,348,139,0.3994252873563218
828,101110,2,Martell Webster,2006-07,2005,82,487,195,0.4004106776180698
829,101110,3,Martell Webster,2007-08,2005,74,650,277,0.42615384615384616
830,101111,1,Charlie Villanueva,2005-06,2005,81,940,435,0.4627659574468085
831,101111,2,Charlie Villanueva,2006-07,2005,39,383,180,0.4699738903394256
832,101111,3,Charlie Villanueva,2007-08,2005,75,813,354,0.4354243542435424
833,101111,4,Charlie Villanueva,2008-09,2005,78,1087,486,0.44710211591536336
834,101112,1,Channing Frye,2005-06,2005,65,640,305,0.4765625
835,101112,2,Channing Frye,2006-07,2005,72,689,298,0.432510885341074
836,101112,3,Channing Frye,2007-08,2005,77,453,221,0.4878587196467991
837,101112,4,Channing Frye,2008-09,2005,59,267,113,0.4232209737827715
838,101113,1,Ike Diogu,2005-06,2005,65,334,175,0.5239520958083832
839,101113,2,Ike Diogu,2006-07,2005,55,266,127,0.4774436090225564
840,101113,3,Ike Diogu,2007-08,2005,29,134,64,0.47761194029850745
841,101113,4,Ike Diogu,2008-09,2005,19,74,39,0.527027027027027
842,101114,1,Deron Williams,2005-06,2005,80,804,338,0.42039800995024873
843,101114,2,Deron Williams,2006-07,2005,80,1078,494,0.4582560296846011
844,101114,3,Deron Williams,2007-08,2005,82,1112,566,0.5089928057553957
845,101114,4,Deron Williams,2008-09,2005,68,983,463,0.47100712105798576
846,101115,1,Andrew Bynum,2005-06,2005,33,82,33,0.4024390243902439
847,101115,2,Andrew Bynum,2006-07,2005,81,442,247,0.5588235294117647
848,101115,3,Andrew Bynum,2007-08,2005,35,297,189,0.6363636363636364
849,101115,4,Andrew Bynum,2008-09,2005,50,502,281,0.5597609561752988
850,101117,1,Yaroslav Korolev,2005-06,2005,12,30,9,0.3
851,101118,1,Sean May,2005-06,2005,23,170,70,0.4117647058823529
852,101118,2,Sean May,2006-07,2005,34,328,164,0.5
853,101118,4,Sean May,2008-09,2005,24,98,39,0.3979591836734694
854,101119,1,Rashad McCants,2005-06,2005,75,534,241,0.45131086142322097
855,101119,2,Rashad McCants,2006-07,2005,35,176,62,0.3522727272727273
856,101119,3,Rashad McCants,2007-08,2005,75,942,428,0.4543524416135881
857,101119,4,Rashad McCants,2008-09,2005,58,486,192,0.3950617283950617
858,101120,1,Antoine Wright,2005-06,2005,33,81,29,0.35802469135802467
859,101120,2,Antoine Wright,2006-07,2005,56,250,110,0.44
860,101120,3,Antoine Wright,2007-08,2005,51,327,136,0.41590214067278286
861,101120,4,Antoine Wright,2008-09,2005,64,430,179,0.41627906976744183
862,101121,1,Joey Graham,2005-06,2005,80,414,198,0.4782608695652174
863,101121,2,Joey Graham,2006-07,2005,71,386,192,0.49740932642487046
864,101121,3,Joey Graham,2007-08,2005,32,113,49,0.4336283185840708
865,101121,4,Joey Graham,2008-09,2005,75,478,231,0.48326359832635984
866,101122,1,Danny Granger,2005-06,2005,77,476,221,0.4642857142857143
867,101122,2,Danny Granger,2006-07,2005,82,867,398,0.4590542099192618
868,101122,3,Danny Granger,2007-08,2005,80,1204,537,0.44601328903654486
869,101122,4,Danny Granger,2008-09,2005,67,1276,571,0.44749216300940436
870,101123,1,Gerald Green,2005-06,2005,23,137,65,0.4744525547445255
871,101123,2,Gerald Green,2006-07,2005,80,739,310,0.41948579161028415
872,101123,3,Gerald Green,2007-08,2005,29,151,52,0.3443708609271523
873,101123,4,Gerald Green,2008-09,2005,35,180,79,0.4388888888888889
874,101124,1,Hakim Warrick,2005-06,2005,56,228,101,0.44298245614035087
875,101124,2,Hakim Warrick,2006-07,2005,82,710,373,0.5253521126760563
876,101124,3,Hakim Warrick,2007-08,2005,74,652,328,0.5030674846625767
877,101124,4,Hakim Warrick,2008-09,2005,82,692,340,0.4913294797687861
878,101126,1,Nate Robinson,2005-06,2005,70,559,230,0.41144901610017887
879,101126,2,Nate Robinson,2006-07,2005,61,520,227,0.43653846153846154
880,101126,3,Nate Robinson,2007-08,2005,71,775,331,0.4270967741935484
881,101126,4,Nate Robinson,2008-09,2005,74,1022,449,0.43933463796477495
882,101127,1,Jarrett Jack,2005-06,2005,76,427,189,0.4426229508196721
883,101127,2,Jarrett Jack,2006-07,2005,79,704,320,0.45454545454545453
884,101127,3,Jarrett Jack,2007-08,2005,82,620,267,0.4306451612903226
885,101127,4,Jarrett Jack,2008-09,2005,82,852,386,0.45305164319248825
886,101128,1,Francisco Garcia,2005-06,2005,63,325,130,0.4
887,101128,2,Francisco Garcia,2006-07,2005,77,380,163,0.42894736842105263
888,101128,3,Francisco Garcia,2007-08,2005,78,751,348,0.4633821571238349
889,101128,4,Francisco Garcia,2008-09,2005,65,665,295,0.44360902255639095
890,101129,1,Luther Head,2005-06,2005,80,629,254,0.40381558028616854
891,101129,2,Luther Head,2006-07,2005,80,698,306,0.4383954154727794
892,101129,3,Luther Head,2007-08,2005,70,476,206,0.4327731092436975
893,101129,4,Luther Head,2008-09,2005,29,143,55,0.38461538461538464
894,101130,1,Johan Petro,2005-06,2005,63,300,153,0.51
895,101130,2,Johan Petro,2006-07,2005,78,438,226,0.5159817351598174
896,101130,3,Johan Petro,2007-08,2005,69,439,184,0.4191343963553531
897,101130,4,Johan Petro,2008-09,2005,47,175,73,0.41714285714285715
898,101131,1,Jason Maxiell,2005-06,2005,22,54,23,0.42592592592592593
899,101131,2,Jason Maxiell,2006-07,2005,58,262,131,0.5
900,101131,3,Jason Maxiell,2007-08,2005,81,446,240,0.5381165919282511
901,101131,4,Jason Maxiell,2008-09,2005,76,320,184,0.575
902,101132,1,Linas Kleiza,2005-06,2005,47,172,77,0.4476744186046512
903,101132,2,Linas Kleiza,2006-07,2005,72,473,200,0.42283298097251587
904,101132,3,Linas Kleiza,2007-08,2005,79,656,311,0.4740853658536585
905,101132,4,Linas Kleiza,2008-09,2005,82,644,289,0.44875776397515527
906,101134,1,Wayne Simien,2005-06,2005,33,120,58,0.48333333333333334
907,101135,1,David Lee,2005-06,2005,55,229,137,0.5982532751091703
908,101135,2,David Lee,2006-07,2005,58,400,240,0.6
909,101135,3,David Lee,2007-08,2005,81,618,341,0.551779935275081
910,101135,4,David Lee,2008-09,2005,81,951,522,0.5488958990536278
911,101136,1,Salim Stoudamire,2005-06,2005,61,491,204,0.4154786150712831
912,101136,2,Salim Stoudamire,2006-07,2005,57,424,177,0.41745283018867924
913,101136,3,Salim Stoudamire,2007-08,2005,32,180,65,0.3611111111111111
914,101137,1,Daniel Ewing,2005-06,2005,63,253,97,0.383399209486166
915,101137,2,Daniel Ewing,2006-07,2005,47,161,65,0.40372670807453415
916,101138,1,Brandon Bass,2005-06,2005,22,70,28,0.4
917,101138,2,Brandon Bass,2006-07,2005,16,44,15,0.3409090909090909
918,101138,3,Brandon Bass,2007-08,2005,78,493,246,0.49898580121703856
919,101138,4,Brandon Bass,2008-09,2005,81,503,252,0.5009940357852882
920,101139,1,CJ Miles,2005-06,2005,18,75,28,0.37333333333333335
921,101139,2,CJ Miles,2006-07,2005,31,116,40,0.3448275862068966
922,101139,3,CJ Miles,2007-08,2005,52,235,113,0.4808510638297872
923,101139,4,CJ Miles,2008-09,2005,72,562,258,0.45907473309608543
924,101141,2,Ersan Ilyasova,2006-07,2005,62,363,139,0.38292011019283745
925,101142,1,Ronny Turiaf,2005-06,2005,14,30,15,0.5
926,101142,2,Ronny Turiaf,2006-07,2005,63,268,147,0.5485074626865671
927,101142,3,Ronny Turiaf,2007-08,2005,76,397,188,0.473551637279597
928,101142,4,Ronny Turiaf,2008-09,2005,79,365,186,0.5095890410958904
929,101143,1,Travis Diener,2005-06,2005,20,68,29,0.4264705882352941
930,101143,2,Travis Diener,2006-07,2005,22,80,34,0.425
931,101143,3,Travis Diener,2007-08,2005,66,430,159,0.3697674418604651
932,101143,4,Travis Diener,2008-09,2005,50,177,74,0.4180790960451977
933,101144,1,Von Wafer,2005-06,2005,15,38,6,0.15789473684210525
934,101144,3,Von Wafer,2007-08,2005,24,60,17,0.2833333333333333
935,101144,4,Von Wafer,2008-09,2005,62,512,229,0.447265625
936,101145,1,Monta Ellis,2005-06,2005,49,318,132,0.41509433962264153
937,101145,2,Monta Ellis,2006-07,2005,77,1009,480,0.4757185332011893
938,101145,3,Monta Ellis,2007-08,2005,81,1226,652,0.531810766721044
939,101145,4,Monta Ellis,2008-09,2005,25,429,194,0.4522144522144522
940,101146,4,Roko Ukic,2008-09,2005,69,324,123,0.37962962962962965
941,101147,1,Chris Taft,2005-06,2005,15,38,23,0.6052631578947368
942,101150,1,Lou Williams,2005-06,2005,24,52,23,0.4423076923076923
943,101150,2,Lou Williams,2006-07,2005,53,211,93,0.44075829383886256
944,101150,3,Lou Williams,2007-08,2005,80,750,319,0.42533333333333334
945,101150,4,Lou Williams,2008-09,2005,81,844,336,0.3981042654028436
946,101152,1,Bracey Wright,2005-06,2005,7,51,21,0.4117647058823529
947,101152,2,Bracey Wright,2006-07,2005,16,60,24,0.4
948,101153,2,Mickael Gelabale,2006-07,2005,58,264,122,0.4621212121212121
949,101153,3,Mickael Gelabale,2007-08,2005,37,157,69,0.4394904458598726
950,101154,1,Andray Blatche,2005-06,2005,24,67,26,0.3880597014925373
951,101154,2,Andray Blatche,2006-07,2005,46,197,86,0.4365482233502538
952,101154,3,Andray Blatche,2007-08,2005,82,536,254,0.47388059701492535
953,101154,4,Andray Blatche,2008-09,2005,71,630,297,0.4714285714285714
954,101155,1,Ryan Gomes,2005-06,2005,53,355,173,0.48732394366197185
955,101155,2,Ryan Gomes,2006-07,2005,73,723,338,0.46749654218533887
956,101155,3,Ryan Gomes,2007-08,2005,82,855,392,0.4584795321637427
957,101155,4,Ryan Gomes,2008-09,2005,82,971,420,0.4325437693099897
958,101156,1,Robert Whaley,2005-06,2005,17,57,23,0.40350877192982454
959,101158,1,Orien Greene,2005-06,2005,70,253,100,0.3952569169960474
960,101158,2,Orien Greene,2006-07,2005,26,62,23,0.3709677419354839
961,101159,1,Dijon Thompson,2005-06,2005,8,25,11,0.44
962,101160,1,Lawrence Roberts,2005-06,2005,21,44,20,0.45454545454545453
963,101160,2,Lawrence Roberts,2006-07,2005,52,207,94,0.45410628019323673
964,101161,2,Amir Johnson,2006-07,2005,5,33,18,0.5454545454545454
965,101161,3,Amir Johnson,2007-08,2005,55,165,92,0.5575757575757576
966,101161,4,Amir Johnson,2008-09,2005,51,163,97,0.5950920245398773
967,101162,4,Marcin Gortat,2008-09,2005,54,187,106,0.5668449197860963
968,101165,4,Alex Acker,2008-09,2005,22,76,30,0.39473684210526316
969,101166,2,Uros Slokar,2006-07,2005,10,26,14,0.5384615384615384
970,200745,1,Andrea Bargnani,2006-07,2006,65,625,267,0.4272
971,200745,2,Andrea Bargnani,2007-08,2006,78,722,280,0.3878116343490305
972,200745,3,Andrea Bargnani,2008-09,2006,78,957,431,0.4503657262277952
973,200745,4,Andrea Bargnani,2009-10,2006,80,1141,537,0.4706397896581946
974,200746,1,LaMarcus Aldridge,2006-07,2006,60,479,241,0.5031315240083507
975,200746,2,LaMarcus Aldridge,2007-08,2006,76,1158,561,0.4844559585492228
976,200746,3,LaMarcus Aldridge,2008-09,2006,81,1240,601,0.4846774193548387
977,200746,4,LaMarcus Aldridge,2009-10,2006,78,1166,579,0.49656946826758147
978,200747,1,Adam Morrison,2006-07,2006,78,944,355,0.3760593220338983
979,200747,3,Adam Morrison,2008-09,2006,49,223,80,0.35874439461883406
980,200747,4,Adam Morrison,2009-10,2006,30,85,32,0.3764705882352941
981,200748,1,Tyrus Thomas,2006-07,2006,64,282,134,0.475177304964539
982,200748,2,Tyrus Thomas,2007-08,2006,71,440,186,0.42272727272727273
983,200748,3,Tyrus Thomas,2008-09,2006,78,682,308,0.45161290322580644
984,200748,4,Tyrus Thomas,2009-10,2006,53,420,194,0.46190476190476193
985,200749,1,Shelden Williams,2006-07,2006,73,365,166,0.4547945205479452
986,200749,2,Shelden Williams,2007-08,2006,54,212,92,0.4339622641509434
987,200749,3,Shelden Williams,2008-09,2006,41,157,70,0.445859872611465
988,200749,4,Shelden Williams,2009-10,2006,42,121,63,0.5206611570247934
989,200750,1,Brandon Roy,2006-07,2006,57,762,349,0.458005249343832
990,200750,2,Brandon Roy,2007-08,2006,74,1169,531,0.4542343883661249
991,200750,3,Brandon Roy,2008-09,2006,78,1314,633,0.4817351598173516
992,200750,4,Brandon Roy,2009-10,2006,65,1035,491,0.47439613526570046
993,200751,1,Randy Foye,2006-07,2006,82,688,300,0.436046511627907
994,200751,2,Randy Foye,2007-08,2006,39,459,198,0.43137254901960786
995,200751,3,Randy Foye,2008-09,2006,70,980,399,0.40714285714285714
996,200751,4,Randy Foye,2009-10,2006,70,618,256,0.41423948220064727
997,200752,1,Rudy Gay,2006-07,2006,77,755,321,0.4251655629139073
998,200752,2,Rudy Gay,2007-08,2006,81,1348,625,0.46364985163204747
999,200752,3,Rudy Gay,2008-09,2006,79,1262,572,0.4532488114104596
1000,200752,4,Rudy Gay,2009-10,2006,80,1285,600,0.4669260700389105
1001,200753,1,Patrick O'Bryant,2006-07,2006,14,32,10,0.3125
1002,200753,2,Patrick O'Bryant,2007-08,2006,15,29,16,0.5517241379310345
1003,200753,3,Patrick O'Bryant,2008-09,2006,25,83,45,0.5421686746987951
1004,200754,1,Mouhamed Sene,2006-07,2006,19,49,18,0.3673469387755102
1005,200755,1,JJ Redick,2006-07,2006,42,195,80,0.41025641025641024
1006,200755,2,JJ Redick,2007-08,2006,28,108,48,0.4444444444444444
1007,200755,3,JJ Redick,2008-09,2006,60,299,117,0.391304347826087
1008,200755,4,JJ Redick,2009-10,2006,81,553,243,0.4394213381555154
1009,200756,1,Hilton Armstrong,2006-07,2006,40,125,68,0.544
1010,200756,2,Hilton Armstrong,2007-08,2006,56,148,67,0.4527027027027027
1011,200756,3,Hilton Armstrong,2008-09,2006,66,244,138,0.5655737704918032
1012,200756,4,Hilton Armstrong,2009-10,2006,30,79,28,0.35443037974683544
1013,200757,1,Thabo Sefolosha,2006-07,2006,59,256,109,0.42578125
1014,200757,2,Thabo Sefolosha,2007-08,2006,62,418,180,0.430622009569378
1015,200757,3,Thabo Sefolosha,2008-09,2006,64,356,152,0.42696629213483145
1016,200757,4,Thabo Sefolosha,2009-10,2006,81,441,194,0.4399092970521542
1017,200758,1,Ronnie Brewer,2006-07,2006,51,193,102,0.5284974093264249
1018,200758,2,Ronnie Brewer,2007-08,2006,76,633,354,0.5592417061611374
1019,200758,3,Ronnie Brewer,2008-09,2006,81,825,421,0.5103030303030303
1020,200758,4,Ronnie Brewer,2009-10,2006,58,428,209,0.4883177570093458
1021,200759,1,Cedric Simmons,2006-07,2006,36,132,55,0.4166666666666667
1022,200759,3,Cedric Simmons,2008-09,2006,8,25,11,0.44
1023,200760,1,Rodney Carney,2006-07,2006,62,389,182,0.46786632390745503
1024,200760,2,Rodney Carney,2007-08,2006,67,392,158,0.4030612244897959
1025,200760,3,Rodney Carney,2008-09,2006,62,423,176,0.4160756501182033
1026,200760,4,Rodney Carney,2009-10,2006,62,281,113,0.40213523131672596
1027,200761,1,Shawne Williams,2006-07,2006,38,160,75,0.46875
1028,200761,2,Shawne Williams,2007-08,2006,64,371,159,0.42857142857142855
1029,200761,3,Shawne Williams,2008-09,2006,14,56,16,0.2857142857142857
1030,200762,2,Oleksiy Pecherov,2007-08,2006,31,125,44,0.352
1031,200762,3,Oleksiy Pecherov,2008-09,2006,28,101,39,0.38613861386138615
1032,200762,4,Oleksiy Pecherov,2009-10,2006,41,188,77,0.4095744680851064
1033,200763,1,Quincy Douby,2006-07,2006,33,126,48,0.38095238095238093
1034,200763,2,Quincy Douby,2007-08,2006,69,335,132,0.3940298507462687
1035,200763,3,Quincy Douby,2008-09,2006,26,110,42,0.38181818181818183
1036,200764,1,Renaldo Balkman,2006-07,2006,63,274,139,0.5072992700729927
1037,200764,2,Renaldo Balkman,2007-08,2006,59,186,91,0.489247311827957
1038,200764,3,Renaldo Balkman,2008-09,2006,44,196,110,0.5612244897959183
1039,200765,1,Rajon Rondo,2006-07,2006,73,446,188,0.42152466367713004
1040,200765,2,Rajon Rondo,2007-08,2006,77,712,351,0.49297752808988765
1041,200765,3,Rajon Rondo,2008-09,2006,79,759,383,0.5046113306982872
1042,200765,4,Rajon Rondo,2009-10,2006,81,901,459,0.5094339622641509
1043,200766,1,Marcus Williams,2006-07,2006,79,521,208,0.39923224568138194
1044,200766,2,Marcus Williams,2007-08,2006,49,289,111,0.38408304498269896
1045,200766,4,Marcus Williams,2009-10,2006,57,264,103,0.39015151515151514
1046,200767,1,Josh Boone,2006-07,2006,48,171,99,0.5789473684210527
1047,200767,2,Josh Boone,2007-08,2006,67,434,238,0.5483870967741935
1048,200767,3,Josh Boone,2008-09,2006,55,214,113,0.5280373831775701
1049,200767,4,Josh Boone,2009-10,2006,55,223,117,0.5246636771300448
1050,200768,1,Kyle Lowry,2006-07,2006,9,38,14,0.3684210526315789
1051,200768,2,Kyle Lowry,2007-08,2006,82,585,256,0.4376068376068376
1052,200768,3,Kyle Lowry,2008-09,2006,76,431,189,0.4385150812064965
1053,200768,4,Kyle Lowry,2009-10,2006,68,462,184,0.39826839826839827
1054,200769,1,Shannon Brown,2006-07,2006,20,74,28,0.3783783783783784
1055,200769,2,Shannon Brown,2007-08,2006,20,125,44,0.352
1056,200769,3,Shannon Brown,2008-09,2006,41,163,78,0.4785276073619632
1057,200769,4,Shannon Brown,2009-10,2006,81,588,253,0.4302721088435374
1058,200770,1,Jordan Farmar,2006-07,2006,70,292,124,0.4246575342465753
1059,200770,2,Jordan Farmar,2007-08,2006,82,629,291,0.4626391096979332
1060,200770,3,Jordan Farmar,2008-09,2006,65,411,161,0.39172749391727496
1061,200770,4,Jordan Farmar,2009-10,2006,81,514,224,0.4357976653696498
1062,200771,1,Sergio Rodriguez,2006-07,2006,62,238,101,0.42436974789915966
1063,200771,2,Sergio Rodriguez,2007-08,2006,65,192,69,0.359375
1064,200771,3,Sergio Rodriguez,2008-09,2006,80,324,129,0.39814814814814814
1065,200771,4,Sergio Rodriguez,2009-10,2006,65,351,167,0.4757834757834758
1066,200772,1,Maurice Ager,2006-07,2006,24,70,22,0.3142857142857143
1067,200772,2,Maurice Ager,2007-08,2006,22,65,21,0.3230769230769231
1068,200772,3,Maurice Ager,2008-09,2006,16,43,15,0.3488372093023256
1069,200776,1,Mardy Collins,2006-07,2006,36,225,87,0.38666666666666666
1070,200776,2,Mardy Collins,2007-08,2006,38,174,57,0.3275862068965517
1071,200776,3,Mardy Collins,2008-09,2006,44,246,105,0.4268292682926829
1072,200776,4,Mardy Collins,2009-10,2006,33,126,47,0.373015873015873
1073,200778,1,James White,2006-07,2006,6,41,18,0.43902439024390244
1074,200779,1,Steve Novak,2006-07,2006,23,50,18,0.36
1075,200779,2,Steve Novak,2007-08,2006,29,102,49,0.4803921568627451
1076,200779,3,Steve Novak,2008-09,2006,61,394,176,0.4467005076142132
1077,200779,4,Steve Novak,2009-10,2006,33,108,42,0.3888888888888889
1078,200780,1,Solomon Jones,2006-07,2006,41,128,65,0.5078125
1079,200780,2,Solomon Jones,2007-08,2006,13,30,12,0.4
1080,200780,3,Solomon Jones,2008-09,2006,43,111,67,0.6036036036036037
1081,200780,4,Solomon Jones,2009-10,2006,50,176,78,0.4431818181818182
1082,200781,1,Paul Davis,2006-07,2006,17,52,22,0.4230769230769231
1083,200781,2,Paul Davis,2007-08,2006,17,65,24,0.36923076923076925
1084,200781,3,Paul Davis,2008-09,2006,26,98,40,0.40816326530612246
1085,200783,1,Craig Smith,2006-07,2006,80,461,246,0.5336225596529284
1086,200783,2,Craig Smith,2007-08,2006,77,525,297,0.5657142857142857
1087,200783,3,Craig Smith,2008-09,2006,74,513,289,0.5633528265107213
1088,200783,4,Craig Smith,2009-10,2006,72,397,226,0.5692695214105793
1089,200784,1,Bobby Jones,2006-07,2006,26,93,43,0.46236559139784944
1090,200784,2,Bobby Jones,2007-08,2006,36,140,60,0.42857142857142855
1091,200786,1,David Noel,2006-07,2006,48,177,65,0.3672316384180791
1092,200788,2,James Augustine,2007-08,2006,19,34,18,0.5294117647058824
1093,200789,1,Daniel Gibson,2006-07,2006,56,229,98,0.4279475982532751
1094,200789,2,Daniel Gibson,2007-08,2006,58,465,201,0.432258064516129
1095,200789,3,Daniel Gibson,2008-09,2006,75,527,206,0.3908918406072106
1096,200789,4,Daniel Gibson,2009-10,2006,52,268,125,0.4664179104477612
1097,200792,1,Alexander Johnson,2006-07,2006,46,169,91,0.5384615384615384
1098,200792,2,Alexander Johnson,2007-08,2006,34,125,61,0.488
1099,200793,1,Dee Brown,2006-07,2006,35,98,32,0.32653061224489793
1100,200793,3,Dee Brown,2008-09,2006,16,49,18,0.3673469387755102
1101,200794,1,Paul Millsap,2006-07,2006,78,398,209,0.5251256281407035
1102,200794,2,Paul Millsap,2007-08,2006,81,501,253,0.5049900199600799
1103,200794,3,Paul Millsap,2008-09,2006,76,748,400,0.5347593582887701
1104,200794,4,Paul Millsap,2009-10,2006,82,716,385,0.5377094972067039
1105,200796,1,Leon Powe,2006-07,2006,48,177,79,0.4463276836158192
1106,200796,2,Leon Powe,2007-08,2006,47,269,154,0.5724907063197026
1107,200796,3,Leon Powe,2008-09,2006,68,338,177,0.5236686390532544
1108,200796,4,Leon Powe,2009-10,2006,12,49,21,0.42857142857142855
1109,200797,1,Ryan Hollins,2006-07,2006,17,36,20,0.5555555555555556
1110,200797,2,Ryan Hollins,2007-08,2006,39,94,46,0.48936170212765956
1111,200797,3,Ryan Hollins,2008-09,2006,37,94,50,0.5319148936170213
1112,200797,4,Ryan Hollins,2009-10,2006,71,303,169,0.5577557755775577
1113,200798,3,Cheikh Samb,2008-09,2006,11,32,6,0.1875
1114,200801,1,Hassan Adams,2006-07,2006,40,135,75,0.5555555555555556
1115,200806,1,Damir Markota,2006-07,2006,25,52,19,0.36538461538461536
1116,200807,1,Will Blalock,2006-07,2006,11,30,9,0.3
1117,201141,2,Greg Oden,2008-09,2007,61,351,198,0.5641025641025641
1118,201141,3,Greg Oden,2009-10,2007,20,152,92,0.6052631578947368
1119,201142,1,Kevin Durant,2007-08,2007,80,1365,587,0.43003663003663006
1120,201142,2,Kevin Durant,2008-09,2007,74,1390,661,0.47553956834532374
1121,201142,3,Kevin Durant,2009-10,2007,82,1668,794,0.47601918465227816
1122,201142,4,Kevin Durant,2010-11,2007,78,1538,711,0.46228868660598177
1123,201143,1,Al Horford,2007-08,2007,81,667,333,0.4992503748125937
1124,201143,2,Al Horford,2008-09,2007,67,594,312,0.5252525252525253
1125,201143,3,Al Horford,2009-10,2007,81,847,467,0.551357733175915
1126,201143,4,Al Horford,2010-11,2007,77,921,513,0.5570032573289903
1127,201144,1,Mike Conley,2007-08,2007,53,441,189,0.42857142857142855
1128,201144,2,Mike Conley,2008-09,2007,81,728,323,0.44368131868131866
1129,201144,3,Mike Conley,2009-10,2007,80,829,369,0.4451145958986731
1130,201144,4,Mike Conley,2010-11,2007,81,952,423,0.44432773109243695
1131,201145,1,Jeff Green,2007-08,2007,80,748,320,0.42780748663101603
1132,201145,2,Jeff Green,2008-09,2007,78,1067,476,0.44611059044048734
1133,201145,3,Jeff Green,2009-10,2007,82,1069,485,0.4536950420954163
1134,201145,4,Jeff Green,2010-11,2007,75,818,368,0.44987775061124696
1135,201146,1,Yi Jianlian,2007-08,2007,66,520,219,0.42115384615384616
1136,201146,2,Yi Jianlian,2008-09,2007,61,500,191,0.382
1137,201146,3,Yi Jianlian,2009-10,2007,52,563,227,0.40319715808170514
1138,201146,4,Yi Jianlian,2010-11,2007,60,347,145,0.41786743515850144
1139,201147,1,Corey Brewer,2007-08,2007,77,484,182,0.3760330578512397
1140,201147,2,Corey Brewer,2008-09,2007,15,90,37,0.4111111111111111
1141,201147,3,Corey Brewer,2009-10,2007,82,948,409,0.43143459915611815
1142,201147,4,Corey Brewer,2010-11,2007,68,481,193,0.40124740124740127
1143,201148,1,Brandan Wright,2007-08,2007,33,112,62,0.5535714285714286
1144,201148,2,Brandan Wright,2008-09,2007,38,245,130,0.5306122448979592
1145,201148,4,Brandan Wright,2010-11,2007,29,117,60,0.5128205128205128
1146,201149,1,Joakim Noah,2007-08,2007,68,367,177,0.4822888283378747
1147,201149,2,Joakim Noah,2008-09,2007,77,372,207,0.5564516129032258
1148,201149,3,Joakim Noah,2009-10,2007,64,520,262,0.5038461538461538
1149,201149,4,Joakim Noah,2010-11,2007,48,402,211,0.5248756218905473
1150,201150,1,Spencer Hawes,2007-08,2007,65,318,146,0.4591194968553459
1151,201150,2,Spencer Hawes,2008-09,2007,77,799,373,0.4668335419274093
1152,201150,3,Spencer Hawes,2009-10,2007,72,666,312,0.46846846846846846
1153,201150,4,Spencer Hawes,2010-11,2007,81,566,264,0.4664310954063604
1154,201151,1,Acie Law,2007-08,2007,51,237,95,0.4008438818565401
1155,201151,2,Acie Law,2008-09,2007,40,138,51,0.3695652173913043
1156,201151,3,Acie Law,2009-10,2007,23,75,35,0.4666666666666667
1157,201151,4,Acie Law,2010-11,2007,47,186,81,0.43548387096774194
1158,201152,1,Thaddeus Young,2007-08,2007,72,490,264,0.5387755102040817
1159,201152,2,Thaddeus Young,2008-09,2007,75,960,475,0.4947916666666667
1160,201152,3,Thaddeus Young,2009-10,2007,67,812,382,0.47044334975369456
1161,201152,4,Thaddeus Young,2010-11,2007,82,846,458,0.541371158392435
1162,201153,1,Julian Wright,2007-08,2007,48,169,90,0.5325443786982249
1163,201153,2,Julian Wright,2008-09,2007,47,234,109,0.4658119658119658
