model_name,n_oof,rmse,mae,medae,r2,rank_rmse
ridge_alpha_10,662,0.03979325183336745,0.03044710576578182,0.02406887143572414,0.7270586901589638,1
ridge_alpha_1,662,0.04015557725639367,0.030597607688991123,0.023350505654652493,0.7220656929170566,2
linear_regression,662,0.0408123699641935,0.031051867802543955,0.025041433532238866,0.7128994394622263,3
macro_archetype_mean,662,0.055952682255964,0.044130601882042375,0.035754346111015814,0.460374788665355,4
global_mean,662,0.07620719673611025,0.06427741369795405,0.0614074021301171,-0.0010191449978367295,5
