comp_salary_anchor_support,players,supported_market_anchor_players,fair_price_mean,fair_price_median,anchor_band_width_median,effective_comp_n_median,supported_market_anchor_share
high,332,332,0.09783923147027163,0.0883782350598899,0.057922400933945496,4.9930572304678975,1.0
medium,295,295,0.08622749227254042,0.0802475339419263,0.07138642594499921,6.212551050267911,1.0
low,271,271,0.0651562541581513,0.0588883956173748,0.0443301547200838,8.078086716259493,1.0
,94,0,,,,,0.0
very_low,43,43,0.03350297853778251,0.0252288254468024,0.0,26.01909715975768,1.0
insufficient,23,0,,,,,0.0
