PLAYER_ID,PLAYER_NAME,player_name_key,draft_year,INPUT_SEASON,FORECAST_SEASON,predicted_class,actual_class,label_known,is_correct,sleeper_probability,neutral_probability,bust_probability,confidence_rating,confidence_score,uncertainty_proxy,holdout_split_tag,actual_years5_7_perf_score_component_mean,predicted_years5_7_perf_score_component_mean,performance_pred_error_component_mean,actual_scoring_metric_score,actual_efficiency_metric_score,actual_playmaking_metric_score,actual_defense_metric_score,actual_control_metric_score,predicted_scoring_metric_score,predicted_efficiency_metric_score,predicted_playmaking_metric_score,predicted_defense_metric_score,predicted_control_metric_score,actual_years5_7_games_avg,actual_years5_7_minutes_avg,actual_years5_7_points_avg,actual_years5_7_rebounds_avg,actual_years5_7_assists_avg,boxscore_target_support_flag,performance_test_prediction_available,identity_source,classification_support_flag,forecast_support_flag,block1_ready_flag,deliverable3_block1_note
2744.0,Al Jefferson,al jefferson,2003,2004-2008,2008-2011,Sleeper,Sleeper,1,1.0,0.8403593,0.08152425,0.07811648,High,0.8403593,0.15964069999999997,Train,48.61444876549459,,,60.01820051030844,35.909151197535216,19.17703197403323,67.23773811783617,60.73012202775991,,,,,,0.0,0.0,0.0,0.0,0.0,missing_all_stats_window,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
,Al Thornton,al thornton,,,,Neutral,,0,,0.00086713536,0.5814287,0.41770414,Medium,0.5814287,0.4185713,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
202329.0,Al-Farouq Aminu,al farouq aminu,2010,2010-2014,2014-2017,Neutral,Neutral,1,1.0,0.00049866835,0.5514939,0.44800746,Medium,0.5514939,0.4485061,Train,38.21867226119293,,,24.94626751928419,31.043186873427025,19.405044644274824,69.78286642673672,45.91599584224186,,,,,,72.33333333333333,1826.5316663333333,594.3333333333334,430.6666666666667,98.66666666666667,ok,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
,Alan Anderson,alan anderson,,,,Bust,,0,,0.009251671,0.41435307,0.5763953,Medium,0.5763953,0.42360469999999995,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Alan Henderson,alan henderson,,,,Bust,Bust,1,1.0,0.0027704411,0.030575067,0.9666545,High,0.9666545,0.03334550000000003,,,,,,,,,,,,,,,,,,,,,,,label_known,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
202692.0,Alec Burks,alec burks,2011,2011-2015,2015-2018,Bust,Bust,1,1.0,0.06898558,0.35022858,0.5807859,Medium,0.5807859,0.41921410000000003,Train,31.634085905459962,,,48.08536664190699,31.39717642355684,19.698960717582032,33.49818106249145,25.49074468176248,,,,,,45.666666666666664,836.3244444333335,396.3333333333333,140.33333333333334,53.333333333333336,ok,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
,Aleksej Pokusevski,aleksej pokusevski,,,,Bust,,0,,0.005060346,0.11087665,0.884063,High,0.884063,0.11593699999999996,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
,Alex Caruso,alex caruso,,,,Neutral,Bust,1,0.0,0.020629982,0.7013762,0.27799377,High,0.7013762,0.2986238,,,,,,,,,,,,,,,,,,,,,,,label_known,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
203458.0,Alex Len,alex len,2013,2013-2017,2017-2020,Bust,Bust,1,1.0,0.0005770102,0.046383597,0.9530394,High,0.9530394,0.04696060000000002,Train,49.16083568029197,,,49.124269391993394,65.86511782743267,15.805484533230407,40.81737831157951,74.19192833722386,,,,,,67.0,1303.3150001000001,626.3333333333334,421.0,72.66666666666667,ok,,player_id_all_stats,label_known,actual_target_only,ready_for_name_or_id_merge,classification probabilities available; only realized target-side performance components available
,Alexis Ajinca,alexis ajinca,,,,Bust,,0,,0.00026837966,0.03339242,0.96633923,High,0.96633923,0.033660770000000007,,,,,,,,,,,,,,,,,,,,,,,prediction_only,classification_only,name_only_merge,classification probabilities only; no linked performance component row in current split table
