feature_name,coefficient,abs_coefficient,selected_model
num__cluster_3_onehot_k5,-0.0021588648193553036,0.0021588648193553036,ridge_alpha_10
num__cluster_1_onehot_k5,-0.002123395225243448,0.002123395225243448,ridge_alpha_10
num__shot_style_subtype_changes,0.0020876719717873057,0.0020876719717873057,ridge_alpha_10
cat__hybrid_archetype_label_Perimeter Wings & Connectors | Balanced Three-Level Scorers,-0.002079002820828088,0.002079002820828088,ridge_alpha_10
num__pca_21,-0.00204199727915744,0.00204199727915744,ridge_alpha_10
num__pca_10,-0.0018447812976983653,0.0018447812976983653,ridge_alpha_10
num__cluster_4_onehot_k5,-0.001799662902805219,0.001799662902805219,ridge_alpha_10
num__shot_style_prob_4,0.0017970513028820495,0.0017970513028820495,ridge_alpha_10
num__shot_style_prob_3,-0.0016982318407080031,0.0016982318407080031,ridge_alpha_10
cat__hybrid_archetype_label_Scoring Bigs / Two-Way Forwards | Interior Finishers,-0.0016859864942408967,0.0016859864942408967,ridge_alpha_10
num__shotstyle_y1_to_y4_displacement,0.0016676075139644892,0.0016676075139644892,ridge_alpha_10
num__shot_emb_21,-0.0014862409980255671,0.0014862409980255671,ridge_alpha_10
cat__hybrid_archetype_label_Scoring Bigs / Two-Way Forwards | Balanced Three-Level Scorers,0.0013967259334934652,0.0013967259334934652,ridge_alpha_10
num__shot_emb_8,-0.0013526389594020558,0.0013526389594020558,ridge_alpha_10
num__shot_emb_1,0.0013467015771422015,0.0013467015771422015,ridge_alpha_10
num__box_role_total_path_length,-0.001334426986847715,0.001334426986847715,ridge_alpha_10
num__pca_23,0.0013329757483948811,0.0013329757483948811,ridge_alpha_10
num__shot_emb_7,0.0012752392183474092,0.0012752392183474092,ridge_alpha_10
cat__cluster_archetype_k5_Perimeter Wings & Connectors,0.0012461471783564483,0.0012461471783564483,ridge_alpha_10
cat__macro_cluster_id_2,0.0012461471783564192,0.0012461471783564192,ridge_alpha_10
cat__hybrid_archetype_label_High-Usage Primary Creators | Midrange Shot Creators,0.0012150174745303543,0.0012150174745303543,ridge_alpha_10
cat__shot_style_subtype_Midrange Shot Creators,-0.0011517221547970773,0.0011517221547970773,ridge_alpha_10
cat__shot_style_subtype_id_4.0,-0.0011517221547967511,0.0011517221547967511,ridge_alpha_10
cat__shot_style_subtype_Balanced Three-Level Scorers,-0.0011491782929657216,0.0011491782929657216,ridge_alpha_10
cat__shot_style_subtype_id_1.0,-0.0011491782929657132,0.0011491782929657132,ridge_alpha_10
num__shot_emb_16,0.0010921613030116682,0.0010921613030116682,ridge_alpha_10
cat__hybrid_archetype_label_High-Usage Primary Creators | No Shot Subtype,-0.0009767913947808953,0.0009767913947808953,ridge_alpha_10
num__pca_18,-0.0009126998922205173,0.0009126998922205173,ridge_alpha_10
num__shotstyle_total_path_length,0.0009041363377544888,0.0009041363377544888,ridge_alpha_10
cat__macro_cluster_id_1,-0.0008803880230715991,0.0008803880230715991,ridge_alpha_10
cat__cluster_archetype_k5_Low-Usage Interior Bigs,-0.0008803880230715331,0.0008803880230715331,ridge_alpha_10
cat__cluster_archetype_k5_High-Usage Primary Creators,0.0008442947098201809,0.0008442947098201809,ridge_alpha_10
num__shot_emb_20,-0.000840567105278861,0.000840567105278861,ridge_alpha_10
cat__macro_cluster_id_4,-0.0007906980288662155,0.0007906980288662155,ridge_alpha_10
cat__cluster_archetype_k5_Scoring Bigs / Two-Way Forwards,-0.0007906980288659441,0.0007906980288659441,ridge_alpha_10
cat__hybrid_archetype_label_Perimeter Wings & Connectors | Midrange Shot Creators,-0.0007524011172925941,0.0007524011172925941,ridge_alpha_10
cat__shot_style_subtype_id_3.0,0.0007124456832613063,0.0007124456832613063,ridge_alpha_10
cat__shot_style_subtype_Interior Finishers,0.0007124456832612404,0.0007124456832612404,ridge_alpha_10
cat__shot_style_subtype_id_2.0,-0.0007097692268245307,0.0007097692268245307,ridge_alpha_10
num__prototype_margin_second_minus_first,-0.00070140653212251,0.00070140653212251,ridge_alpha_10
num__shot_emb_9,-0.0006957586824573357,0.0006957586824573357,ridge_alpha_10
cat__hybrid_archetype_label_Scoring Bigs / Two-Way Forwards | Midrange Shot Creators,-0.0006777839513635733,0.0006777839513635733,ridge_alpha_10
num__seasons_with_embeddings,-0.00064267266106759,0.00064267266106759,ridge_alpha_10
num__observed_shot_seasons,-0.0006426726610674114,0.0006426726610674114,ridge_alpha_10
