PLAYER_ID,PLAYER_NAME,draft_year,year5_salary_cap_pct,target_observed_flag,training_eligible_flag,holdout_for_case_study,holdout_reason,split_group_draft_year,modeling_row_status,baseline_selected_model,predicted_year5_salary_cap_pct,prediction_status,protected_price_cap_pct,fair_price_cap_pct,walk_away_max_cap_pct,anchor_band_width,anchor_band_relative_width,market_anchor_supported_flag,market_anchor_band_text,historical_year5_salary_cap_pct_observed,historical_year5_salary_observed_flag,macro_archetype,shot_style_subtype,hybrid_archetype_label,scarcity_tier,scarcity_wording,prototype_fit_ambiguity,ambiguity_band,identity_drift_class,drift_signal,realistic_comp_list,realistic_comp_similarity_mean,comp_salary_match_count,comp_salary_match_rate,comp_salary_anchor_support,detail_effective_comp_n,detail_same_macro_share,detail_anchor_std_weighted,comp_support_bucket,anchor_width_band,decision_card_band_text,decision_card_support_text,provisional_action_bucket,provisional_action_reason,decision_card_label,decision_status,supporting_shot_style_explanation,block2_market_context_interpretation,holdout_for_case_study_decision,holdout_reason_decision,forecast_overlay_available_flag,forecast_merge_method,forecast_outlook_bucket,forecast_confidence_proxy,forecast_performance_tier,predicted_class,prob_Bust,prob_Neutral,prob_Sleeper,predicted_performance_score_per_game_5to7_avg,baseline_vs_protected_gap,baseline_vs_fair_gap,baseline_vs_walkaway_gap,baseline_vs_fair_gap_abs,baseline_vs_fair_gap_pct,model_market_alignment_bucket,pricing_anchor_preference,market_model_midpoint_cap_pct,forecast_overlay_signal,interim_reconciliation_note,reconciliation_status
101115,Andrew Bynum,2005,0.2171056845753899,1,0,1,Reserved salary suggestion demo player; exclude from future salary-model training/calibration.,2005,demo_holdout_excluded_from_training,ridge_alpha_10,0.1647620557830046,baseline_prediction_outside_training_pool,0.0719036491101923,0.112225371508981,0.1733102253032929,0.1014065761931006,0.9035975985607264,1,"Protected around 0.072 of cap, fair around 0.112, walk-away max around 0.173.",0.2171056845753899,1,Scoring Bigs / Two-Way Forwards,Arc-Heavy Spacers,Scoring Bigs / Two-Way Forwards | Arc-Heavy Spacers,selective_premium,"Valuable scoring frontcourt archetype, but price discipline still matters because replacement is not impossible.",0.9081419560368784,high_ambiguity,role_shifting_materially,elevated_drift_risk,"Andrew Bogut, Zaza Pachulia, Alexander Johnson, Tyson Chandler, Sean Williams",7.808132499532965,4,0.8,medium,6.0476781149999255,0.5,0.0687705074716947,moderate,wide,"Protected around 0.072 of cap, fair around 0.112, walk-away max around 0.173.",Comp support moderate; drift elevated_drift_risk; archetype selective_premium.,wait_and_save_flexibility,Wait and save flexibility: comp support is usable but not airtight; frontcourt scoring archetype can justify a selective premium; prototype fit remains ambiguous; market anchor band is wide; role identity is still shifting materially.,"Andrew Bynum — Scoring Bigs / Two-Way Forwards | Protected 0.072, fair 0.112, walk-away 0.173",provisional_block2_only,High-frequency perimeter shot makers and floor-spacing profiles.,"This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.072 to 0.173 of cap, with a weighted midpoint near 0.173. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",True,Reserved salary suggestion demo player; exclude from future salary-model training/calibration.,0,forecast_file_missing,forecast_unavailable,forecast_unavailable,forecast_unavailable,,,,,,0.0928584066728123,0.052536684274023596,-0.008548169520288307,0.052536684274023596,0.4681355344840117,between_fair_and_walkaway,market_band_confirmed_by_model,0.1384937136459928,no_forecast_overlay,Market anchor and baseline model are directionally aligned. No Deliverable 1 macro forecast overlay was available here.,interim_without_forecast_overlay
202696,Nikola Vučević,2011,0.1607142857142857,1,0,1,Reserved salary suggestion demo player; exclude from future salary-model training/calibration.,2011,demo_holdout_excluded_from_training,ridge_alpha_10,0.1844803763653939,baseline_prediction_outside_training_pool,0.1374381528312259,0.1878594108376146,0.2293853582554517,0.0919472054242258,0.489446895496254,1,"Protected around 0.137 of cap, fair around 0.188, walk-away max around 0.229.",0.1607142857142857,1,Scoring Bigs / Two-Way Forwards,Midrange Shot Creators,Scoring Bigs / Two-Way Forwards | Midrange Shot Creators,selective_premium,"Valuable scoring frontcourt archetype, but price discipline still matters because replacement is not impossible.",0.5570709766986763,low_ambiguity,role_shifting_materially,elevated_drift_risk,"Bobby Portis, Tobias Harris, T.J. Warren, Jaylen Brown, Jimmy Butler III",8.053623379778818,5,1.0,medium,4.9909113206774,1.0,0.0516535735644466,strong,balanced,"Protected around 0.137 of cap, fair around 0.188, walk-away max around 0.229.",Comp support strong; drift elevated_drift_risk; archetype selective_premium.,offer_now_disciplined_band,"Offer now, but stay disciplined: comp support is strong; frontcourt scoring archetype can justify a selective premium; prototype fit is relatively clear; market anchor band is balanced; role identity is still shifting materially.","Nikola Vučević — Scoring Bigs / Two-Way Forwards | Protected 0.137, fair 0.188, walk-away 0.229",provisional_block2_only,Self-created midrange-heavy profiles with intermediate-area usage.,"This player sits in the Scoring Bigs / Two-Way Forwards market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.137 to 0.229 of cap, with a weighted midpoint near 0.229. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",True,Reserved salary suggestion demo player; exclude from future salary-model training/calibration.,0,forecast_file_missing,forecast_unavailable,forecast_unavailable,forecast_unavailable,,,,,,0.04704222353416801,-0.003379034472220682,-0.04490498189005779,0.003379034472220682,0.01798703858994594,between_protected_and_fair,market_band_confirmed_by_model,0.18616989360150427,no_forecast_overlay,Market anchor and baseline model are directionally aligned. No Deliverable 1 macro forecast overlay was available here.,interim_without_forecast_overlay
1629027,Trae Young,2018,0.3,1,0,1,Reserved salary suggestion demo player; exclude from future salary-model training/calibration.,2018,demo_holdout_excluded_from_training,ridge_alpha_10,0.2558657765175122,baseline_prediction_outside_training_pool,0.25,0.253109887907588,0.253109887907588,0.0031098879075879,0.0122867104612026,1,"Protected around 0.250 of cap, fair around 0.253, walk-away max around 0.253.",0.3,1,High-Usage Primary Creators,Balanced Three-Level Scorers,High-Usage Primary Creators | Balanced Three-Level Scorers,scarce,Scarce offensive engine archetype; earlier disciplined offers can be justified when comp support is credible.,0.6405590626815935,low_ambiguity,role_shifting_materially,elevated_drift_risk,"Luka Dončić, Donovan Mitchell, Shai Gilgeous-Alexander, Jamal Murray, Jordan Poole",7.826870921849223,5,1.0,medium,4.973322159751555,1.0,0.0301185783568623,strong,narrow,"Protected around 0.250 of cap, fair around 0.253, walk-away max around 0.253.",Comp support strong; drift elevated_drift_risk; archetype scarce.,offer_now_disciplined_band,"Offer now, but stay disciplined: comp support is strong; role family is relatively scarce; prototype fit is relatively clear; market anchor band is narrow; role identity is still shifting materially.","Trae Young — High-Usage Primary Creators | Protected 0.250, fair 0.253, walk-away 0.253",provisional_block2_only,"Profiles with meaningful rim, midrange, and three-point balance.","This player sits in the High-Usage Primary Creators market neighborhood. Matched realistic comps imply a Year-5 salary range around 0.250 to 0.250 of cap, with a weighted midpoint near 0.250. Comp-market support is medium, and the early-career drift class is role_shifting_materially.",True,Reserved salary suggestion demo player; exclude from future salary-model training/calibration.,0,forecast_file_missing,forecast_unavailable,forecast_unavailable,forecast_unavailable,,,,,,0.005865776517512189,0.0027558886099242064,0.0027558886099242064,0.0027558886099242064,0.010888111218042966,above_walkaway,model_premium_vs_market_review,0.2544878322125501,no_forecast_overlay,Baseline model sits above the walk-away max; review whether the market anchor is too conservative or the model is overstating value. No Deliverable 1 macro forecast overlay was available here.,interim_without_forecast_overlay
