feature_name,coefficient,abs_coefficient,selected_model
cat__hybrid_archetype_label_Perimeter Wings & Connectors | Balanced Three-Level Scorers,-0.0021740404229235832,0.0021740404229235832,ridge_alpha_10
cat__hybrid_archetype_label_Low-Usage Interior Bigs | No Shot Subtype,-0.0021315986121925017,0.0021315986121925017,ridge_alpha_10
cat__hybrid_archetype_label_Scoring Bigs / Two-Way Forwards | Arc-Heavy Spacers,-0.0020066025413137335,0.0020066025413137335,ridge_alpha_10
num__pca_21,-0.001954051729844631,0.001954051729844631,ridge_alpha_10
num__shot_style_subtype_changes,0.001928976484620017,0.001928976484620017,ridge_alpha_10
cat__hybrid_archetype_label_Scoring Bigs / Two-Way Forwards | Interior Finishers,-0.0018067038075184534,0.0018067038075184534,ridge_alpha_10
num__shot_style_prob_3,-0.0017792977439837323,0.0017792977439837323,ridge_alpha_10
num__shot_style_prob_4,0.0017455964095370586,0.0017455964095370586,ridge_alpha_10
num__pca_10,-0.001696456209089771,0.001696456209089771,ridge_alpha_10
num__cluster_4_onehot_k5,-0.0016853328979900338,0.0016853328979900338,ridge_alpha_10
num__shotstyle_y1_to_y4_displacement,0.001444406001132839,0.001444406001132839,ridge_alpha_10
cat__hybrid_archetype_label_Scoring Bigs / Two-Way Forwards | Balanced Three-Level Scorers,0.001362492853902214,0.001362492853902214,ridge_alpha_10
num__shot_emb_7,0.001328054834698527,0.001328054834698527,ridge_alpha_10
num__shot_emb_21,-0.001327008451197053,0.001327008451197053,ridge_alpha_10
num__pca_23,0.0012927420364719552,0.0012927420364719552,ridge_alpha_10
num__box_role_total_path_length,-0.001287407254668503,0.001287407254668503,ridge_alpha_10
cat__hybrid_archetype_label_High-Usage Primary Creators | Midrange Shot Creators,0.001249985877068796,0.001249985877068796,ridge_alpha_10
cat__cluster_archetype_k5_Perimeter Wings & Connectors,0.0012322411284907328,0.0012322411284907328,ridge_alpha_10
cat__macro_cluster_id_2,0.00123224112849051,0.00123224112849051,ridge_alpha_10
num__shot_emb_16,0.001211968977785111,0.001211968977785111,ridge_alpha_10
num__shot_emb_8,-0.0012025853471116044,0.0012025853471116044,ridge_alpha_10
num__shotstyle_total_path_length,0.0011902768580136199,0.0011902768580136199,ridge_alpha_10
cat__shot_style_subtype_id_1.0,-0.0011645760657723555,0.0011645760657723555,ridge_alpha_10
cat__shot_style_subtype_Balanced Three-Level Scorers,-0.0011645760657723505,0.0011645760657723505,ridge_alpha_10
cat__shot_style_subtype_Midrange Shot Creators,-0.0011235908701363608,0.0011235908701363608,ridge_alpha_10
