PLAYER_ID,PLAYER_NAME,draft_year,macro_archetype,shot_style_subtype,hybrid_archetype_label,identity_drift_class,prototype_fit_ambiguity,comp_salary_match_count,comp_salary_match_rate,comp_salary_anchor_support,detail_matched_comp_count,detail_effective_comp_n,detail_top_comp_weight,detail_same_macro_share,detail_name_alignment_share,detail_anchor_std_weighted,protected_price_cap_pct,fair_price_cap_pct,walk_away_max_cap_pct,anchor_band_width,anchor_band_relative_width,fair_price_source,anchor_band_source,market_anchor_supported_flag,market_anchor_band_text,historical_year5_salary_cap_pct_observed,historical_year5_salary_observed_flag,historical_vs_fair_gap,historical_vs_protected_gap,historical_vs_walkaway_gap,holdout_for_case_study,holdout_reason
1920,A.J. Bramlett,1999,Fringe / Low-Opportunity Players,,Fringe / Low-Opportunity Players | No Shot Subtype,insufficient_data,0.7209966874197653,0,,,,,,,,,,,,,,missing,mixed_fallback,0,Comp-based market anchor not supported.,,0,,,,0,
1882,Elton Brand,1999,Scoring Bigs / Two-Way Forwards,Arc-Heavy Spacers,Scoring Bigs / Two-Way Forwards | Arc-Heavy Spacers,role_shifting_materially,0.8156868515108351,5,1.0,medium,5.0,4.990940618425893,0.2115987240929458,1.0,1.0,0.025326269837355957,0.2070947787366032,0.2070947787366032,0.2155127877820834,0.008418009045480207,0.040648098888996065,block2_weighted_mean,block2_direct,1,"Protected around 0.207 of cap, fair around 0.207, walk-away max around 0.216.",0.25,1,0.0429052212633968,0.0429052212633968,0.03448721221791659,0,
1915,Evan Eschmeyer,1999,Low-Usage Interior Bigs,Arc-Heavy Spacers,Low-Usage Interior Bigs | Arc-Heavy Spacers,role_shifting_materially,0.6868516517387818,4,0.8,medium,4.0,6.558087369294823,0.2294365322041357,1.0,1.0,0.031281940751798555,0.0173059377058436,0.0442208397960401,0.0442208397960401,0.0269149020901965,0.6086474660892054,block2_weighted_mean,block2_direct,1,"Protected around 0.017 of cap, fair around 0.044, walk-away max around 0.044.",0.0688244981751824,1,0.024603658379142294,0.051518560469338795,0.024603658379142294,0,
1921,Gordan Giricek,1999,Perimeter Wings & Connectors,Rim Pressure Drivers,Perimeter Wings & Connectors | Rim Pressure Drivers,insufficient_data,0.9656692248956592,4,0.8,high,4.0,5.885781387972024,0.2500503704596155,0.5,1.0,0.03068631002941213,0.0639627272727272,0.0839229256322137,0.0839229256322137,0.019960198359486495,0.23783963927759927,block2_weighted_mean,block2_direct,1,"Protected around 0.064 of cap, fair around 0.084, walk-away max around 0.084.",0.0351277372262773,1,-0.04879518840593639,-0.028834990046449897,-0.04879518840593639,0,
1899,James Posey,1999,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,role_shifting_materially,0.8315581999285802,5,1.0,high,5.0,4.989748518258472,0.212904573445238,0.8,1.0,0.057033823770897586,0.1113357772719625,0.1113357772719625,0.1399830620118566,0.028647284739894086,0.2573052925288939,block2_weighted_mean,block2_direct,1,"Protected around 0.111 of cap, fair around 0.111, walk-away max around 0.140.",0.1121578467153284,1,0.0008220694433658943,0.0008220694433658943,-0.02782521529652819,0,
1891,Jason Terry,1999,High-Usage Primary Creators,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,role_shifting_materially,0.4846568055403031,4,0.8,low,4.0,6.135266430908589,0.2125532499676159,0.5,1.0,0.049722595332712206,0.0656100886162235,0.132209027100139,0.2022290131224159,0.1366189245061924,1.0333554939687533,block2_weighted_mean,block2_direct,1,"Protected around 0.066 of cap, fair around 0.132, walk-away max around 0.202.",0.1900851505474452,1,0.05787612344730622,0.12447506193122171,-0.012143862574970687,0,
1902,Jeff Foster,1999,Low-Usage Interior Bigs,Midrange Shot Creators,Low-Usage Interior Bigs | Midrange Shot Creators,role_shifting_materially,0.641676011631066,4,0.8,low,4.0,6.1335644278905095,0.226425529223945,1.0,1.0,0.02603998824427808,0.0388164323616566,0.0463080311072519,0.0516849286747984,0.012868496313141804,0.27788908328530904,block2_weighted_mean,block2_direct,1,"Protected around 0.039 of cap, fair around 0.046, walk-away max around 0.052.",0.0912408759124087,1,0.0449328448051568,0.052424443550752105,0.0395559472376103,0,
1911,John Celestand,1999,Fringe / Low-Opportunity Players,Midrange Shot Creators,Fringe / Low-Opportunity Players | Midrange Shot Creators,insufficient_data,0.6963231717411864,2,0.4,low,2.0,12.558056908699202,0.202214217079237,0.5,1.0,0.03689015514289278,0.0014352043277513,0.0378303381496463,0.0752222475495783,0.07378704322182701,1.950472737778499,block2_weighted_mean,block2_direct,1,"Protected around 0.001 of cap, fair around 0.038, walk-away max around 0.075.",,0,,,,0,
1886,Jonathan Bender,1999,Perimeter Wings & Connectors,Rim Pressure Drivers,Perimeter Wings & Connectors | Rim Pressure Drivers,role_shifting_materially,0.9613232201234104,4,0.8,medium,4.0,6.159149471494518,0.2150889626276372,0.75,1.0,0.022425962593854314,0.035407125330614,0.0453275609327227,0.0583419591606285,0.022934833830014503,0.5059798797481175,block2_weighted_mean,block2_direct,1,"Protected around 0.035 of cap, fair around 0.045, walk-away max around 0.058.",0.1322992700729927,1,0.08697170914027,0.0968921447423787,0.07395731091236418,0,
1908,Jumaine Jones,1999,Perimeter Wings & Connectors,Rim Pressure Drivers,Perimeter Wings & Connectors | Rim Pressure Drivers,role_shifting_materially,0.9684051551583852,4,0.8,medium,4.0,6.4691370653331015,0.198811917712568,0.5,1.0,0.05664566794394082,0.0033231295620437,0.0755595301829003,0.1616161616161616,0.1582930320541179,2.094944630689893,block2_weighted_mean,block2_direct,1,"Protected around 0.003 of cap, fair around 0.076, walk-away max around 0.162.",0.0342153284671532,1,-0.041344201715747105,0.0308921989051095,-0.1274008331490084,0,
1903,Kenny Thomas,1999,Scoring Bigs / Two-Way Forwards,Rim Pressure Drivers,Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,role_shifting_materially,0.5717398362922147,4,0.8,high,4.0,5.782467705659601,0.2593065373885848,1.0,1.0,0.042258171134560533,0.1254130178017554,0.1254130178017554,0.1545928455869135,0.029179827785158097,0.23266984796812432,block2_weighted_mean,block2_direct,1,"Protected around 0.125 of cap, fair around 0.125, walk-away max around 0.155.",0.125456204379562,1,4.318657780660873e-05,4.318657780660873e-05,-0.029136641207351488,0,
