PLAYER_ID,PLAYER_NAME,shot_style_subtype,hybrid_archetype_label,dossier_figure_path
202689,Kemba Walker,Rim Pressure Drivers,High-Usage Primary Creators | Rim Pressure Drivers,/home/runner/work/STAT-946-Case-Study-3/STAT-946-Case-Study-3/visual/Player Archetype/player_dossier_demo/kemba_walker_dossier_demo.png
1629027,Trae Young,Balanced Three-Level Scorers,High-Usage Primary Creators | Balanced Three-Level Scorers,/home/runner/work/STAT-946-Case-Study-3/STAT-946-Case-Study-3/visual/Player Archetype/player_dossier_demo/trae_young_dossier_demo.png
201579,Roy Hibbert,Arc-Heavy Spacers,Scoring Bigs / Two-Way Forwards | Arc-Heavy Spacers,/home/runner/work/STAT-946-Case-Study-3/STAT-946-Case-Study-3/visual/Player Archetype/player_dossier_demo/roy_hibbert_dossier_demo.png
203124,Kyle O'Quinn,Interior Finishers,Low-Usage Interior Bigs | Interior Finishers,/home/runner/work/STAT-946-Case-Study-3/STAT-946-Case-Study-3/visual/Player Archetype/player_dossier_demo/kyle_o_quinn_dossier_demo.png
202696,Nikola Vučević,Midrange Shot Creators,Scoring Bigs / Two-Way Forwards | Midrange Shot Creators,/home/runner/work/STAT-946-Case-Study-3/STAT-946-Case-Study-3/visual/Player Archetype/player_dossier_demo/nikola_vu_evi_dossier_demo.png
