Player_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,kmeans_cluster_k5,cluster_archetype_k5,own_cluster_distance_k5,cluster_0_onehot_k5,cluster_1_onehot_k5,cluster_2_onehot_k5,cluster_3_onehot_k5,cluster_4_onehot_k5,dist_to_cluster_0_k5,dist_to_cluster_1_k5,dist_to_cluster_2_k5,dist_to_cluster_3_k5,dist_to_cluster_4_k5,pca_1_k5,pca_2_k5,pca_3_k5,pca_4_k5,pca_5_k5
1882,Elton Brand,1999,4,Scoring Bigs / Two-Way Forwards,7.323642187813844,0,0,0,0,1,8.97849729249505,11.616208445608228,12.027967543255325,14.568058217830117,7.323642187813844,7.041009489109097,3.1618476725754343,4.468879319140746,-3.246042565792984,-0.7497326213155758
1883,Steve Francis,1999,0,High-Usage Primary Creators,4.288449090746475,1,0,0,0,0,4.288449090746476,13.699056383689696,11.198599805235448,14.966928776160561,8.514521213405233,9.298675681574974,-2.7907292568789046,2.2891311932500624,-1.829393542436156,0.0941078157342071
1884,Baron Davis,1999,0,High-Usage Primary Creators,5.961304997195813,1,0,0,0,0,5.961304997195814,13.388525775975555,10.064009759893707,14.505057230636996,9.350245802601506,7.805366267696569,-3.4812319546207284,-2.423642953395084,1.3319242610824185,2.2054855629149905
1885,Lamar Odom,1999,0,High-Usage Primary Creators,5.7362084421509465,1,0,0,0,0,5.736208442150946,10.970546236434526,9.19951358645019,12.642807245870083,7.08581569061908,6.187147465649334,-1.0991609359621437,1.5983044926858436,-3.522877960324357,-0.1943528833494493
1886,Jonathan Bender,1999,2,Perimeter Wings & Connectors,6.270957524469091,0,0,1,0,0,11.111569219209686,6.5232560633082946,6.270957524469091,8.322842624813926,8.390692827204665,-0.7996360937935106,0.9340128526393396,-0.7577143310550325,1.7209721228660932,-4.487654235228374
1887,Wally Szczerbiak,1999,0,High-Usage Primary Creators,4.946639707999751,1,0,0,0,0,4.94663970799975,10.645242951804596,8.201272451175594,12.91569580063615,5.310499961471036,7.112746723511797,-0.0309015846281537,-0.5505132522095786,-0.7942812274000417,1.565616464790888
1888,Richard Hamilton,1999,0,High-Usage Primary Creators,5.232146189179193,1,0,0,0,0,5.232146189179193,12.676392826520399,10.143315198512713,13.80954071582626,7.2094340831262045,8.07218243953022,-2.1082300375341925,2.82129646701832,1.0391516146094275,-0.9476066943445948
1889,Andre Miller,1999,0,High-Usage Primary Creators,6.187092933135674,1,0,0,0,0,6.187092933135675,14.100868618464155,11.157111691397851,15.33713742583243,10.194781225365716,8.533465859423794,-3.690418654160781,-1.3542352178053083,-0.5900307700144704,0.3268446754403225
1890,Shawn Marion,1999,4,Scoring Bigs / Two-Way Forwards,4.704683201427508,0,0,0,0,1,7.280503354844897,10.613872495149538,9.899103381782536,13.70100460116477,4.704683201427508,7.319241555382359,2.4682798338363816,1.4332360437891318,0.7488073255627509,-0.0073929068013933
1891,Jason Terry,1999,0,High-Usage Primary Creators,4.097239123834482,1,0,0,0,0,4.097239123834482,13.597420694501023,10.008692377467705,14.845610695533676,8.453897844819934,9.16244624976038,-3.5041285333060195,-1.1478372325240371,0.719886614626088,0.8313648108084261
1892,Trajan Langdon,1999,2,Perimeter Wings & Connectors,4.684747458345316,0,0,1,0,0,9.61030490403221,7.602594484947793,4.684747458345317,7.237597231665935,8.715852418386067,-0.6331270079322896,-2.1211165841764523,-1.284825520578529,0.2846875196558914,0.5793100550488932
1893,Aleksandar Radojevic,1999,3,Fringe / Low-Opportunity Players,9.502218080510517,0,0,0,1,0,16.09582303979508,11.934478628678237,13.011714545678412,9.502218080510517,14.227655409779944,-5.503802251877558,-0.951236696395823,5.038432593115166,0.0546701315319529,0.1471111497981381
1894,Corey Maggette,1999,4,Scoring Bigs / Two-Way Forwards,4.855579482104767,0,0,0,0,1,7.155470357650995,8.795783463041413,7.96286501039156,11.148440092055525,4.855579482104767,4.663607127063863,1.1545579587892318,2.076313748407685,0.8861274860804683,-1.8768137256388304
1895,William Avery,1999,3,Fringe / Low-Opportunity Players,6.767930002044753,0,0,0,1,0,11.319238897839064,10.008489482784707,7.111786223170492,6.767930002044753,11.803072840201109,-2.823284163526739,-5.505281803726906,-0.8823465539884734,-0.7824931604497704,-0.7173283176134698
1897,Metta World Peace,1999,0,High-Usage Primary Creators,4.676454863748788,1,0,0,0,0,4.676454863748787,9.868919585094655,7.475265092557908,11.552398151072289,5.442824757825817,5.674204518451308,-0.902418703163538,0.3946248044536732,-1.795867439742887,1.171522805465718
1898,Cal Bowdler,1999,1,Low-Usage Interior Bigs,4.901631654509611,0,1,0,0,0,12.509287683708381,4.901631654509612,6.425590115651052,5.0567794817063385,8.948900914374958,-3.837475079869892,1.4097368777469168,-0.0356953485774023,-0.1607938482381601,0.0591511673488183
1899,James Posey,1999,4,Scoring Bigs / Two-Way Forwards,5.017940458072704,0,0,0,0,1,7.177573278504604,8.030184340775223,6.034382750965209,10.927172429913371,5.017940458072703,4.037402499396936,1.032088788969049,-2.681276721474412,-1.3568268179838665,1.6445943207494724
1900,Quincy Lewis,1999,2,Perimeter Wings & Connectors,4.508695373311942,0,0,1,0,0,10.882598706684696,6.233511417258373,4.5086953733119435,5.076530556031368,8.817951458291176,-2.637838077273292,-1.247618058241787,-1.291436885063235,-0.6700940968404655,0.0245600772546057
1901,Dion Glover,1999,2,Perimeter Wings & Connectors,4.046395459859957,0,0,1,0,0,7.3943434789821145,6.876928144606683,4.046395459859957,8.630245018903887,5.82394938329708,2.040271094483418,-0.6482201323515034,-1.2099113630663418,1.245850247276892,-2.090639797043837
1902,Jeff Foster,1999,1,Low-Usage Interior Bigs,6.231806100759149,0,1,0,0,0,14.721230741495942,6.231806100759149,9.711764173509653,10.807653256815222,10.487308830106915,-2.558183574919683,5.8918425863118005,-2.222098780762998,-1.860729260634912,-2.073544694766249
1903,Kenny Thomas,1999,4,Scoring Bigs / Two-Way Forwards,3.822907144349424,0,0,0,0,1,8.20007943049023,6.686445305510505,6.870380480123127,10.467611710261098,3.822907144349424,3.315659536739548,3.030115985980494,-0.642534464254902,-0.9091908473218556,0.9731413585740896
1904,Devean George,1999,2,Perimeter Wings & Connectors,5.2596213430310925,0,0,1,0,0,10.429696367686459,5.795476131513648,5.2596213430310925,8.28782561123646,7.415247629470043,-0.2809079422741569,1.2465358430830704,-2.17835677571001,1.1313412975063364,-2.835013487169914
1905,Andrei Kirilenko,1999,4,Scoring Bigs / Two-Way Forwards,5.422492914213819,0,0,0,0,1,8.62360230501907,7.448594692682866,7.779735750445884,10.78708847255023,5.422492914213819,3.232763414830508,2.8827182408375145,0.3194124503587316,0.6765072155011265,0.6664977915357132
1906,Tim James,1999,3,Fringe / Low-Opportunity Players,7.486263620825546,0,0,0,1,0,16.237052487597538,10.816489853772577,11.236478200390007,7.486263620825545,14.2781014590443,-7.221509185405627,-2.0713611526636875,1.8623088769159604,-0.7904323259966197,-4.227811589522386
1907,Vonteego Cummings,1999,2,Perimeter Wings & Connectors,6.292492495246917,0,0,1,0,0,8.934624758688992,9.78123393711132,6.292492495246916,9.629293459448368,9.721478310954115,1.1683055381236416,-3.736300437964761,-1.6670890855538207,-4.1229399601820935,-0.3884551238893003
1908,Jumaine Jones,1999,2,Perimeter Wings & Connectors,7.23272624945636,0,0,1,0,0,11.21138001600193,7.468698623639016,7.23272624945636,10.697246982828553,7.746038542166141,1.1708966563587373,2.524495939347457,-2.8556017780713536,2.768555844948456,-3.741649970061125
1909,Scott Padgett,1999,1,Low-Usage Interior Bigs,4.59937012726616,0,1,0,0,0,10.627613804733084,4.599370127266159,5.220296639783804,7.744175885930368,7.286727813677814,-0.78994242938247,1.8220915902291157,-0.8937291280571447,1.9289667865827027,-1.6079498994721444
1910,Leon Smith,1999,3,Fringe / Low-Opportunity Players,5.965864876203839,0,0,0,1,0,13.76077699316043,6.947574255654545,8.79616663192781,5.96586487620384,10.881511617494517,-4.90835918899338,1.0964421604534502,1.779473065158402,1.1571854044656182,0.2143476261948849
1911,John Celestand,1999,3,Fringe / Low-Opportunity Players,4.638434774332937,0,0,0,1,0,12.132403562144427,8.55902389453764,6.661324744851342,4.638434774332936,10.888070490835053,-4.103469767971227,-3.3395130548281204,-0.6965243383692298,0.4245381579783791,1.75339874876975
1913,Michael Ruffin,1999,1,Low-Usage Interior Bigs,8.86581674794828,0,1,0,0,0,16.15775011983818,8.865816747948278,10.867749938461378,10.37935201638442,12.786299743949979,-4.948074557537264,3.662790385865914,-2.715970680070624,-3.6847784338417737,2.628001072701049
1914,Chris Herren,1999,2,Perimeter Wings & Connectors,7.8643517583024165,0,0,1,0,0,12.333841520426807,10.493039467561621,7.8643517583024165,8.442910502103004,11.962954898460632,-2.532743141454223,-3.9317734580795713,-3.336956058490456,-0.8832197287942773,1.5049553966102482
1915,Evan Eschmeyer,1999,1,Low-Usage Interior Bigs,6.4333998627002265,0,1,0,0,0,15.728627825549793,6.433399862700226,9.418245198593233,9.366505629583793,11.790393208360724,-5.169741707196427,4.682810314247581,-3.140873851754834,-3.308495708921985,0.4426222858422947
1916,Calvin Booth,1999,1,Low-Usage Interior Bigs,3.998593597556133,0,1,0,0,0,12.889663717025549,3.9985935975561326,7.100996199329807,6.815764295321222,9.044216935312674,-3.4908824468172552,3.0303520966789743,-0.4510661701212334,-1.103108932922934,-0.9709083405502428
1917,Wang Zhi-zhi,1999,1,Low-Usage Interior Bigs,9.880313937470946,0,1,0,0,0,13.623888991188888,9.880313937470946,10.241894447199995,10.748773375048355,11.550406020308412,-1.4255793367584786,0.802507060678362,2.2079504706388366,2.96650512117582,-4.629723984062932
1918,Obinna Ekezie,1999,3,Fringe / Low-Opportunity Players,6.00727254709714,0,0,0,1,0,13.482234797378727,6.635610034962907,9.00951490162359,6.0072725470971395,10.27816256813746,-4.398738063123854,1.713419446559708,3.453411918997198,-0.96375654770899,0.0807765876444176
1919,Laron Profit,1999,3,Fringe / Low-Opportunity Players,9.215180680278497,0,0,0,1,0,13.26612711851125,10.786773310126373,9.421807838095907,9.215180680278499,11.980277886616152,-2.5216254825886857,-2.346606865945925,-1.8633850509002003,4.060298947241025,1.2737848488155006
1920,A.J. Bramlett,1999,3,Fringe / Low-Opportunity Players,7.78178215750694,0,0,0,1,0,16.183883540311516,10.793090028410042,11.16620757427473,7.781782157506941,13.580358873323275,-6.7225447378072944,-1.1914241699563517,1.5142637911944012,0.2603926326678101,1.850494332892082
1921,Gordan Giricek,1999,2,Perimeter Wings & Connectors,4.613460606936284,0,0,1,0,0,6.783092542974902,7.216070967406344,4.613460606936284,9.40453503909729,4.777475027678105,3.0527324540045786,0.0226457941683157,-1.0236443358830585,0.0736898095063816,-0.4740127258375705
1924,Lee Nailon,1999,2,Perimeter Wings & Connectors,5.826847788212639,0,0,1,0,0,9.253745137811904,6.648312578548404,5.82684778821264,8.85410445915965,6.77919099960741,1.06859157569723,0.6883884912793402,0.2178206443823496,0.713004504130366,-0.0001357085504297
1926,Ryan Robertson,1999,3,Fringe / Low-Opportunity Players,8.611805760804398,0,0,0,1,0,13.076999089205383,10.114817663528344,8.765311717473137,8.611805760804396,11.13850979548348,-2.617599510164152,-1.5018249874938696,-1.041117711650707,-0.4550298934082703,2.586021474010539
1928,Todd MacCulloch,1999,1,Low-Usage Interior Bigs,3.570079181607609,0,1,0,0,0,11.14370447958791,3.570079181607609,6.916819760039142,8.649405020923963,5.972140736143563,-0.163985124242401,4.611535016733533,0.5525872023697836,0.4046881881322041,-1.5525226166703867
1930,Lari Ketner,1999,3,Fringe / Low-Opportunity Players,10.918518001861605,0,0,0,1,0,17.872499161600704,13.000167510447412,13.617186282178041,10.918518001861605,16.066530943516916,-7.011876662253404,-1.1822197735752442,1.2376485381006692,-2.1340110719638488,-0.7891419473701459
1934,Rodney Buford,1999,2,Perimeter Wings & Connectors,5.985982704467773,0,0,1,0,0,10.252147681627456,7.383503670141064,5.985982704467775,8.573206149128612,7.479990223037725,0.2727076116658902,0.1901993770866599,-1.6348611682065366,2.9397719289572266,-2.267150841175241
1937,Tim Young,1999,3,Fringe / Low-Opportunity Players,5.61678890804398,0,0,0,1,0,13.783846074504101,8.757396583440336,9.962928922189144,5.61678890804398,11.459363200581079,-4.971667145363593,-0.4883171996913234,4.6521666639197,0.2954775022292677,0.2520382289665505
1938,Manu Ginobili,1999,2,Perimeter Wings & Connectors,4.851587964652486,0,0,1,0,0,8.47271645618207,6.683199858510064,4.851587964652486,8.521724406864013,6.8159405573914364,1.154396752625242,-0.0025655442259187,-1.573942153992537,0.4173606923565681,0.0035537623824906
2030,Kenyon Martin,2000,4,Scoring Bigs / Two-Way Forwards,5.023634766029459,0,0,0,0,1,6.454214150687712,10.140390367674689,9.553993119976303,12.675725636564946,5.02363476602946,6.3387949361145735,1.573915962003373,2.656409364327826,-1.9161978596541644,1.925931080789385
2031,Stromile Swift,2000,4,Scoring Bigs / Two-Way Forwards,4.755569013598909,0,0,0,0,1,9.502259625282367,5.789447876871003,7.782314171988574,9.900174682247478,4.75556901359891,2.0430116419994526,4.085166906087273,2.2677799818812976,-1.3925673977706778,1.0892954421868326
2032,Darius Miles,2000,4,Scoring Bigs / Two-Way Forwards,4.844610732804132,0,0,0,0,1,7.522429921832649,7.184959384422159,6.830686180214254,10.449621987250678,4.844610732804132,3.4265511642768534,1.8478964403501268,-0.3270694490095554,-2.879092171401304,0.9701993677768764
2033,Marcus Fizer,2000,4,Scoring Bigs / Two-Way Forwards,6.603147438987184,0,0,0,0,1,8.46097573137072,8.3541598133112,8.079293672904646,9.926629247127108,6.603147438987183,2.547592193300831,0.3236976264297435,3.976376115143863,-2.783234735886714,-0.958124151468978
2034,Mike Miller,2000,0,High-Usage Primary Creators,4.688060129391517,1,0,0,0,0,4.688060129391517,9.557601380596738,6.465970649672779,11.570330621978362,5.225568256969959,5.7023267882654025,-0.9274524053265464,-0.959565728825949,-1.9802858437741897,0.4107241176701201
2035,DerMarr Johnson,2000,2,Perimeter Wings & Connectors,4.462070991571118,0,0,1,0,0,9.720794908342697,6.727771005908717,4.462070991571118,7.734606001683635,7.580277961438554,-0.1776326769237787,-0.4739228597183719,-1.4722469003054497,-2.2376689437241426,0.0041601086937639
2036,Chris Mihm,2000,1,Low-Usage Interior Bigs,4.601830264865806,0,1,0,0,0,11.024901364460009,4.601830264865806,7.140149513866278,8.74073790251108,6.442107925798099,-0.168693111606977,3.8588041585557726,1.2248766394069608,-2.666102567781467,-0.936564535683493
2037,Jamal Crawford,2000,0,High-Usage Primary Creators,6.135320456690755,1,0,0,0,0,6.135320456690754,11.373343230436058,7.603693490667152,12.307823273479285,8.219539000376056,5.496427442264671,-3.300640951372213,-2.110569579507571,3.1271560441660124,0.4704540619622377
2038,Joel Przybilla,2000,1,Low-Usage Interior Bigs,8.775350405187684,0,1,0,0,0,17.781511906638187,8.775350405187684,12.179463697166295,11.34691643774415,13.433842280900635,-6.071370847479766,6.513053928963882,-3.0173043876532,-0.9195407283460446,2.538247560075812
2039,Keyon Dooling,2000,2,Perimeter Wings & Connectors,4.069476629801308,0,0,1,0,0,8.752335070964993,7.922941809472759,4.069476629801308,7.824061533713477,8.800131898593389,0.0881892207606872,-2.9284248376498088,-2.60494810557739,-0.0130055331777501,-1.3854860602528842
2040,Jerome Moiso,2000,1,Low-Usage Interior Bigs,5.500663564371137,0,1,0,0,0,15.196660487656388,5.500663564371137,9.565382153583808,8.208222030942922,11.026121762172666,-5.126394008535176,4.637447464057971,0.2074788447918649,0.9358302035469528,-1.4281384593576611
2041,Etan Thomas,2000,1,Low-Usage Interior Bigs,4.139942126126409,0,1,0,0,0,12.05105318112823,4.139942126126409,8.007250349613306,9.26440172659622,6.985268365806425,-0.6090525019560104,5.473125845926702,0.5386148809514615,1.55426992768985,-0.7220501412149707
2042,Courtney Alexander,2000,2,Perimeter Wings & Connectors,5.0917729967045045,0,0,1,0,0,8.032385389524022,7.933085130540049,5.091772996704505,8.842399442856784,6.956971907067402,1.7793296957580855,-1.3332342280511713,-0.5048738111785446,-2.260383828105573,-1.9306254173783783
2043,Mateen Cleaves,2000,2,Perimeter Wings & Connectors,9.44415857473536,0,0,1,0,0,11.969364078031662,11.935384204302078,9.444158574735361,10.138997401044438,13.204480732664699,-1.3887787589309202,-5.9210913152508535,-0.8747258967232253,-1.9205206440409528,-1.943279983371872
2044,Jason Collier,2000,1,Low-Usage Interior Bigs,4.569567041353106,0,1,0,0,0,11.921417929096807,4.569567041353106,6.581666774422943,5.5843021245603826,7.768919689895907,-2.800977050286277,2.1722386642229647,0.9619343855450544,1.979655219552764,0.0707865457342508
2045,Hedo Turkoglu,2000,2,Perimeter Wings & Connectors,4.270507927138257,0,0,1,0,0,7.355856328882988,6.3508478463698514,4.270507927138258,9.098095634348695,4.789981380199777,2.45343746357582,0.7544313295822743,-1.8828541032305293,-0.2272231417704142,0.5647393405998515
2046,Desmond Mason,2000,4,Scoring Bigs / Two-Way Forwards,3.849974371407385,0,0,0,0,1,6.676579016500184,8.633935661979601,7.310716393938339,11.548959620569299,3.8499743714073844,5.16104779376644,1.7340045288855488,-0.6272690604556063,0.3127252393322816,1.8098013671191595
2047,Quentin Richardson,2000,4,Scoring Bigs / Two-Way Forwards,4.426936879639143,0,0,0,0,1,6.63242782853676,8.837271720121494,6.963744790538991,10.928307414540436,4.426936879639143,4.696833902692593,0.2716464005055257,0.5044198210622983,0.4028778840166783,-1.1542190508681502
2048,Jamaal Magloire,2000,4,Scoring Bigs / Two-Way Forwards,6.101913201368857,0,0,0,0,1,11.327222183446592,7.980886733171112,10.344940355657918,12.608341892625562,6.101913201368856,3.3618534515745564,6.5507464352696125,1.070590754519647,1.5026448541975148,0.6289639836791947
2049,Speedy Claxton,2000,2,Perimeter Wings & Connectors,5.317714129911837,0,0,1,0,0,6.96473017377769,8.376429477389728,5.3177141299118365,9.287318779850308,7.504664765514936,2.300518457753018,-2.086847646521921,-2.0499321793461185,0.8774469030238647,0.9909177670527222
2050,Morris Peterson,2000,4,Scoring Bigs / Two-Way Forwards,5.729054581643051,0,0,0,0,1,6.843127989234931,8.8677745449617,5.889024344290906,11.220103635382923,5.729054581643051,4.475474483705057,-0.1472339557939522,-2.554506997840877,-1.137282611349884,-1.489381013999492
2051,Donnell Harvey,2000,1,Low-Usage Interior Bigs,4.256960353255407,0,1,0,0,0,11.84432671600157,4.256960353255407,7.0152195660269,8.534937447656974,7.709337461191207,-1.2162570456633848,3.69725433299636,-0.4710213851984255,0.094972551792088,-2.0013771666162503
2052,DeShawn Stevenson,2000,2,Perimeter Wings & Connectors,5.399614544977045,0,0,1,0,0,9.346883762191883,7.555924413030811,5.399614544977045,8.77926031858074,7.543494322532451,0.8027160352119295,-0.5815785196416983,-2.3400373621141948,2.426372585756165,-0.953673470584675
2053,Dalibor Bagaric,2000,3,Fringe / Low-Opportunity Players,6.32883503792537,0,0,0,1,0,14.350115384223251,7.508012009030333,9.2854573615328,6.328835037925371,11.348995744670734,-5.423544674422046,0.93604045208131,1.4788366333954075,-1.0405847623794442,2.0644482137543085
2054,Jake Tsakalidis,2000,1,Low-Usage Interior Bigs,3.539771560293207,0,1,0,0,0,12.373439222897662,3.5397715602932074,7.084514759591825,8.046277992136687,7.8069795974589,-2.0330304699117265,4.369648298754966,-0.5225384724013631,-2.782514240667479,0.4479357318819236
2055,Mamadou N'diaye,2000,1,Low-Usage Interior Bigs,8.089012170161244,0,1,0,0,0,15.976209139594427,8.089012170161244,11.165442977178438,10.69798418567977,12.028998259553878,-4.017043994862206,5.2891940527603545,0.6657218980952855,2.506207407848738,-3.3200355763714176
2056,Primoz Brezec,2000,3,Fringe / Low-Opportunity Players,7.460184866344127,0,0,0,1,0,15.451823713454756,8.915923829643502,10.916060370013147,7.460184866344127,12.739635810649952,-6.118494612172768,1.0432051898153576,3.3597497561615075,-0.205907170547097,2.161401682793371
2057,Erick Barkley,2000,3,Fringe / Low-Opportunity Players,11.783179713371947,0,0,0,1,0,16.21697025618809,14.543029367495516,12.885130580877405,11.783179713371945,16.14631283781292,-4.230491277002573,-5.753090729253214,-0.8978764454426771,0.4002452469325039,-5.706736875090396
2058,Mark Madsen,2000,1,Low-Usage Interior Bigs,4.875705370579797,0,1,0,0,0,13.756981348596812,4.875705370579797,7.606110535447727,8.515342572655001,9.780353773506507,-3.417893729066519,4.172434103094069,-3.330660817484902,-0.8947935331951583,1.0130518719696415
2059,Eduardo Najera,2000,1,Low-Usage Interior Bigs,4.127566676203297,0,1,0,0,0,12.090991216141735,4.127566676203297,6.329768121030309,8.430763198657633,8.01446522660038,-1.632607249472282,3.8267218985256464,-2.702567373106602,-0.9968018320292866,0.1841289701788085
2060,Marko Jaric,2000,2,Perimeter Wings & Connectors,7.416853612342008,0,0,1,0,0,9.275852280377887,9.86868150837881,7.416853612342008,11.184672447569286,8.773233572604125,2.625683068582016,-1.2333107484442545,-3.968532121266224,2.672170258663591,-1.2443652957899318
2061,Dan Langhi,2000,3,Fringe / Low-Opportunity Players,5.5521570067002575,0,0,0,1,0,13.170593662275783,6.770429536412651,6.655217801475426,5.5521570067002575,10.635795987366281,-4.61945874376442,-0.5144218045804975,-0.685494648193342,-0.6653268498254776,-1.1818133175804646
2062,A.J. Guyton,2000,2,Perimeter Wings & Connectors,12.3516051641805,0,0,1,0,0,14.89053988193284,14.82389070912859,12.3516051641805,13.225565567840839,15.570162177957135,-1.4675317084317685,-5.942690712193919,-1.9196398629130955,-4.320409688873652,1.565486394865614
2063,Jake Voskuhl,2000,1,Low-Usage Interior Bigs,4.282813652722472,0,1,0,0,0,12.842987934268173,4.282813652722472,7.608664601606288,9.31424048165851,8.16605861335967,-1.5311272486494345,5.428487665426783,-2.116672761549571,1.545095698632824,-0.091186991193479
2064,Khalid El-Amin,2000,2,Perimeter Wings & Connectors,4.575449161580178,0,0,1,0,0,8.710152273350863,8.099041913393323,4.575449161580178,6.89570810026611,8.352176050700425,-0.1865852933482541,-3.14355919707985,-1.2489416372339732,-0.7459468201151976,0.5951484160106079
2065,Mike Smith,2000,3,Fringe / Low-Opportunity Players,3.3921196753853415,0,0,0,1,0,11.844300772594913,7.332359842647477,6.4768111614085635,3.3921196753853415,9.876778903243272,-4.01955204160703,-2.0089847403755483,0.7782664753721522,0.1567769295663447,1.163899376826855
2066,Soumaila Samake,2000,3,Fringe / Low-Opportunity Players,5.7952962956603375,0,0,0,1,0,15.275397059363803,7.4901106679131395,9.756756117303985,5.795296295660338,11.92590011193995,-6.695217869657151,1.637508965053435,1.5685598239208127,0.0422578346730245,3.235284928119187
2067,Eddie House,2000,2,Perimeter Wings & Connectors,4.7803538655543925,0,0,1,0,0,8.121608180459248,8.885675136668969,4.780353865554393,8.490491842004243,8.455270405910248,1.1379065152904662,-3.651018958225929,-1.5804195225757935,-0.0204318748421764,-2.490956948774073
2068,Lavor Postell,2000,3,Fringe / Low-Opportunity Players,6.0935898119653755,0,0,0,1,0,12.690398571604435,9.939073606094274,9.188230317631595,6.093589811965375,11.48005322334241,-3.715539642490556,-3.2784006771196403,4.337353056252916,0.6890341883358907,-1.3534664287373224
2069,Hanno Mottola,2000,1,Low-Usage Interior Bigs,6.148599995780999,0,1,0,0,0,11.096533412440268,6.148599995780999,6.537040950878709,7.383207836706927,7.706283871607408,-1.2540974702359022,1.4219355042233277,-0.4038064505477448,-0.5614104022812866,0.42645435338089
2071,Olumide Oyedeji,2000,1,Low-Usage Interior Bigs,7.024106482389697,0,1,0,0,0,16.23912527776665,7.024106482389697,10.422878675575586,7.573443169591532,12.149727796301907,-6.755953517172467,4.025986697431091,0.4163793835304817,-0.6507710882793073,1.578079496571356
