kmeans_cluster_k5,cluster_archetype_k5,mean_min,pts_per36_4yr,reb_per36_4yr,ast_per36_4yr,blk_per36_4yr,ts_pct_4yr,fg3a_rate_4yr,ftr_4yr,usage_proxy_per36_4yr,mpg_slope,pts_per36_slope,recent_minutes_share,late_vs_early_minutes_ratio
0,High-Usage Primary Creators,1.4354526049300211,1.1595418839508993,-0.7429418265540099,1.4767360495315522,-0.5951209769100301,0.3215954092026908,0.2660495103743744,-0.05183770543340697,1.137939017854075,0.11197087860013387,0.25024554801117205,0.3103057271145086,-0.06362833299236567
1,Low-Usage Interior Bigs,-0.28093612707945226,-0.34953499513427794,0.9927754896800964,-0.6636704654346474,0.8829343900490986,0.3650483560563173,-0.8393655336782246,0.399964671613511,-0.6125416014204297,-0.004341306804561615,-0.14891291275390744,0.40129957692524615,0.4770564490945661
2,Perimeter Wings & Connectors,0.04111929439309608,-0.13914238765461617,-0.6638413077494384,0.2924686902968702,-0.5048406864100429,0.04709074404475485,0.6635956299389538,-0.4110288191439309,-0.2133564553258649,-0.15523628002725645,-0.08257203234529002,0.18694240657291133,0.05542644147674849
3,Fringe / Low-Opportunity Players,-1.1716528077435877,-0.5976550235529275,-0.099081671714684,-0.27569984083266025,-0.021686847610821475,-0.8137285457802182,-0.02213309055833517,0.06241726750391874,-0.09728829182923535,-0.28681990821883685,-0.08544303576287522,-0.9601817872612719,-0.3803538154943458
4,Scoring Bigs / Two-Way Forwards,1.0368227405832549,0.7253123512342258,0.6260685606548658,-0.3064301282386197,0.2803241074035674,0.5201970780936054,-0.30358370945061786,0.1716739113414469,0.40240133129737443,0.4349586785130302,0.19752629082292478,0.485421993191569,0.0004575468849168856
