Player_ID,COHORT_PLAYER_NAME,DRAFT_YEAR,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24
1882,Elton Brand,1999,7.041009489109097,3.1618476725754343,4.468879319140746,-3.2460425657929837,-0.7497326213155758,1.6454213525293253,-2.4947833818358416,1.1213867687553625,1.9653415920322825,-1.3518076459663966,0.12173704697661339,1.3874575919639076,0.5320736590589948,-0.12815358989439563,-0.6110522421913616,0.22071986172916963,-0.2403125964595586,0.0884278512939888,-1.3135266295585915,0.8580464109075784,-0.03459978889339268,0.7365160722644413,0.5091858276080993,-0.007512511370991186
1883,Steve Francis,1999,9.298675681574974,-2.7907292568789046,2.2891311932500624,-1.8293935424361556,0.09410781573420712,2.788764464247802,-0.44753854661759845,0.9403607736961275,0.7550047856074346,-0.7611361962896955,0.2887478063195061,0.9316931765598173,0.3509192803122277,1.0417085870873297,-0.6910855114823414,0.03457883061983017,0.04485001319651424,-0.5679304175958121,0.16479889010928211,-0.41444558356325345,-0.04530632929247835,-0.33879159015535776,0.11828477632916988,0.30153603048937616
1884,Baron Davis,1999,7.805366267696569,-3.4812319546207284,-2.423642953395084,1.3319242610824185,2.2054855629149905,3.351882861759816,-1.3297180184461301,-1.048016654486084,-0.9379260660866896,0.17071054801356259,-1.0790060586669543,-0.5584840907976762,0.6361961929714359,0.5024573465984151,-1.3123378978370566,-0.1631071113044867,0.26663274103014906,-0.2054084105004942,1.8929738434108276,0.25828239601499753,0.037878126421827,0.8738889509334908,0.041206454314826176,-0.28069396703963234
1885,Lamar Odom,1999,6.187147465649334,-1.0991609359621437,1.5983044926858436,-3.522877960324357,-0.19435288334944933,2.0079938927213146,-1.1806308436336324,-0.3352567670164985,0.6466513289678268,-0.8746637091046096,-1.1188889061770104,0.45807076013687803,1.8375548497753735,0.7981692547084869,-0.6567106942119056,0.4119015625766149,-0.8342291607646519,-0.3870263863182469,-0.4886898916046633,1.6736191330526722,-0.8214497342695282,0.07167910024083775,0.815832143041889,1.2044103843830392
1886,Jonathan Bender,1999,-0.7996360937935106,0.9340128526393396,-0.7577143310550325,1.7209721228660932,-4.487654235228374,-0.29707190445672116,-1.01956913001345,-1.152310572955558,0.6007662828601427,-0.03614239055172459,1.5920408328654905,1.0289638224203865,0.943951763695943,-0.8791577331935787,0.854564286719921,-0.1786396665357489,-0.1528784126903563,0.8476075648258082,0.09565988912713637,-0.4824809633044374,0.38460759977272563,1.168720835749593,0.23223268272485692,1.0161551091748788
1887,Wally Szczerbiak,1999,7.112746723511797,-0.030901584628153775,-0.5505132522095786,-0.7942812274000417,1.565616464790888,-0.961092444593282,-0.2686778671273048,2.1405007416823367,-0.6374478948840029,-0.8423856607966025,-0.05785682065694948,0.3051158211719109,1.1331287598163386,0.6521834723958206,-0.5733020961536824,-0.19719963213724945,-0.10425091573368096,-0.6373830676583038,0.9306854667219104,-0.5297830973804201,0.5661746657702121,0.18186212012181224,0.3491849385386191,0.17428763895021512
1888,Richard Hamilton,1999,8.07218243953022,-2.1082300375341925,2.8212964670183194,1.0391516146094277,-0.9476066943445947,-1.3217960221872795,-2.118795388859141,-0.994179262228194,-0.6054394938613761,0.6422127705407563,1.9563034937817303,0.3831249172278638,-0.2721332122454896,0.5543154540691057,0.3477707602572979,0.35440353528880786,-0.1843303894502831,0.1364666303799323,0.0360230738416369,-0.5871679096511261,0.21052212044336574,1.151052331907363,0.2391001368171463,-0.19208999469904264
1889,Andre Miller,1999,8.533465859423794,-3.6904186541607804,-1.3542352178053085,-0.5900307700144704,0.32684467544032253,5.514792657978911,-1.0366527711001543,0.40752290565600013,-0.05664513407394305,-0.7063161728095211,0.24205969459111992,-0.989933067568994,-0.6748796752636921,-0.10658381737429669,-1.389779665331943,0.8696877914917667,-0.3556015419752985,0.4088758742479387,-1.0433228225340638,0.062218890749180626,0.9091175045244138,0.7593390714426974,0.8360878815772863,0.02089343677718408
1890,Shawn Marion,1999,7.3192415553823595,2.4682798338363816,1.4332360437891318,0.7488073255627509,-0.007392906801393383,-0.5480570866894471,-2.7267646222379085,0.395685568763105,-0.32796140275253055,-1.0321251964721982,-1.7853740150302715,-0.2941911875910475,-0.18767336275180008,0.4662970092218713,0.03782164030374853,0.5434058479989368,0.9282177606797035,-0.9324972411828651,1.1708124619733133,0.4697691379383486,0.4229019503700429,-0.999661213317077,-1.0329857042441444,-0.0724754043356436
1891,Jason Terry,1999,9.162446249760379,-3.5041285333060195,-1.1478372325240371,0.719886614626088,0.8313648108084261,1.346437976539107,-1.4420642900059653,0.3376801044148755,-0.041842224806460555,0.20424095631167913,0.6020808313000634,-0.4212685317967919,-0.3843397882084501,-0.8023635020618918,-1.1117634578268705,0.9926743946915193,-0.2868813885986305,0.1416771135625343,-0.4285628328219316,0.5530363104488808,0.2724870871118377,0.5271538664854026,0.357122463866302,0.24027745074884596
