row_id,weighted_mse_total,attempt_mse,attempt_mass_in,attempt_mass_recon,attempt_corr,made_mse,made_mass_in,made_mass_recon,made_corr,rate_mse,rate_mass_in,rate_mass_recon,rate_corr
158,0.00086820317665115,3.284957347204909e-05,1.0,0.9999998211860657,0.21109215429918668,7.590923360112356e-06,0.38631176948547363,0.41539105772972107,0.23042207503420414,0.002483287826180458,162.12289428710938,156.15316772460938,0.9639559846499707
2491,0.0010069612180814147,7.016249583102763e-05,1.0,0.9999999403953552,0.14639912860158752,1.1768351214413997e-05,0.1875,0.3091740012168884,0.26765053209175865,0.0027750912122428417,50.569583892822266,51.16987228393555,0.9425914301128365
536,0.0010473263682797551,0.0001655169326113537,1.0,1.0,0.2243838045649196,3.202449079253711e-05,0.26153847575187683,0.29104262590408325,0.25699396870233643,0.0025493549183011055,33.803993225097656,35.045753479003906,0.9236268466922577
2364,0.0010836850851774216,2.3157879695645534e-05,1.0,0.9999998807907104,0.30640656307619984,9.852554285316728e-06,0.46725237369537354,0.4384313225746155,0.3063254375308372,0.0031520240008831024,178.45404052734375,166.69894409179688,0.9668674127978122
1422,0.0010938229970633984,1.1896040632564109e-05,1.0,0.9999998807907104,0.3392410895901979,4.367693236417836e-06,0.48049476742744446,0.46598851680755615,0.33502537868759324,0.0032326779328286648,199.5296173095703,189.31520080566406,0.9679870013033048
2015,0.0011621592566370964,0.00015102936595212668,1.0,1.0000001192092896,0.3077474252388909,6.777181988582015e-05,0.4852941334247589,0.36214137077331543,0.35859939877514607,0.0028300744015723467,48.01011657714844,49.86250305175781,0.9542515968231202
2175,0.0011723415227606893,5.867212530574761e-05,1.0,0.9999999403953552,0.2763248007975481,2.2050200641388074e-05,0.47200876474380493,0.4028960168361664,0.3181409416349562,0.0032748577650636435,152.5367889404297,145.18487548828125,0.9532740196007087
2971,0.0012314232299104333,1.988767326110974e-05,1.0,0.9999998807907104,0.32531090175762456,4.8016777327575255e-06,0.37315633893013,0.37880468368530273,0.3515308502264242,0.0036202019546180964,150.82778930664062,146.37252807617188,0.9356952803130272
662,0.0012903250753879547,5.869835149496794e-05,1.0,0.9999999403953552,0.1838546146429545,1.553413676447235e-05,0.447418749332428,0.44791632890701294,0.1988896973552458,0.0036482776049524546,176.4704132080078,166.99452209472656,0.9584712080804487
957,0.0013316023396328092,6.016203042236157e-05,1.0,1.0000001192092896,0.18692384121151318,2.06725799216656e-05,0.4325437843799591,0.4263971149921417,0.20171628189439414,0.003752303309738636,173.33160400390625,166.97201538085938,0.9506183174948127
1696,0.0013338056160137057,0.00026478583458811045,1.0,1.0,0.2419028638996242,0.00020852430316153914,0.6428571343421936,0.40556800365448,0.2651276270602032,0.0025814862456172705,45.85481262207031,50.47948455810547,0.9732575434808912
2267,0.001376420259475708,3.7075482396176085e-05,1.0,0.9999998807907104,0.2760766541670814,1.9133627574774437e-05,0.4590417146682739,0.40758827328681946,0.2887456196014222,0.003960633650422096,161.18934631347656,155.826416015625,0.9426045882634121
