PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,seasons_with_embeddings,total_shot_attempts_covered,avg_shot_attempts_per_embedded_season,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24,player_embedding_aggregation
1882,Elton Brand,1999,4.0,4431.0,1107.75,11.240183761173112,8.714900589075349,-9.647349194462318,12.34183937710689,5.524886495667261,-1.994949565168375,8.972342148507268,-9.488823989690816,5.418617073931616,-1.722062677057568,-10.064635255486882,1.1296510919440925,1.4891359832426194,-15.27103064469682,-2.0887691561133512,-6.84532307825194,-3.5910391059639597,7.67566480057634,5.246886038667218,-3.09402764669473,-9.89296858694343,13.514660862169587,-1.890752194455611,7.455463871517883,shot_weighted_mean
1883,Steve Francis,1999,4.0,4639.0,1159.75,9.709231695807116,6.298809944953762,-6.846660410286306,8.916697372622366,2.1323739094938743,6.775444226291679,3.6386568946143525,-6.123176143096937,6.331163415828638,4.68334261942948,-8.816948042884164,3.6742676360824547,11.959632011137279,-14.634427627116139,-2.8710563194137575,-9.567138640010478,-5.441100807481861,5.931091885649971,2.916794506710494,-1.1545606078863093,2.5286323108866338,6.310440585592179,-0.1823326769150596,-3.2399473760785353,shot_weighted_mean
1884,Baron Davis,1999,4.0,3517.0,879.25,6.840384240241291,7.310209212331634,-5.596165857431663,7.575284377871706,4.169642662100403,1.272384335549338,-0.3572202977857571,-7.359228253466249,4.764454238822184,3.1335742521394474,-5.78462225407201,1.828705711394574,7.385486814560184,-13.239961224996064,-2.2524587990107574,-5.09516224903175,-4.5328782637213525,3.971030890280664,1.5624639681533279,-1.284315949039497,-0.12411289456421454,7.686495042572585,0.16484154168943266,0.7484636338624149,shot_weighted_mean
1885,Lamar Odom,1999,4.0,3037.0,759.25,12.144484708997659,5.797440393684646,-5.8523271433177415,7.8578714346234095,2.1330858157345993,-1.8457293268642734,1.0622935067441537,-8.592689413988241,7.973053195816457,1.6019331488536304,-4.319533688204831,3.591593960142465,8.331413690926881,-15.35620608752128,-5.416499399926892,-8.20705699135608,-3.2001133235928885,1.6238128660068254,1.42932404967802,-2.607660821601282,2.327095420257724,7.6830004972182175,0.5099373997768997,-1.6925685225955585,shot_weighted_mean
1886,Jonathan Bender,1999,4.0,969.0,242.25,14.367777536035938,6.512441038716319,-9.449144252190527,9.028505910906876,2.209800837455765,1.16770544485165,8.399948913369508,-7.786942096194493,4.540287697401332,2.9907456795128504,-4.021273653819711,4.711254592281377,8.787013713543383,-16.641728998583783,-3.860525372104625,-8.50091542203606,-1.0707583683317046,0.23490944710801384,2.91885977214581,-4.130292689222054,-4.274087535830597,9.192371621343497,1.8686103903226192,-1.477895503934815,shot_weighted_mean
1887,Wally Szczerbiak,1999,4.0,3516.0,879.0,11.030565719691289,7.9311334708444905,-6.945029490230026,9.471573338438084,2.9488818145042393,2.159857055500777,5.265480642229217,-8.433322575447638,7.607121016859873,2.8177230460770573,-6.843029749135787,3.5225523795012865,7.721414816393109,-16.405007892636853,-4.1097170806175205,-4.8252120837145425,-2.719564984818503,4.6308339950167685,-2.9040896393807945,-0.9214521343051641,0.38012719100110226,8.598637320618309,2.2327657729828045,-5.845680909080852,shot_weighted_mean
1888,Richard Hamilton,1999,4.0,4223.0,1055.75,6.566769682793659,7.690867494921421,-7.1496487027402456,10.679232799016043,4.628814292129058,1.2708004683983036,5.066544031210485,-8.57653437523432,6.7753359785357725,0.9853488023307068,-11.980853948608948,2.0177260884001105,6.65515702622721,-11.730674794689614,-2.472023761585768,-5.209551633321756,-8.58412760455208,9.01792721202976,2.177599648291145,-0.7569791666286522,0.3300698829323879,10.789897636189552,-3.7837940061258926,-0.18824358543117775,shot_weighted_mean
1889,Andre Miller,1999,4.0,3699.0,924.75,3.8279723066612013,4.588422193087962,-10.691737371961889,11.467620897305983,0.1562004458681897,5.244989762292678,3.353911816219795,-8.109848207962065,2.310132934648174,1.1504245020789563,-12.331324104232767,-0.36791254159855696,7.960918670410916,-13.309972689325148,-2.8286053973553984,-5.848694123136382,-5.3810371361284135,8.57573544846963,4.894792844166979,-1.4188128149357961,-1.5403954156446082,10.126585766636833,-1.6343694069669774,2.619798723766371,shot_weighted_mean
1890,Shawn Marion,1999,4.0,4485.0,1121.25,7.8828637665330765,8.453590851085242,-8.256374248347289,10.808542442321777,4.285829946003364,2.4439798985835304,9.979726627864434,-9.153830134244002,4.9615161403498655,0.32652765519775806,-12.923936611247834,2.0559424569109743,4.990639767811583,-13.135994346431533,-0.5717802765111594,-5.766832908898293,-7.010195415394761,9.896938596999766,3.440060779163271,-1.8938757840872076,-4.22912587694234,10.121475317539312,-2.254985428414616,3.7128507178762686,shot_weighted_mean
1891,Jason Terry,1999,4.0,4324.0,1081.0,2.5978557470768937,4.499195220595041,-5.915032534440505,9.029514582701903,2.3025337067276763,7.300014178252242,1.112599241524025,-5.14836347875057,5.372391832470343,3.880591472826216,-8.991288111454685,1.3269177323326151,8.977670647500291,-11.539594772896427,0.5665150361409571,-6.3172711951108464,-1.4690807983899536,6.645779161184172,-0.9042055940980938,3.0214624344254952,1.329727939716872,3.8166276499918497,-1.5836384477271293,-3.0727195640496916,shot_weighted_mean
1892,Trajan Langdon,1999,3.0,528.0,176.0,9.735118688959064,10.372561806982214,-5.253878272844084,16.080708920955658,7.469248921582193,1.7842119230013904,6.949162009990577,-4.124697874441291,9.025599503155911,0.3410870511875008,-6.666884695038651,-0.7848714048212225,12.893738454038447,-15.118416264201656,-2.9798558798025954,-5.409325030716983,-4.6764769581231205,7.257227336818522,4.172772309093764,0.24175783224178082,0.25283341403260373,9.56495887041092,2.463235359751817,-0.020072588866407223,shot_weighted_mean
