PLAYER_ID,PLAYER_NAME,season_num,season_string,DRAFT_YEAR,games_with_shots,shot_attempts,shot_makes,fg_pct,split,shot_emb_1,shot_emb_2,shot_emb_3,shot_emb_4,shot_emb_5,shot_emb_6,shot_emb_7,shot_emb_8,shot_emb_9,shot_emb_10,shot_emb_11,shot_emb_12,shot_emb_13,shot_emb_14,shot_emb_15,shot_emb_16,shot_emb_17,shot_emb_18,shot_emb_19,shot_emb_20,shot_emb_21,shot_emb_22,shot_emb_23,shot_emb_24
1886,Jonathan Bender,1,1999-00,1999,22,70,23,0.3285714285714285,train,21.246067,6.85374,-12.792814,14.805731,5.5793056,-13.284541,5.980679,1.4147677,8.473932,-3.6708436,-4.556267,3.1869063,4.045599,-15.189079,-10.540767,-9.784331,-0.76814604,1.7293108,6.792309,-1.2072875,-15.618534,20.166828,1.3293704,0.5391278
1886,Jonathan Bender,2,2000-01,1999,47,185,66,0.3567567567567568,train,11.743816,5.441037,-8.963693,7.9563265,-1.0016125,3.803938,8.8740015,-5.5112343,4.9571366,8.524882,-9.948723,6.875842,3.5103333,-14.52504,-3.5427825,-9.17325,-5.696722,3.268244,5.8906612,-5.145052,-8.119713,7.552701,1.0606385,-0.08538675
1886,Jonathan Bender,3,2001-02,1999,78,460,198,0.4304347826086956,train,14.988731,7.069462,-9.092102,8.658449,1.3015664,4.247032,11.581341,-8.071295,2.8167768,2.5018082,-3.3788123,4.1962113,11.538838,-19.189487,-2.4818242,-9.604178,-0.23812962,-4.871443,3.599382,-2.9191449,-3.3396218,5.318656,5.8186936,-0.7068019
1886,Jonathan Bender,4,2002-03,1999,44,254,112,0.4409448818897638,train,13.258777,6.1899576,-9.527849,8.887457,5.265053,-2.346216,2.9598265,-11.465381,6.273921,1.6813253,-0.72011065,4.4875364,8.953335,-13.969698,-4.7478013,-5.65949,0.70723844,6.8614726,-1.545569,-6.3901663,-0.039057255,14.377554,-4.547991,-4.4444656
1887,Wally Szczerbiak,1,1999-00,1999,73,669,342,0.5112107623318386,validation,13.252781,6.0980496,-11.531225,9.114908,3.7569103,3.4543004,5.9290004,-9.529277,3.6825707,2.3771744,-5.916622,2.9302945,12.899704,-21.44228,-6.486518,-4.5728197,0.2381835,3.1324356,-5.8662863,1.6201512,-2.823131,7.1031275,4.4236836,-5.555438
1887,Wally Szczerbiak,2,2000-01,1999,82,919,469,0.5103373231773667,validation,8.944229,8.208138,-7.2441754,8.01237,1.2662253,2.5097096,3.1489613,-10.106297,8.147577,0.4223999,-8.776706,6.25177,2.8173904,-13.647514,-1.7381272,-5.849258,-6.0998397,11.886429,-0.7968496,0.39510942,2.261262,10.348648,-3.2974298,-6.244271
1887,Wally Szczerbiak,3,2001-02,1999,82,1199,609,0.5079232693911593,validation,11.162009,8.346884,-6.943914,10.006239,3.8135328,3.3786614,5.242667,-8.575101,7.5701675,4.287621,-4.842864,1.5518141,5.022702,-17.176321,-4.5494113,-3.441156,-0.7006841,2.723756,-2.512671,0.1062808,-2.3146148,8.621218,4.481845,-3.05863
1887,Wally Szczerbiak,4,2002-03,1999,52,729,351,0.4814814814814814,validation,11.405162,8.580353,-2.3610206,10.759026,2.9064589,-1.4736731,7.362243,-5.085382,10.588125,3.8240623,-8.545248,3.8668387,13.590111,-13.989915,-4.195064,-6.0422707,-4.4930897,-0.0041134357,-3.485921,-6.6039,5.380419,7.7278037,3.4946036,-10.193476
1888,Richard Hamilton,1,1999-00,1999,70,605,254,0.4198347107438016,train,8.984555,11.208341,-4.3414216,7.6695604,2.500327,-4.082713,-0.5162616,-10.073122,13.072585,4.1660175,-11.040632,7.347362,7.0369377,-8.218414,-3.8574996,-6.2605805,-11.492169,12.911076,-1.2219009,-2.428104,6.1683974,9.9909725,-6.351653,-9.054902
1888,Richard Hamilton,2,2000-01,1999,78,1249,547,0.4379503602882306,train,6.1503754,7.577655,-6.0084376,12.276629,6.3957887,1.3723725,3.4602218,-7.9988494,7.910164,-0.33757606,-14.904785,0.13088763,8.17678,-8.261629,-0.27123737,-3.1647508,-10.240377,9.530036,2.8175898,0.45036036,0.57205606,10.969717,-5.790736,0.6850629
1888,Richard Hamilton,3,2001-02,1999,63,1083,472,0.4358264081255771,train,5.3631744,8.105406,-6.186282,12.249699,7.047776,1.6947528,9.293028,-8.80667,7.806634,1.3774747,-8.475323,1.1732235,6.7177935,-13.617651,-1.3070521,-3.0506945,-9.365917,8.692419,1.9375145,0.5310115,-0.41055846,11.887652,-2.7761178,3.791015
1888,Richard Hamilton,4,2002-03,1999,82,1286,570,0.4432348367029549,train,6.8473372,5.796922,-10.390454,9.221137,1.8769076,3.3336868,5.6937695,-8.239719,1.8421078,0.44363517,-12.535546,2.0541396,4.9449553,-15.163148,-4.9387684,-8.519136,-4.949058,6.9631424,3.3575082,-2.228076,-2.0278838,10.066637,-1.4751531,-0.21621275
1889,Andre Miller,1,1999-00,1999,82,754,339,0.4496021220159151,train,5.9362955,5.712186,-13.480817,14.929401,0.992641,1.377064,3.7604103,-8.120388,4.542594,0.57213366,-8.380602,0.21148416,8.606165,-17.322887,-3.2226193,-6.1823697,-2.7173522,9.060366,6.660697,-3.0588686,-2.7543674,13.108824,2.1760397,5.208508
1889,Andre Miller,2,2000-01,1999,82,987,451,0.4569402228976697,train,2.5957952,5.0895205,-9.131862,12.7071495,1.629986,0.76060456,7.896705,-8.291496,5.490593,-0.6236939,-13.442858,0.15723652,8.532442,-13.163061,-3.8291929,-3.0500093,-10.953228,8.728054,3.772905,-4.571753,-3.0859547,13.935179,-2.4018455,3.5402403
1889,Andre Miller,3,2001-02,1999,81,1037,474,0.4570877531340405,train,1.1296563,0.454464,-11.213154,7.778556,-3.8365698,14.515074,-6.34199,-7.6532493,-3.2815998,4.5246596,-13.611492,-3.3719387,6.762764,-11.511547,-2.500338,-6.8368826,0.9735408,9.140398,5.249066,5.0354986,1.7876401,4.8829036,-2.7005382,-1.0851076
1889,Andre Miller,4,2002-03,1999,80,921,377,0.4093376764386536,train,6.4605856,7.7860475,-9.492956,11.458895,2.3876882,2.7796555,9.069887,-8.420662,3.3701081,-0.27410936,-12.93309,1.9773512,8.169254,-12.207075,-1.8033577,-7.4621134,-8.745167,7.379965,4.2524805,-3.964488,-2.6374323,9.507704,-2.7309303,3.6856241
1890,Shawn Marion,1,1999-00,1999,51,471,222,0.4713375796178344,train,5.162706,7.229891,-9.1391325,9.745087,6.793281,-1.333696,9.953989,-11.341625,3.246968,-1.0006905,-16.762556,0.9233761,1.8593566,-13.686522,-1.8158908,-6.6185884,-8.377824,10.163953,7.062196,-0.79218173,-9.2407875,11.740452,-3.4989948,10.287236
