epoch,train_loss,val_loss
1,0.04092012553627374,0.031075512660961403
2,0.02278661787747855,0.015624552082858588
3,0.015552818732176345,0.014267896862798616
4,0.014771676361460487,0.01380860088687194
5,0.014400781536128669,0.013429445016540979
6,0.01392546427379197,0.012767505555560714
7,0.012988206100187517,0.01165488480149131
8,0.011740259385426579,0.010542492431245352
9,0.010715321969511808,0.009871394787179796
10,0.010010273140977327,0.009301537324331309
11,0.009484072826822797,0.008915236098201652
12,0.009099495138868362,0.008565261830624782
13,0.008792088506080386,0.008264198401256612
14,0.008530573530617862,0.00803612473175714
15,0.008295118556475814,0.007820020106277968
16,0.008053453930479121,0.0075525323066272234
17,0.007762824271910578,0.007256502593426328
18,0.007379417123847074,0.006853071412953891
19,0.006839711215309785,0.0062802232399975
20,0.006292464651264861,0.005842810928037292
21,0.0058634683415265025,0.005475142545213825
22,0.005521054308153417,0.005216326733168803
23,0.005268809066317824,0.00504728845173591
24,0.005098601076114104,0.004882524695835616
25,0.004938792081484546,0.004709033696471077
26,0.004811993470252787,0.004629766990087534
27,0.004678334434677622,0.004508132416951029
28,0.004571295057205901,0.004410676974803209
29,0.004478912129919373,0.0043255164170343625
30,0.004387103612941416,0.004277471594120326
