PLAYER_ID,PLAYER_NAME,expected_score,realized_score,delta_score,PTS_5to7_avg,MIN_5to7_avg,REB_5to7_avg,AST_5to7_avg,PCA1,PCA2,PCA3,pca_cluster,pca_label,TSNE1,TSNE2,TSNE3,tsne_cluster,tsne_label
15,Eric Piatkowski,479.475,119.26666666666665,-360.20833333333337,194.66666666666666,589.8294444333334,58.333333333333336,30.0,-3.217278331491755,-1.0354634368523983,0.03704394564833812,1,Bust,-10.154945,4.793178,-2.982543,1,Bust
56,Gary Payton,1474.1750000000002,759.7666666666668,-714.4083333333334,899.3333333333334,2563.8472223333333,270.3333333333333,391.6666666666667,1.3716540938742954,-4.459198012514923,0.057377797559386524,0,Sleeper,6.2577066,2.1795454,-5.1496835,0,Sleeper
87,Dikembe Mutombo,743.5749999999999,330.3333333333333,-413.2416666666666,284.6666666666667,1224.792778,389.6666666666667,13.0,-1.75329958269881,-1.3779872365796555,1.5480176544814384,1,Bust,-4.619412,5.26845,0.0018983668,1,Bust
89,Nick Van Exel,894.3000000000001,316.3333333333333,-577.9666666666667,477.0,1287.0894444333333,118.66666666666667,185.33333333333334,-1.5903303627973993,-2.680995614757778,-0.029178714514235465,1,Bust,-6.5695105,5.725206,1.4900532,1,Bust
109,Robert Horry,497.25,348.6333333333334,-148.61666666666662,388.0,1293.4555556666667,260.6666666666667,86.66666666666667,-1.5982157002910542,-0.3903867936334128,0.3555565980677814,1,Bust,-4.8712525,1.4410863,1.9557624,2,Neutral
133,David Wesley,802.55,532.6666666666666,-269.8833333333333,833.6666666666666,2385.1283333333336,180.0,214.66666666666666,0.09650963145340143,-1.60999354081502,-0.2632908392392683,2,Neutral,1.914987,4.1792254,-1.0408181,0,Sleeper
136,P.J. Brown,754.8,744.4333333333333,-10.366666666666674,799.6666666666666,2654.2716666666665,658.0,141.0,1.3278290109229884,-0.24681818273639294,1.6021741396877893,2,Neutral,4.2929235,-4.3932495,-3.4707406,0,Sleeper
147,Jalen Rose,1048.55,696.8333333333334,-351.7166666666666,1134.6666666666667,2402.769444666667,251.0,239.66666666666666,0.9497029136157105,-2.392322296336275,0.08765114274680869,2,Neutral,5.2975907,1.6868618,-4.602852,0,Sleeper
185,Chris Webber,1269.0749999999998,773.0333333333334,-496.0416666666664,1084.6666666666667,2032.8222222333334,517.6666666666666,226.33333333333334,1.256224598656999,-3.021677108543573,1.3890256055856929,2,Neutral,6.335259,1.0072657,-5.312998,0,Sleeper
208,Sam Cassell,1162.5,946.7000000000002,-215.79999999999984,1249.0,2341.651111333333,238.33333333333334,461.3333333333333,2.1266264020281618,-2.703662978850303,-1.0050067091421475,0,Sleeper,8.519329,3.8409328,-1.5512697,0,Sleeper
213,Antonio Davis,763.425,386.4666666666667,-376.95833333333326,475.0,1787.1427777666668,435.6666666666667,79.33333333333333,-0.8615274060764961,-1.3484056957163257,1.3747805932170398,1,Bust,-2.9639735,5.0693903,1.0340917,2,Neutral
224,Eddie Jones,920.0750000000002,795.0666666666666,-125.00833333333355,1101.3333333333333,2758.281666666667,330.6666666666667,215.66666666666666,1.4388709878328718,-1.3763308083276478,0.24023420045245772,2,Neutral,4.9245257,0.6740709,-3.5826294,0,Sleeper
255,Grant Hill,738.9,743.3333333333334,4.433333333333394,946.0,2225.1355556666663,331.6666666666667,175.66666666666666,0.7521019706611044,-0.6123932534090746,0.21897671488932405,2,Neutral,3.395714,0.30337873,-2.081726,0,Sleeper
258,Brian Grant,640.475,252.9333333333333,-387.54166666666674,329.3333333333333,1231.0405555666666,279.3333333333333,36.666666666666664,-2.009911201362516,-1.2185306331758188,0.9350139320014696,1,Bust,-5.4348974,5.2090855,-0.4359762,1,Bust
278,Stacey Augmon,225.59999999999997,154.46666666666667,-71.1333333333333,220.33333333333334,819.4522222,108.66666666666667,48.0,-2.840244671547322,0.3180202520850118,-0.2600161316027674,1,Bust,-11.167719,0.45257753,-3.2642472,1,Bust
283,Lindsey Hunter,453.725,132.66666666666666,-321.0583333333334,163.0,713.5538887666667,76.66666666666667,92.33333333333333,-2.9570394862548195,-0.9386025859571154,-0.2287821588963377,1,Bust,-10.111938,4.7887897,-2.571117,1,Bust
353,Darrell Armstrong,927.4499999999999,327.8333333333333,-599.6166666666666,411.3333333333333,1284.5244444333332,140.66666666666666,191.66666666666666,-1.5757886631770321,-2.7942075455232547,0.06968953681632395,1,Bust,-6.555388,5.7849493,1.5089191,1,Bust
361,Clifford Robinson,824.975,434.1000000000001,-390.87499999999994,683.3333333333334,2133.37,266.0,154.66666666666666,-0.436343274944288,-1.7938067429781985,0.44334961096170505,2,Neutral,1.2467054,4.6053023,-1.1042825,0,Sleeper
389,Toni Kukoc,548.75,338.43333333333334,-210.31666666666666,409.6666666666667,1210.8983336666668,193.66666666666666,166.33333333333334,-1.5672479168633064,-0.8623953329801587,-0.1786595128688453,1,Bust,-7.4649014,3.1141987,1.2021488,1,Bust
406,Shaquille O'Neal,1656.0750000000003,1122.5,-533.5750000000003,1429.6666666666667,2256.2000000000003,690.0,169.66666666666666,2.6743093299400638,-3.789605080462876,2.5629829047498127,0,Sleeper,7.418101,0.7600033,-5.4742985,0,Sleeper
436,Juwan Howard,868.0750000000002,633.4333333333334,-234.64166666666677,967.6666666666666,2347.47,483.6666666666667,121.33333333333333,0.7035693060209295,-1.2558869375807997,1.2801263340536395,2,Neutral,3.4492362,-1.8002386,-4.5092974,0,Sleeper
448,Bo Outlaw,580.0749999999999,170.43333333333337,-409.64166666666654,161.0,727.8416667666667,157.33333333333334,39.0,-2.862179792382275,-1.2922862889855489,0.4699376370905772,1,Bust,-9.012706,5.1899548,-2.403844,1,Bust
458,Howard Eisley,443.5,234.36666666666665,-209.13333333333335,325.3333333333333,1094.2644443333334,84.0,197.33333333333334,-2.0638456618243683,-0.7686808683360287,-0.792860393502817,1,Bust,-9.013121,2.1573334,0.8813225,1,Bust
467,Jason Kidd,1198.4499999999998,1022.6666666666666,-175.7833333333332,1017.3333333333334,2629.688889,498.6666666666667,611.6666666666666,3.0563317159481533,-2.6076901465390474,-0.7317217596905767,0,Sleeper,9.180369,3.9584715,-1.5963489,0,Sleeper
673,Alan Henderson,429.9749999999999,174.99999999999997,-254.97499999999994,173.0,714.93,197.33333333333334,13.666666666666666,-2.842453842520166,-0.48303537393417356,0.5095453168615737,1,Bust,-8.589511,3.8377173,-3.347193,1,Bust
677,Eric Williams,398.6,267.8333333333333,-130.7666666666667,409.0,1185.9855554333333,169.33333333333334,75.66666666666667,-2.0084241716880995,-0.19945412381683833,-0.01604371602263327,1,Bust,-7.6048856,1.3011822,-0.9695777,1,Bust
686,Antonio McDyess,760.2,572.7666666666667,-187.4333333333334,661.6666666666666,1915.7122223333333,532.6666666666666,83.66666666666667,-0.001048288610029536,-0.7957921527173466,1.5533514778951212,2,Neutral,2.7512505,-3.2913742,-4.2962584,0,Sleeper
689,Theo Ratliff,628.6500000000001,237.43333333333337,-391.2166666666667,228.33333333333334,1154.0605554333333,233.0,25.333333333333332,-2.291923607425516,-1.2263190385063387,0.825844188139309,1,Bust,-5.587099,5.2471585,-0.57298034,1,Bust
693,Joe Smith,518.425,560.4333333333333,42.008333333333326,674.0,1805.4605553333333,471.3333333333333,58.666666666666664,-0.2438180464231423,0.30189230727877875,1.1026441867528365,2,Neutral,0.47408062,-4.484272,-0.83988976,2,Neutral
699,Brent Barry,812.875,489.79999999999995,-323.07500000000005,555.6666666666666,1599.0883333333331,184.33333333333334,214.33333333333334,-0.7395355876722903,-1.8199216225940749,-0.1697620884379777,1,Bust,1.8575314,5.504109,-0.11592823,0,Sleeper
703,Kurt Thomas,708.3000000000001,613.7999999999998,-94.50000000000023,753.6666666666666,2271.035555666667,636.0,122.0,0.6626127055507299,-0.37149787343616153,1.6351847302702347,2,Neutral,3.3981743,-4.063505,-3.7523248,0,Sleeper
708,Kevin Garnett,1599.15,1703.8333333333333,104.68333333333317,1820.0,3104.412222333333,1071.0,394.3333333333333,6.097522919824442,-2.0137370681122144,2.3781000743917002,0,Sleeper,10.677855,-0.8667318,-3.6411467,0,Sleeper
711,Jerry Stackhouse,1192.1499999999999,390.9666666666667,-801.1833333333332,636.6666666666666,1306.7727776666668,143.33333333333334,130.0,-1.3524872174367069,-3.839051188476964,0.6809290212808327,1,Bust,-6.4804378,6.056439,1.6104417,1,Bust
714,Michael Finley,1129.4250000000002,724.2666666666665,-405.15833333333364,1041.6666666666667,2395.231111,278.0,165.66666666666666,0.7833360365486964,-2.5670498243607818,0.6406324020183916,2,Neutral,5.4304852,1.5684787,-4.766117,0,Sleeper
722,Corliss Williamson,580.55,321.90000000000003,-258.6499999999999,539.6666666666666,1157.0005555666667,194.0,49.666666666666664,-1.802215692502411,-0.8967169343711071,0.40621310954920276,1,Bust,-6.2108216,3.6267214,-0.33403108,1,Bust
