PLAYER_ID,PLAYER_NAME,TSNE1,TSNE2,TSNE3,tsne_cluster,tsne_label,expected_score,realized_score,delta_score
2073,Brian Cardinal,-11.453338,3.187829,-3.8775663,1,Bust,296.325,86.0,-210.325
2078,Jason Hart,-10.365301,-0.08044223,-1.0785924,1,Bust,208.3,168.10000000000008,-40.19999999999993
2124,Malik Allen,-11.113484,0.20589164,-3.7694614,1,Bust,213.87499999999997,150.96666666666667,-62.9083333333333
2198,Kwame Brown,-5.4442925,-0.14731203,2.5041902,2,Neutral,376.6,303.5,-73.10000000000002
2199,Tyson Chandler,5.172635,-5.966141,-1.1569774,0,Sleeper,464.5,742.0333333333333,277.5333333333333
2200,Pau Gasol,8.122091,-1.8917941,-3.139558,0,Sleeper,1070.675,1158.1000000000001,87.42500000000018
2201,Eddy Curry,2.7419388,-2.568663,-0.6838013,0,Sleeper,535.325,680.3666666666668,145.04166666666674
2202,Jason Richardson,6.5728946,0.035613544,-2.2985175,0,Sleeper,898.0,981.6,83.60000000000002
2203,Shane Battier,3.3463154,0.034097284,-2.8330796,0,Sleeper,716.325,712.2666666666668,-4.05833333333328
2205,DeSagana Diop,-4.5888987,-3.7426999,3.4548168,2,Neutral,147.5,256.8666666666666,109.36666666666662
2207,Joe Johnson,9.169045,1.0863504,0.45617366,0,Sleeper,728.6750000000001,1123.3666666666668,394.6916666666667
2209,Vladimir Radmanovic,-3.711608,1.3554118,0.5984828,2,Neutral,483.32500000000005,388.6333333333334,-94.69166666666666
2210,Richard Jefferson,7.178961,-0.32673472,-1.2497557,0,Sleeper,776.8000000000001,1006.3000000000002,229.5000000000001
2211,Troy Murphy,3.617426,-4.650233,-1.425287,0,Sleeper,530.9250000000001,706.8666666666667,175.9416666666666
2212,Steven Hunter,-10.5411215,-2.1412125,-3.423499,1,Bust,179.14999999999998,255.16666666666666,76.01666666666668
2215,Jason Collins,-6.521336,0.90052456,2.2158804,1,Bust,383.25,126.93333333333335,-256.31666666666666
2216,Zach Randolph,6.599897,-3.9561777,-1.5300783,0,Sleeper,576.4000000000001,914.5666666666667,338.16666666666663
2217,Brendan Haywood,0.87401307,-4.794281,-0.6060392,2,Neutral,472.2,584.9666666666667,112.76666666666671
2222,Gerald Wallace,6.0816,-2.614553,2.9276674,0,Sleeper,238.525,916.9,678.375
2223,Samuel Dalembert,4.9476013,-5.961478,-1.0553247,0,Sleeper,419.625,708.8000000000001,289.17500000000007
2224,Jamaal Tinsley,2.6547422,4.746019,2.003951,0,Sleeper,544.75,458.4000000000001,-86.34999999999991
2225,Tony Parker,8.510102,1.8832169,0.36803848,0,Sleeper,795.9250000000001,1049.6666666666667,253.74166666666667
2229,Mike James,-6.8079915,4.61316,1.5535977,1,Bust,694.975,352.2666666666666,-342.7083333333334
2230,Maurice Evans,-5.184654,-1.005204,-0.22025011,2,Neutral,385.125,340.4666666666667,-44.6583333333333
2239,Trenton Hassell,-4.424277,-1.2133187,-1.4313301,2,Neutral,361.825,324.7,-37.125
2240,Gilbert Arenas,9.150099,1.3593843,-0.3937909,0,Sleeper,897.95,1195.6333333333334,297.6833333333334
2243,Brian Scalabrine,-12.054996,0.08937948,-3.4212341,1,Bust,146.775,99.5,-47.275000000000006
2246,Mehmet Okur,5.9927793,-3.1901171,-1.972563,0,Sleeper,724.1999999999999,905.0333333333334,180.83333333333348
2248,Earl Watson,4.291728,2.3904748,4.291962,0,Sleeper,378.69999999999993,601.2,222.5000000000001
2250,Bobby Simmons,0.4548636,-1.3938118,1.8555458,2,Neutral,356.62500000000006,483.2333333333334,126.60833333333335
2260,Jarron Collins,-9.8788805,-0.8782818,-2.7085388,1,Bust,228.575,199.5,-29.07499999999999
2306,Carlos Arroyo,-9.841967,-1.6225051,1.2669915,1,Bust,288.825,363.93333333333334,75.10833333333335
