AST_1to4_avg,AST_5to7_avg,AST_improve_y1_to_y4,AST_slope_1to4,AST_year4,BLK_1to4_avg,BLK_5to7_avg,BLK_improve_y1_to_y4,BLK_slope_1to4,BLK_year4,FG3_PCT_1to4_avg,FG3_PCT_5to7_avg,FG3_PCT_improve_y1_to_y4,FG3_PCT_slope_1to4,FG3_PCT_year4,FG_PCT_1to4_avg,FG_PCT_5to7_avg,FG_PCT_improve_y1_to_y4,FG_PCT_slope_1to4,FG_PCT_year4,FT_PCT_1to4_avg,FT_PCT_5to7_avg,FT_PCT_improve_y1_to_y4,FT_PCT_slope_1to4,FT_PCT_year4,GP_1to4_avg,GP_5to7_avg,GP_improve_y1_to_y4,GP_slope_1to4,GP_year4,MIN_1to4_avg,MIN_5to7_avg,MIN_improve_y1_to_y4,MIN_slope_1to4,MIN_year4,PLAYER_ID,PLAYER_NAME,PTS_1to4_avg,PTS_5to7_avg,PTS_improve_y1_to_y4,PTS_slope_1to4,PTS_year4,REB_1to4_avg,REB_5to7_avg,REB_improve_y1_to_y4,REB_slope_1to4,REB_year4,STL_1to4_avg,STL_5to7_avg,STL_improve_y1_to_y4,STL_slope_1to4,STL_year4,TOV_1to4_avg,TOV_5to7_avg,TOV_improve_y1_to_y4,TOV_slope_1to4,TOV_year4,data_source,has_full_1to4_and_5to7,performance_score_1to4_avg,performance_score_5to7_avg,performance_score_5to7_total,performance_score_improve_y1_to_y4,performance_score_slope_1to4,performance_score_year4,expected_score,realized_score,delta_score,pca_label,tsne_label
89.75,30.0,-11.0,-1.6999999999999966,70.0,13.25,2.3333333333333335,-4.0,-1.8999999999999988,9.0,0.41275,0.35000000000000003,0.015000000000000013,0.010700000000000022,0.398,0.4395,0.39999999999999997,0.055999999999999994,0.017400000000000002,0.471,0.86125,0.6930000000000001,-0.02200000000000002,-0.004500000000000042,0.828,72.25,48.666666666666664,-13.0,-4.9,62.0,1733.2979165000002,589.8294444333334,-350.3800000000001,-147.9008334000002,1360.818333,15,Eric Piatkowski,685.25,194.66666666666666,-53.0,-39.29999999999998,601.0,200.75,58.333333333333336,-66.0,-25.499999999999996,156.0,41.0,17.0,-11.0,-3.799999999999995,33.0,63.25,25.666666666666668,-1.0,-1.5000000000000016,56.0,,0.0,479.475,119.26666666666665,357.79999999999995,-10.800000000000125,-15.790000000000044,424.3,479.475,119.26666666666665,-360.20833333333337,Bust,Bust
693.5,391.6666666666667,-69.0,-11.200000000000104,663.0,22.5,13.666666666666666,2.0,0.5999999999999998,20.0,0.3315,0.3153333333333333,-0.04300000000000004,-0.018999999999999993,0.297,0.45625000000000004,0.453,0.006000000000000005,0.0029000000000000436,0.454,0.752,0.7563333333333334,-0.025000000000000022,-0.004400000000000047,0.71,80.75,80.0,-2.0,-0.3000000000000089,80.0,3293.8104165,2563.8472223333333,-214.73833300000024,-59.120166600000076,3209.615,56,Gary Payton,1813.5,899.3333333333334,-348.0,-105.2,1634.0,405.0,270.3333333333333,-195.0,-54.99999999999999,334.0,136.0,85.0,-20.0,-5.60000000000001,133.0,207.25,133.66666666666666,-37.0,-11.099999999999993,187.0,,0.0,1474.1750000000002,759.7666666666668,2279.3,-334.80000000000064,-90.67000000000006,1316.4999999999998,1474.1750000000002,759.7666666666668,-714.4083333333334,Sleeper,Sleeper
70.75,13.0,-86.0,-25.099999999999994,19.0,174.75,93.66666666666667,-232.0,-70.89999999999998,37.0,0.0,0.0,0.0,0.0,0.0,0.48025,0.5006666666666667,-0.18800000000000006,-0.05470000000000007,0.374,0.731,0.7266666666666667,0.019000000000000017,0.009599999999999996,0.727,65.25,69.66666666666667,-58.0,-16.899999999999988,24.0,2249.762500075,1224.792778,-2470.8883336999997,-710.0220001100001,514.6733333,87,Dikembe Mutombo,687.25,284.6666666666667,-804.0,-224.09999999999985,138.0,797.0,389.6666666666667,-1004.0,-316.40000000000003,153.0,22.25,16.666666666666668,-23.0,-6.899999999999996,4.0,127.0,46.666666666666664,-140.0,-40.800000000000004,34.0,,0.0,743.5749999999999,330.3333333333333,991.0,-989.7999999999997,-293.76999999999987,115.00000000000003,743.5749999999999,330.3333333333333,-413.2416666666666,Bust,Bust
526.0,185.33333333333334,-402.0,-132.80000000000004,312.0,11.0,1.6666666666666667,-7.0,-2.8000000000000003,4.0,0.35675,0.351,0.045999999999999985,0.010099999999999986,0.378,0.40625,0.38933333333333336,0.021999999999999964,0.0060999999999999666,0.412,0.7995,0.7246666666666667,-0.05599999999999994,-0.01859999999999995,0.761,73.75,52.333333333333336,-6.0,-1.7000000000000044,73.0,2541.4470834999997,1287.0894444333333,-915.5783330000002,-293.54016660000025,2033.071667,89,Nick Van Exel,1191.5,477.0,-365.0,-103.19999999999995,910.0,253.5,118.66666666666667,-103.0,-29.600000000000005,208.0,54.0,26.666666666666668,-25.0,-9.199999999999998,43.0,166.0,75.66666666666667,-99.0,-30.6,122.0,,0.0,894.3000000000001,316.3333333333333,949.0,-364.0000000000001,-119.32000000000002,635.6999999999999,894.3000000000001,316.3333333333333,-577.9666666666667,Bust,Bust
177.75,86.66666666666667,115.0,44.9,233.0,71.0,53.333333333333336,-19.0,-2.2000000000000033,61.0,0.32925,0.37266666666666665,-0.02100000000000002,-0.003499999999999986,0.288,0.4025,0.4026666666666667,-0.05099999999999999,-0.0142,0.387,0.76275,0.6936666666666667,-0.019000000000000017,0.0014999999999999538,0.769,79.0,73.0,4.0,1.400000000000002,80.0,1940.45541675,1293.4555556666667,657.9833330000001,252.69649989999985,2343.715,109,Robert Horry,478.75,388.0,86.0,40.09999999999996,522.0,412.5,260.6666666666667,153.0,64.19999999999999,514.0,77.75,52.666666666666664,12.0,5.899999999999989,96.0,88.0,55.0,39.0,12.59999999999999,112.0,,0.0,497.25,348.6333333333334,1045.9,96.20000000000016,56.93999999999999,567.6000000000001,497.25,348.6333333333334,-148.61666666666662,Bust,Neutral
327.75,214.66666666666666,-212.0,-76.1,251.0,12.75,9.666666666666666,-2.0,-0.6999999999999982,9.0,0.37175,0.35433333333333333,0.069,0.016299999999999967,0.424,0.42025,0.39666666666666667,0.007000000000000006,-0.0001000000000000397,0.433,0.773,0.8056666666666666,0.0030000000000000027,-0.005600000000000089,0.781,76.0,70.66666666666667,-9.0,-4.2,73.0,2765.44250025,2385.1283333333336,-44.61833299999989,-74.89299990000002,2710.671667,133,David Wesley,1174.5,833.6666666666666,101.0,-15.999999999999964,1217.0,191.75,180.0,-50.0,-23.099999999999987,175.0,105.0,75.33333333333333,0.0,-5.400000000000005,109.0,145.25,111.0,-27.0,-13.300000000000008,132.0,,0.0,802.55,532.6666666666666,1597.9999999999998,-69.0,-58.9400000000001,807.3999999999999,802.55,532.6666666666666,-269.8833333333333,Neutral,Sleeper
131.5,141.0,2.0,-1.400000000000021,147.0,77.75,57.666666666666664,19.0,4.300000000000004,80.0,0.0,0.0,0.0,0.0,0.0,0.48225,0.461,0.051000000000000045,0.018299999999999986,0.531,0.82525,0.8483333333333333,0.08099999999999996,0.02490000000000003,0.836,79.5,79.0,-2.0,-0.5999999999999953,78.0,2572.7791665,2654.2716666666665,310.483334,68.91700019999992,2616.286667,136,P.J. Brown,735.25,799.6666666666666,68.0,19.699999999999942,832.0,707.25,658.0,101.0,34.70000000000004,701.0,67.25,66.0,2.0,-1.3,67.0,97.75,97.33333333333333,-2.0,-2.9000000000000004,98.0,,0.0,754.8,744.4333333333333,2233.2999999999997,200.39999999999998,63.459999999999916,877.8999999999999,754.8,744.4333333333333,-10.366666666666674,Neutral,Sleeper
376.25,239.66666666666666,75.0,14.499999999999991,395.0,40.0,15.0,-26.0,-7.599999999999995,23.0,0.366,0.35966666666666675,-0.02300000000000002,-0.0046000000000000285,0.37,0.44725000000000004,0.4266666666666667,-0.06499999999999995,-0.019699999999999954,0.406,0.837,0.8146666666666667,0.027000000000000024,0.00919999999999993,0.854,79.25,73.0,2.0,1.6999999999999953,82.0,3107.14541675,2402.769444666667,378.31666700000005,134.2971667000001,3351.891667,147,Jalen Rose,1611.75,1134.6666666666667,359.0,129.49999999999994,1816.0,367.5,251.0,-36.0,-9.400000000000038,351.0,74.75,48.0,-12.0,-2.3000000000000025,72.0,221.25,167.66666666666666,97.0,28.09999999999997,285.0,,0.0,1048.55,696.8333333333334,2090.5,23.799999999999955,14.520000000000014,1041.2,1048.55,696.8333333333334,-351.7166666666666,Neutral,Sleeper
315.5,226.33333333333334,19.0,2.1999999999999664,364.0,102.5,45.0,-40.0,-16.2,88.0,0.214,0.27133333333333337,-0.045999999999999985,0.005399999999999977,0.238,0.48,0.4266666666666667,-0.021999999999999964,-0.005199999999999992,0.461,0.7025,0.7536666666666667,-0.14400000000000002,-0.038599999999999975,0.607,66.5,55.0,-8.0,-4.000000000000001,67.0,2601.21666675,2032.8222222333334,-262.97000000000025,-155.15166670000022,2617.325,185,Chris Webber,1649.0,1084.6666666666667,-292.0,-145.20000000000024,1542.0,703.5,517.6666666666666,-83.0,-47.999999999999986,704.0,102.25,76.0,-14.0,-4.500000000000009,106.0,196.5,141.33333333333334,-3.0,-4.600000000000019,215.0,,0.0,1269.0749999999998,773.0333333333334,2319.1000000000004,-298.89999999999986,-124.42999999999995,1148.7,1269.0749999999998,773.0333333333334,-496.0416666666664,Neutral,Sleeper
563.0,461.3333333333333,-279.0,-92.40000000000006,450.0,10.5,14.333333333333334,6.0,2.1999999999999993,14.0,0.32625,0.3426666666666667,0.07300000000000001,0.026099999999999988,0.362,0.46825,0.465,0.003999999999999948,9.999999999998206e-05,0.47,0.86375,0.867,-0.015000000000000013,-0.004299999999999979,0.861,77.25,72.66666666666667,-3.0,-1.0999999999999996,78.0,2728.882917,2341.651111333333,-201.14499999999998,-70.74849999999999,2698.551667,208,Sam Cassell,1471.0,1249.0,30.0,16.999999999999993,1536.0,311.25,238.33333333333334,41.0,14.499999999999982,342.0,92.0,70.66666666666667,-14.0,-4.0,88.0,210.25,168.0,-90.0,-31.300000000000004,177.0,,0.0,1162.5,946.7000000000002,2840.1000000000004,-58.799999999999955,-13.600000000000085,1191.0,1162.5,946.7000000000002,-215.79999999999984,Sleeper,Sleeper
