player_id,player_name,draft_year
201604,Chris Douglas-Roberts,2008
201605,Nathan Jawai,2008
201606,Sean Singletary,2008
201607,Patrick Ewing,2008
201608,Ante Tomic,2008
201609,Goran Dragic,2008
201610,Trent Plaisted,2008
201611,Henry Walker,2008
201612,Malik Hairston,2008
201613,Richard Hendrix,2008
201614,DeVon Hardin,2008
201615,Shan Foster,2008
201616,Darnell Jackson,2008
201617,Tadija Dragicevic,2008
201618,Maarty Leunen,2008
201619,Sasha Kaun,2008
201620,James Gist,2008
201621,Joe Crawford,2008
201622,Deron Washington,2008
201623,Semih Erden,2008
201933,Blake Griffin,2009
201934,Hasheem Thabeet,2009
201935,James Harden,2009
201936,Tyreke Evans,2009
201937,Ricky Rubio,2009
201938,Jonny Flynn,2009
201939,Stephen Curry,2009
201941,Jordan Hill,2009
201942,DeMar DeRozan,2009
201943,Brandon Jennings,2009
201944,Terrence Williams,2009
201945,Gerald Henderson,2009
201946,Tyler Hansbrough,2009
201947,Earl Clark,2009
201948,Austin Daye,2009
201949,James Johnson,2009
201950,Jrue Holiday,2009
201951,Ty Lawson,2009
201952,Jeff Teague,2009
201953,Eric Maynor,2009
201954,Darren Collison,2009
201956,Omri Casspi,2009
201957,Byron Mullens,2009
201958,Rodrigue Beaubois,2009
201959,Taj Gibson,2009
201960,DeMarre Carroll,2009
201961,Wayne Ellington,2009
201962,Toney Douglas,2009
201963,Christian Eyenga,2009
201964,Victor Claver,2009
201965,Jeff Ayres,2009
201966,Jermaine Taylor,2009
201967,Dante Cunningham,2009
201968,Sergio Llull,2009
201969,DaJuan Summers,2009
201970,Sam Young,2009
201971,DeJuan Blair,2009
201972,Jon Brockman,2009
201973,Jonas Jerebko,2009
201974,Derrick Brown,2009
201975,Jodie Meeks,2009
201976,Patrick Beverley,2009
201977,Marcus Thornton,2009
201978,Chase Budinger,2009
201979,Nick Calathes,2009
201980,Danny Green,2009
201981,Taylor Griffin,2009
201982,Sergiy Gladyr,2009
201983,Goran Suton,2009
201984,Jack McClinton,2009
201985,AJ Price,2009
201986,Nando De Colo,2009
201987,Robert Vaden,2009
201988,Patty Mills,2009
201989,Ahmad Nivins,2009
201990,Emir Preldzic,2009
201991,Lester Hudson,2009
201992,Chinemelu Elonu,2009
201993,Robert Dozier,2009
201994,Henk Norel,2009
202160,Latavious Williams,2010
202322,John Wall,2010
202323,Evan Turner,2010
202324,Derrick Favors,2010
202325,Wesley Johnson,2010
202326,DeMarcus Cousins,2010
202327,Ekpe Udoh,2010
202328,Greg Monroe,2010
202329,Al-Farouq Aminu,2010
202330,Gordon Hayward,2010
202331,Paul George,2010
202332,Cole Aldrich,2010
202333,Xavier Henry,2010
202334,Ed Davis,2010
202335,Patrick Patterson,2010
202336,Larry Sanders,2010
202337,Luke Babbitt,2010
202338,Kevin Seraphin,2010
202339,Eric Bledsoe,2010
202340,Avery Bradley,2010
202341,James Anderson,2010
202342,Craig Brackins,2010
202343,Elliot Williams,2010
202344,Trevor Booker,2010
202345,Damion James,2010
202346,Dominique Jones,2010
202347,Quincy Pondexter,2010
202348,Jordan Crawford,2010
202349,Greivis Vasquez,2010
202350,Daniel Orton,2010
202351,Lazar Hayward,2010
202353,Tibor Pleiss,2010
202354,Dexter Pittman,2010
202355,Hassan Whiteside,2010
202356,Armon Johnson,2010
202357,Nemanja Bjelica,2010
202358,Terrico White,2010
202359,Darington Hobson,2010
202360,Andy Rautins,2010
202361,Landry Fields,2010
202362,Lance Stephenson,2010
202363,Jarvis Varnado,2010
202364,Da'Sean Butler,2010
202365,Devin Ebanks,2010
202366,Jerome Jordan,2010
202370,Paulao Prestes,2010
202371,Gani Lawal,2010
202372,Tiny Gallon,2010
202373,Ryan Richards,2010
202374,Solomon Alabi,2010
202375,Magnum Rolle,2010
202376,Luke Harangody,2010
202377,Pape Sy,2010
202378,Willie Warren,2010
202379,Jeremy Evans,2010
202380,Hamady Ndiaye,2010
202382,Derrick Caracter,2010
202383,Stanley Robinson,2010
202384,Dwayne Collins,2010
202385,Ryan Reid,2010
202624,Chukwudiebere Maduabum,2011
202681,Kyrie Irving,2011
202682,Derrick Williams,2011
202683,Enes Freedom,2011
202684,Tristan Thompson,2011
202685,Jonas Valančiūnas,2011
202686,Jan Vesely,2011
202687,Bismack Biyombo,2011
202688,Brandon Knight,2011
202689,Kemba Walker,2011
202690,Jimmer Fredette,2011
202691,Klay Thompson,2011
202692,Alec Burks,2011
202693,Markieff Morris,2011
202694,Marcus Morris Sr.,2011
202695,Kawhi Leonard,2011
202696,Nikola Vučević,2011
202697,Iman Shumpert,2011
202698,Chris Singleton,2011
202699,Tobias Harris,2011
202700,Donatas Motiejunas,2011
202701,Nolan Smith,2011
202702,Kenneth Faried,2011
202703,Nikola Mirotic,2011
202704,Reggie Jackson,2011
202705,MarShon Brooks,2011
202706,Jordan Hamilton,2011
202707,JaJuan Johnson,2011
202708,Norris Cole,2011
202709,Cory Joseph,2011
202710,Jimmy Butler III,2011
202711,Bojan Bogdanovic,2011
202712,Justin Harper,2011
202713,Kyle Singler,2011
202714,Shelvin Mack,2011
202715,Tyler Honeycutt,2011
202716,Jordan Williams,2011
202717,Trey Thompkins,2011
202718,Chandler Parsons,2011
202719,Jeremy Tyler,2011
202720,Jon Leuer,2011
202721,Darius Morris,2011
202722,Davis Bertans,2011
202723,Malcolm Lee,2011
202724,Charles Jenkins,2011
202725,Josh Harrellson,2011
202726,Andrew Goudelock,2011
202727,Travis Leslie,2011
202728,Keith Benson,2011
202729,Josh Selby,2011
202730,Lavoy Allen,2011
202731,Vernon Macklin,2011
202732,DeAndre Liggins,2011
202733,MIlan Macvan,2011
202734,E'Twaun Moore,2011
202735,Tanguy Ngombo,2011
202736,Ater Majok,2011
202737,Adam Hanga,2011
202738,Isaiah Thomas,2011
202739,Jon Diebler,2011
203076,Anthony Davis,2012
203077,Michael Kidd-Gilchrist,2012
203078,Bradley Beal,2012
203079,Dion Waiters,2012
203080,Thomas Robinson,2012
203081,Damian Lillard,2012
203082,Terrence Ross,2012
203083,Andre Drummond,2012
203084,Harrison Barnes,2012
203085,Austin Rivers,2012
203086,Meyers Leonard,2012
203087,Jeremy Lamb,2012
203088,Kendall Marshall,2012
203089,John Henson,2012
203090,Maurice Harkless,2012
203091,Royce White,2012
203092,Tyler Zeller,2012
203093,Terrence Jones,2012
203094,Andrew Nicholson,2012
203095,Evan Fournier,2012
203096,Jared Sullinger,2012
203097,Fab Melo,2012
203098,John Jenkins,2012
203099,Jared Cunningham,2012
203100,Tony Wroten,2012
203101,Miles Plumlee,2012
203102,Arnett Moultrie,2012
203103,Perry Jones III,2012
203104,Marquis Teague,2012
203105,Festus Ezeli,2012
203106,Jeffery Taylor,2012
203107,Tomas Satoransky,2012
203108,Bernard James,2012
203109,Jae Crowder,2012
203110,Draymond Green,2012
203111,Orlando Johnson,2012
203112,Quincy Acy,2012
203113,Quincy Miller,2012
203114,Khris Middleton,2012
203115,Will Barton,2012
203116,Tyshawn Taylor,2012
203117,Doron Lamb,2012
203118,Mike Scott,2012
203119,Kim English,2012
203120,Justin Hamilton,2012
203121,Darius Miller,2012
203122,Kevin Murphy,2012
203123,Kostas Papanikolaou,2012
203124,Kyle O'Quinn,2012
203125,Izzet Turkyilmaz,2012
203126,Kris Joseph,2012
203128,Furkan Aldemir,2012
203129,Tornike Shengelia,2012
203130,Darius Johnson-Odom,2012
203131,Tomislav Zubcic,2012
203132,Ilkan Karaman,2012
203133,Robbie Hummel,2012
203134,Marcus Denmon,2012
203135,Robert Sacre,2012
203136,Ognjen Kuzmic,2012
203318,Glen Rice,2013
203457,Nerlens Noel,2013
203458,Alex Len,2013
203459,Allen Crabbe,2013
203460,Andre Roberson,2013
203461,Anthony Bennett,2013
203462,Archie Goodwin,2013
203463,Ben McLemore,2013
203467,Carrick Felix,2013
203468,CJ McCollum,2013
203469,Cody Zeller,2013
