x_label,actual,predicted
Trey Burke,0.0079133743049458,0.07658787779515339
Sterling Brown,0.0266870674471151,0.04445470496167185
Georges Niang,0.0293557741918266,0.035572563534105484
Dante Cunningham,0.0371512806966717,0.055063627746583195
Norris Cole,0.0457682857142857,0.06429840259545756
Nassir Little,0.045948787319605,0.05366856620334442
Willie Green,0.0577368779822767,0.05385259900525515
Mickael Pietrus,0.0623902570555455,0.07041156453285802
Cedi Osman,0.0723516110093048,0.0720715107171
Trevor Booker,0.0792832791564259,0.04668885768337239
Patrick Patterson,0.0924653294220249,0.09700403373730068
Anderson Varejao,0.0985766871165644,0.09732976245944412
Nick Collison,0.108214042263122,0.08843781199393824
James Posey,0.1121578467153284,0.09654950423730002
Avery Bradley,0.1140253865059858,0.0709607469437067
Samuel Dalembert,0.1781181330573068,0.1159845641532766
Chandler Parsons,0.21945,0.20598064045723724
De'Aaron Fox,0.25,0.2009256786902453
Kevin Love,0.2504116634571141,0.2170441018477417
Kevin Durant,0.2671530563021156,0.3032144983795326
