shot_style_subtype,group_size_ridge,large_error_count_ridge,raw_error_rate_ridge,raw_error_pct_ridge,smoothed_error_rate_ridge,smoothed_error_pct_ridge,overall_error_pct_ridge,model_ridge,group_size_enet,large_error_count_enet,raw_error_rate_enet,raw_error_pct_enet,smoothed_error_rate_enet,smoothed_error_pct_enet,overall_error_pct_enet,model_enet
Arc-Heavy Spacers,73,28,0.3835616438356164,38.35616438356164,0.3874226488531257,38.74226488531257,41.560798548094375,Ridge,73,27,0.3698630136986301,36.986301369863014,0.37624909802549583,37.62490980254958,42.28675136116152,Elastic Net
Balanced Three-Level Scorers,14,5,0.35714285714285715,35.714285714285715,0.38150332728372655,38.15033272837265,41.560798548094375,Ridge,14,5,0.35714285714285715,35.714285714285715,0.3845281306715063,38.45281306715063,42.28675136116152,Elastic Net
Interior Finishers,36,16,0.4444444444444444,44.44444444444444,0.4381756490175965,43.817564901759646,41.560798548094375,Ridge,36,15,0.4166666666666667,41.66666666666667,0.41801467687209026,41.801467687209026,42.28675136116152,Elastic Net
Midrange Shot Creators,41,17,0.4146341463414634,41.46341463414634,0.4148250951923419,41.48250951923419,41.560798548094375,Ridge,41,17,0.4146341463414634,41.46341463414634,0.4162485320807089,41.62485320807089,42.28675136116152,Elastic Net
Rim Pressure Drivers,387,163,0.42118863049095606,42.11886304909561,0.4210480600876812,42.10480600876812,41.560798548094375,Ridge,387,169,0.43669250645994834,43.669250645994836,0.43634426986427244,43.63442698642724,42.28675136116152,Elastic Net
