x_label,actual,predicted
Trey Burke,0.0079133743049458,0.07224893442027948
Sterling Brown,0.0266870674471151,0.04278777981142866
Georges Niang,0.0293557741918266,0.04004724021332551
Dante Cunningham,0.0371512806966717,0.05828508500984889
Norris Cole,0.0457682857142857,0.06395724114336347
Nassir Little,0.045948787319605,0.05054773698796705
Willie Green,0.0577368779822767,0.059349247727369485
Mickael Pietrus,0.0623902570555455,0.07004982386226867
Cedi Osman,0.0723516110093048,0.06965342448277007
Trevor Booker,0.0792832791564259,0.051307289150597284
Patrick Patterson,0.0924653294220249,0.09531617640605007
Anderson Varejao,0.0985766871165644,0.10279599810437448
Nick Collison,0.108214042263122,0.09353538359511972
James Posey,0.1121578467153284,0.0988767627408698
Avery Bradley,0.1140253865059858,0.07258696648133584
Samuel Dalembert,0.1781181330573068,0.11561357007619245
Chandler Parsons,0.21945,0.2019044694086077
De'Aaron Fox,0.25,0.19659556539671774
Kevin Love,0.2504116634571141,0.21930398726505593
Kevin Durant,0.2671530563021156,0.30459306449791906
