,n_players,RMSE,MAE,R2,Accuracy(|error|<=0.03)
Ridge + Goal 1,560.0,0.03924429635403322,0.031156664851770318,0.7250860693467513,0.5732142857142857
Elastic Net + Goal 1,560.0,0.039245198371300014,0.03110317694993291,0.7250734315886459,0.5625
Ridge + Goal 1 + Goal 2,560.0,0.03951560445237116,0.031173624912087698,0.7212717981195693,0.5839285714285715
Elastic Net + Goal 1 + Goal 2,560.0,0.03924333611191127,0.030819761186322937,0.7250995225479054,0.5785714285714286
