macro_archetype,group_size_ridge,large_error_count_ridge,raw_error_rate_ridge,raw_error_pct_ridge,smoothed_error_rate_ridge,smoothed_error_pct_ridge,overall_error_pct_ridge,model_ridge,group_size_enet,large_error_count_enet,raw_error_rate_enet,raw_error_pct_enet,smoothed_error_rate_enet,smoothed_error_pct_enet,overall_error_pct_enet,model_enet
Fringe / Low-Opportunity Players,7,3,0.42857142857142855,42.857142857142854,0.421218487394958,42.121848739495796,41.60714285714286,Ridge,7,3,0.42857142857142855,42.857142857142854,0.42436974789915966,42.436974789915965,42.142857142857146,Elastic Net
High-Usage Primary Creators,111,62,0.5585585585585585,55.85585585585585,0.5467827626918537,54.67827626918537,41.60714285714286,Ridge,111,57,0.5135135135135135,51.35135135135135,0.5059031877213696,50.59031877213695,42.142857142857146,Elastic Net
Low-Usage Interior Bigs,112,41,0.36607142857142855,36.607142857142854,0.37016978922716626,37.016978922716625,41.60714285714286,Ridge,112,38,0.3392857142857143,33.92857142857143,0.34601873536299765,34.60187353629976,42.142857142857146,Elastic Net
Perimeter Wings & Connectors,162,48,0.2962962962962963,29.629629629629626,0.30325996677740863,30.325996677740864,41.60714285714286,Ridge,162,54,0.3333333333333333,33.33333333333333,0.3384551495016611,33.84551495016611,42.142857142857146,Elastic Net
Scoring Bigs / Two-Way Forwards,168,79,0.47023809523809523,47.023809523809526,0.4671950240770466,46.71950240770466,41.60714285714286,Ridge,168,84,0.5,50.0,0.4955858747993579,49.55858747993579,42.142857142857146,Elastic Net
