predicted_class,group_size_ridge,large_error_count_ridge,raw_error_rate_ridge,raw_error_pct_ridge,smoothed_error_rate_ridge,smoothed_error_pct_ridge,overall_error_pct_ridge,model_ridge,group_size_enet,large_error_count_enet,raw_error_rate_enet,raw_error_pct_enet,smoothed_error_rate_enet,smoothed_error_pct_enet,overall_error_pct_enet,model_enet
Bust,244,73,0.29918032786885246,29.918032786885245,0.3037823397075366,30.37823397075366,41.60714285714286,Ridge,244,76,0.3114754098360656,31.147540983606557,0.31580427446569176,31.580427446569175,42.142857142857146,Elastic Net
Neutral,224,119,0.53125,53.125,0.5263278388278388,52.63278388278388,41.60714285714286,Ridge,224,117,0.5223214285714286,52.23214285714286,0.518009768009768,51.8009768009768,42.142857142857146,Elastic Net
Sleeper,92,41,0.44565217391304346,44.565217391304344,0.4427521008403361,44.27521008403361,41.60714285714286,Ridge,92,43,0.4673913043478261,46.73913043478261,0.46288515406162467,46.28851540616247,42.142857142857146,Elastic Net
