x_label,Ridge,Elastic Net
"21-22
(R n=26, E n=26)",53.22420634920635,58.92857142857143
"23-24
(R n=214, E n=214)",50.51817602040817,50.09566326530612
"25+
(R n=320, E n=320)",34.291125541125545,34.913419913419915
