x_label,actual,predicted
Trey Burke,0.0079133743049458,0.06922027381710075
Sterling Brown,0.0266870674471151,0.04613837605175866
Georges Niang,0.0293557741918266,0.04628122307413962
Dante Cunningham,0.0371512806966717,0.056033600373167354
Norris Cole,0.0457682857142857,0.06322759338328154
Nassir Little,0.045948787319605,0.05729008347868828
Willie Green,0.0577368779822767,0.06381060830848267
Mickael Pietrus,0.0623902570555455,0.06978176194260227
Cedi Osman,0.0723516110093048,0.06501548789769263
Trevor Booker,0.0792832791564259,0.04531286268290109
Patrick Patterson,0.0924653294220249,0.09576168175609132
Anderson Varejao,0.0985766871165644,0.08932458574730742
Nick Collison,0.108214042263122,0.08791453929371994
James Posey,0.1121578467153284,0.09680671023677734
Avery Bradley,0.1140253865059858,0.08018544849635074
Samuel Dalembert,0.1781181330573068,0.10714182650730344
Chandler Parsons,0.21945,0.20275647912789502
De'Aaron Fox,0.25,0.19955684450260364
Kevin Love,0.2504116634571141,0.2235943650533588
Kevin Durant,0.2671530563021156,0.31047809400554016
