combined_group,group_size_ridge,large_error_count_ridge,raw_error_rate_ridge,smoothed_error_rate_ridge,raw_error_pct_ridge,smoothed_error_pct_ridge,model_ridge,overall_error_pct_ridge,group_size_enet,large_error_count_enet,raw_error_rate_enet,smoothed_error_rate_enet,raw_error_pct_enet,smoothed_error_pct_enet,model_enet,overall_error_pct_enet,avg_smoothed_error_pct
Neutral | age_23_24 | High-Usage Primary Creators | Rim Pressure Drivers,28,21,0.75,0.6620021014423536,75.0,66.20021014423536,Ridge,41.560798548094375,28,21,0.75,0.663912503582004,75.0,66.39125035820041,Elastic Net,42.28675136116152,66.29573025121789
Neutral | age_23_24 | Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,29,19,0.6551724137931034,0.593745637302806,65.51724137931035,59.374563730280606,Ridge,41.560798548094375,29,17,0.5862068965517241,0.5443250034901578,58.620689655172406,54.432500349015775,Elastic Net,42.28675136116152,56.90353203964819
Sleeper | age_23_24 | Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,14,8,0.5714285714285714,0.5065033272837266,57.14285714285714,50.65033272837266,Ridge,41.560798548094375,14,9,0.6428571428571429,0.551194797338173,64.28571428571429,55.1194797338173,Elastic Net,42.28675136116152,52.88490623109498
Neutral | age_25_plus | High-Usage Primary Creators | Rim Pressure Drivers,27,14,0.5185185185185185,0.49070486094079563,51.85185185185185,49.07048609407956,Ridge,41.560798548094375,27,13,0.48148148148148145,0.4656398685436798,48.148148148148145,46.563986854367975,Elastic Net,42.28675136116152,47.81723647422377
Sleeper | age_25_plus | Scoring Bigs / Two-Way Forwards | Rim Pressure Drivers,10,3,0.3,0.35780399274047187,30.0,35.780399274047184,Ridge,41.560798548094375,10,6,0.6,0.5114337568058076,60.0,51.14337568058076,Elastic Net,42.28675136116152,43.46188747731397
